Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table LA6:  Exclusions from school of children who have been looked after continuously for at least twelve months1,2",,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2011 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Code,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,
,,,Number matched to the school census3,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Number matched to the school census3,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Number matched to the school census3,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Number matched to the school census3,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Number matched to the school census3,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ENGLAND,"28,260",,0.24,11.79,,"28,160",,0.15,11.33,,"28,900",,0.13,10.27,,"29,640",,0.12,10.25,,"30,720",,0.14,10.42
E09000003,302,Barnet,140,,x,19.15,,120,,0.00,15.00,,110,,0.00,12.84,,115,,0.00,16.38,,105,,0.00,20.00
E09000004,303,Bexley,80,,0.00,11.25,,85,,x,7.06,,95,,0.00,7.22,,95,,0.00,12.90,,100,,0.00,x
E09000005,304,Brent,140,,x,21.01,,140,,x,15.94,,125,,0.00,11.02,,120,,x,13.93,,115,,0.00,11.21
E09000006,305,Bromley,115,,0.00,10.26,,110,,0.00,9.09,,95,,0.00,10.75,,110,,0.00,8.18,,100,,0.00,8.82
E09000008,306,Croydon,300,,0.00,8.36,,240,,x,10.46,,220,,0.00,8.11,,210,,x,15.09,,220,,x,12.27
E09000009,307,Ealing,145,,0.00,11.19,,140,,0.00,12.86,,155,,0.00,11.54,,145,,x,8.90,,155,,0.00,9.15
E09000010,308,Enfield,115,,0.00,15.38,,120,,0.00,14.05,,110,,0.00,11.71,,110,,0.00,12.04,,115,,0.00,16.52
E09000011,203,Greenwich,230,,0.00,13.48,,240,,0.00,11.62,,255,,0.00,10.59,,265,,0.00,10.86,,240,,0.00,10.88
E09000015,310,Harrow,30,,0.00,x,,30,,0.00,x,,30,,x,x,,30,,0.00,x,,45,,x,15.56
E09000016,311,Havering,70,,0.00,13.04,,60,,0.00,13.11,,70,,0.00,x,,65,,0.00,9.23,,85,,0.00,12.05
E09000017,312,Hillingdon,155,,0.00,11.11,,140,,x,14.39,,125,,0.00,8.13,,115,,0.00,10.62,,100,,0.00,11.76
E09000018,313,Hounslow,155,,0.00,8.50,,130,,0.00,8.59,,130,,x,9.23,,110,,0.00,10.71,,110,,0.00,11.11
E09000021,314,Kingston upon Thames,50,,0.00,x,,45,,0.00,x,,45,,0.00,x,,50,,0.00,x,,50,,0.00,x
E09000024,315,Merton,40,,0.00,x,,45,,0.00,20.93,,50,,0.00,x,,40,,0.00,x,,50,,x,x
E09000026,317,Redbridge,80,,0.00,12.50,,85,,0.00,10.84,,90,,0.00,x,,90,,0.00,6.82,,85,,0.00,10.59
E09000027,318,Richmond upon Thames,35,,0.00,16.22,,30,,0.00,x,,20,,0.00,0.00,,25,,0.00,x,,30,,0.00,x
E09000029,319,Sutton,55,,0.00,15.79,,60,,0.00,12.07,,65,,0.00,x,,75,,0.00,x,,65,,0.00,10.45
E09000031,320,Waltham Forest,130,,x,12.98,,120,,0.00,10.08,,115,,0.00,15.38,,90,,0.00,15.38,,100,,0.00,12.75
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SOUTH EAST,"3,380",,0.30,13.48,,"3,480",,x,13.48,,"3,670",,0.00,10.74,,"3,760",,x,11.22,,"3,980",,x,12.43
E06000036,867,Bracknell Forest,30,,0.00,20.00,,35,,0.00,x,,40,,0.00,x,,40,,0.00,x,,45,,0.00,x
E06000043,846,Brighton and Hove,180,,0.00,9.55,,215,,0.00,11.63,,230,,0.00,10.87,,210,,x,9.95,,195,,0.00,10.66
E10000002,825,Buckinghamshire,135,,0.00,8.09,,170,,0.00,16.57,,185,,0.00,8.74,,190,,0.00,12.04,,190,,0.00,11.58
E10000011,845,East Sussex,245,,x,13.17,,270,,0.00,12.50,,295,,0.00,10.92,,300,,0.00,11.92,,305,,0.00,15.03
E10000014,850,Hampshire,515,,x,14.73,,475,,0.00,14.32,,500,,0.00,10.22,,500,,0.00,9.76,,605,,0.00,11.75
E06000046,921,Isle of Wight,80,,0.00,x,,65,,0.00,11.94,,65,,0.00,10.45,,70,,0.00,12.86,,85,,0.00,11.76
E10000016,886,Kent,630,,x,16.35,,675,,x,15.24,,725,,0.00,12.03,,795,,0.00,13.57,,805,,x,15.16
E06000035,887,Medway Towns,135,,0.00,12.78,,145,,0.00,8.28,,170,,0.00,9.52,,160,,0.00,10.49,,165,,0.00,9.58
E06000042,826,Milton Keynes,110,,0.00,8.18,,125,,0.00,8.80,,120,,0.00,8.33,,125,,0.00,10.32,,140,,0.00,10.79
E10000025,931,Oxfordshire,170,,0.00,11.90,,145,,0.00,17.36,,155,,0.00,12.10,,155,,0.00,11.69,,180,,0.00,13.19
E06000044,851,Portsmouth,140,,x,17.14,,155,,x,16.77,,140,,0.00,15.83,,135,,0.00,15.33,,145,,0.00,17.93
E06000038,870,Reading,85,,x,14.46,,85,,0.00,19.05,,100,,0.00,11.88,,100,,0.00,13.00,,95,,x,7.29
E06000039,871,Slough,60,,0.00,16.39,,55,,0.00,10.91,,55,,0.00,16.98,,60,,0.00,9.68,,70,,0.00,15.71
E06000045,852,Southampton,155,,0.00,12.10,,155,,0.00,12.26,,180,,0.00,10.06,,215,,0.00,7.41,,245,,0.00,6.10
E10000030,936,Surrey,290,,0.00,16.32,,315,,0.00,13.88,,310,,0.00,9.68,,305,,0.00,7.26,,315,,0.00,9.81
E06000037,869,West Berkshire,45,,0.00,x,,50,,0.00,12.50,,60,,0.00,15.00,,70,,0.00,13.24,,70,,0.00,13.89
E10000032,938,West Sussex,310,,x,12.62,,290,,x,11.07,,285,,0.00,8.13,,245,,0.00,11.84,,235,,0.00,14.35
E06000040,868,Windsor & Maidenhead,40,,0.00,x,,30,,0.00,x,,40,,0.00,x,,45,,0.00,x,,45,,0.00,x
E06000041,872,Wokingham,30,,0.00,x,,25,,0.00,x,,25,,0.00,x,,30,,0.00,x,,30,,0.00,21.43
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SOUTH WEST,"2,170",,x,12.72,,"2,170",,x,12.74,,"2,210",,x,12.69,,"2,290",,x,13.04,,"2,320",,x,11.24
