Back to index,,,,,,,,,,,,,,,,,,
Table LA4:  Children who have been looked after continuously for at least twelve months1 by special educational needs (SEN),,,,,,,,,,,,,,,,,,
Years: 2016,,,,,,,,,,,,,,,,,,
"Coverage: England, primary, secondary and special schools, pupil referral units and alternative provision",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LA Code,,,Number of children looked after at 31 March who had been continuously looked after for at least twelve months and matched to census data2,,Number of looked after children with the following provision for SEN3:,,,,,,,,,Total with SEN5,,,,
,,,,,No SEN,,,"SEN without statement or education, health and care plan4",,,"SEN with a statement or education, health and care plan",,,,,,,
,,,,,Number,Percentage6,,Number,Percentage6,,Number,Percentage6,,Number,Percentage6,,,
,,,,,,,,,,,,,,,,,,
,,ENGLAND,"35,260",,"15,040",42.7,,"10,720",30.4,,"9,510",27.0,,"20,220",57.3,,,
E09000022,208,Lambeth,230,,95,40.6,,60,26.6,,75,32.8,,135,59.4,,,
E09000023,209,Lewisham,230,,100,44.3,,70,30.7,,55,25.0,,125,55.7,,,
E09000025,316,Newham,155,,65,42.9,,55,34.0,,35,23.1,,90,57.1,,,
E09000028,210,Southwark,245,,100,40.9,,65,26.7,,80,32.4,,145,59.1,,,
E09000030,211,Tower Hamlets,120,,50,43.3,,25,21.7,,40,35.0,,70,56.7,,,
E09000032,212,Wandsworth,75,,25,32.9,,25,31.6,,25,35.5,,50,67.1,,,
E09000033,213,Westminster,70,,35,52.1,,25,32.4,,10,15.5,,35,47.9,,,
,,OUTER LONDON,"2,470",,"1,030",41.8,,720,29.1,,720,29.1,,"1,440",58.2,,,
E09000002,301,Barking and Dagenham,205,,95,46.3,,55,27.3,,55,26.3,,110,53.7,,,
E09000003,302,Barnet,130,,50,40.6,,40,31.3,,35,28.1,,75,59.4,,,
E09000004,303,Bexley,135,,55,39.7,,45,32.4,,40,27.9,,80,60.3,,,
E09000005,304,Brent,145,,55,39.6,,40,26.4,,50,34.0,,85,60.4,,,
E09000006,305,Bromley,135,,50,36.5,,40,27.7,,50,35.8,,85,63.5,,,
E09000008,306,Croydon,250,,130,51.4,,65,26.3,,55,22.3,,120,48.6,,,
E09000009,307,Ealing,190,,75,38.7,,65,33.0,,55,28.3,,115,61.3,,,
E09000010,308,Enfield,140,,55,38.8,,45,32.4,,40,28.8,,85,61.2,,,
E09000011,203,Greenwich,265,,120,44.6,,90,34.1,,55,21.3,,150,55.4,,,
E09000015,310,Harrow,55,,25,41.1,,15,28.6,,15,30.4,,35,58.9,,,
E09000016,311,Havering,120,,70,59.2,,25,21.7,,25,19.2,,50,40.8,,,
E09000017,312,Hillingdon,115,,50,43.4,,30,26.5,,35,30.1,,65,56.6,,,
E09000018,313,Hounslow,125,,45,36.5,,30,23.8,,50,39.7,,80,63.5,,,
E09000021,314,Kingston upon Thames,55,,15,26.4,,15,24.5,,25,49.1,,40,73.6,,,
E09000024,315,Merton,65,,15,26.2,,20,27.7,,30,46.2,,50,73.8,,,
E09000026,317,Redbridge,90,,40,45.1,,25,28.6,,25,26.4,,50,54.9,,,
E09000027,318,Richmond upon Thames,45,,15,35.6,,10,22.2,,20,42.2,,30,64.4,,,
E09000029,319,Sutton,75,,30,39.0,,30,36.4,,20,24.7,,45,61.0,,,
E09000031,320,Waltham Forest,120,,40,32.2,,40,33.1,,40,34.7,,80,67.8,,,
,,,,,,,,,,,,,,,,,,
,,SOUTH EAST,"4,590",,"1,770",38.6,,"1,450",31.5,,"1,370",29.8,,"2,820",61.4,,,
E06000036,867,Bracknell Forest ,50,,15,28.0,,20,36.0,,20,36.0,,35,72.0,,,
E06000043,846,Brighton and Hove ,205,,60,30.0,,80,39.6,,65,30.4,,145,70.0,,,
E10000002,825,Buckinghamshire,220,,75,34.4,,60,26.2,,85,39.4,,145,65.6,,,
E10000011,845,East Sussex,320,,130,40.2,,80,24.6,,115,35.2,,190,59.8,,,
E10000014,850,Hampshire,700,,295,41.9,,235,33.7,,170,24.4,,405,58.1,,,
E06000046,921,Isle of Wight ,90,,40,45.1,,25,26.4,,25,28.6,,50,54.9,,,
E10000016,886,Kent,935,,400,42.5,,270,28.6,,270,28.8,,540,57.5,,,
E06000035,887,Medway ,210,,75,35.5,,75,35.1,,60,29.4,,135,64.5,,,
E06000042,826,Milton Keynes ,175,,65,38.5,,50,27.6,,60,33.9,,105,61.5,,,
E10000025,931,Oxfordshire,230,,85,36.6,,80,34.9,,65,28.4,,145,63.4,,,
E06000044,851,Portsmouth ,155,,55,34.2,,55,34.8,,50,31.0,,100,65.8,,,
E06000038,870,Reading ,100,,45,42.2,,20,17.6,,40,40.2,,60,57.8,,,
E06000039,871,Slough ,70,,30,40.3,,30,38.9,,15,20.8,,45,59.7,,,
E06000045,852,Southampton ,305,,130,42.6,,120,40.3,,50,17.2,,175,57.4,,,
E10000030,936,Surrey,350,,125,36.1,,105,29.5,,120,34.4,,225,63.9,,,
E06000037,869,West Berkshire ,85,,40,44.2,,25,30.2,,20,25.6,,50,55.8,,,
E10000032,938,West Sussex,285,,80,28.8,,100,35.8,,100,35.4,,205,71.2,,,
E06000040,868,Windsor and Maidenhead ,50,,20,39.2,,15,33.3,,15,27.5,,30,60.8,,,
E06000041,872,Wokingham ,35,,10,27.0,,5,18.9,,20,54.1,,25,73.0,,,
,,,,,,,,,,,,,,,,,,
,,SOUTH WEST,"2,780",,980,35.2,,900,32.3,,910,32.6,,"1,800",64.8,,,
E06000022,800,Bath and North East Somerset,80,,45,55.1,,10,14.1,,25,30.8,,35,44.9,,,
E06000028,837,Bournemouth ,130,,55,42.4,,35,25.0,,45,32.6,,75,57.6,,,
E06000023,801,"Bristol, City of ",345,,135,39.6,,105,30.1,,105,30.3,,210,60.4,,,
E06000052,908,Cornwall,230,,100,42.8,,55,24.0,,75,33.2,,130,57.2,,,
E10000008,878,Devon,340,,95,28.5,,100,29.7,,140,41.8,,245,71.5,,,
E10000009,835,Dorset,190,,70,37.2,,70,37.8,,45,25.0,,120,62.8,,,
E10000013,916,Gloucestershire,245,,85,35.2,,75,29.6,,85,35.2,,160,64.8,,,
E06000053,420,Isles of Scilly,.,,.,.,,.,.,,.,.,,.,.,,,
E06000024,802,North Somerset ,110,,40,35.5,,40,38.2,,30,26.4,,70,64.5,,,
E06000026,879,Plymouth ,185,,65,33.7,,65,35.8,,55,30.5,,125,66.3,,,
E06000029,836,Poole ,85,,20,25.9,,30,37.6,,30,36.5,,65,74.1,,,
E10000027,933,Somerset ,270,,70,25.2,,125,45.6,,80,29.3,,200,74.8,,,
E06000025,803,South Gloucestershire ,75,,30,37.8,,15,23.0,,30,39.2,,45,62.2,,,
E06000030,866,Swindon ,115,,35,31.3,,40,36.5,,35,32.2,,80,68.7,,,
E06000027,880,Torbay ,175,,50,27.6,,70,40.2,,55,32.2,,125,72.4,,,
E06000054,865,Wiltshire,205,,85,41.9,,55,27.1,,65,31.0,,120,58.1,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Source: CLA-NPD matched data,,,
,,,,,,,,,,,,,,,,,,
1. Children looked after continuously for at least twelve months as at 31 March 2016 excluding those children in respite care. Only children who are matched to 2016 census data and aged four or above at 31 March 2016 have been included. ,,,,,,,,,,,,,,,,,,
"2. Includes looked after children aged four and above as at 31 March 2016 who have been matched to the 2016 school census (including pupil referral units) or local authority alternative provision (AP) census. If a child has been recorded on more than one census, then they have only been counted once.   ",,,,,,,,,,,,,,,,,,
"3. For children who have been recorded on more than one census type, only their highest level of SEN provision has been counted.",,,,,,,,,,,,,,,,,,
4. SEN without a statement includes children at school action and school action plus and SEN support. ,,,,,,,,,,,,,,,,,,
"5. All children with SEN include those with a statement of special educational needs, an education, health and care plan and those at school action, school action plus or SEN support. ",,,,,,,,,,,,,,,,,,
"6. The number of looked after children with a given SEN, expressed as a percentage of the total number of looked after children who were matched to the 2016 school census (including pupil referral units) and local authority alternative provision census.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"All numbers relating to national or regional totals have been rounded to the nearest 10, all local authority numbers have been rounded to the nearest 5.",,,,,,,,,,,,,,,,,,
Totals may not appear to equal the sum of component parts because numbers have been rounded.,,,,,,,,,,,,,,,,,,
x = number less than or equal to 5 or percentage where the numerator is less than or equal to 5 or the denominator is less than or equal to 10.,,,,,,,,,,,,,,,,,,
. = not applicable,,,,,,,,,,,,,,,,,,
See methodology and quality document for more information on rounding conventions.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
