Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table LA3a: Key stage 4 eligibility and performance of children who have been looked after continuously for at least twelve months1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2012 - 20162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: England, All schools3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2012,,,,,2013,,,,,,20144,,,,,20155,,,,,,20166,,,
LA Code,,,Number at the end of Key Stage 4,Percentage of pupils:,,,,Number at the end of Key Stage 4,Percentage of pupils:,,,,,Number at the end of Key Stage 4,Percentage of pupils:,,,,Number at the end of Key Stage 4,Percentage of pupils:,,,,,Number at the end of Key Stage 4,Percentage of pupils:,,
,,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate,,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate,,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000003,873,Cambridgeshire,35,x,x,x,,35,x,x,x,,,30,x,x,x,,30,24.1,x,x,,,45,19.6,x,x
E10000012,881,Essex,105,18.1,x,x,,120,16.7,5.0,x,,,95,12.8,6.4,x,,95,17.2,x,x,,,85,10.5,x,x
E10000015,919,Hertfordshire,100,13.3,8.2,x,,90,16.9,11.2,x,,,95,14.0,11.8,x,,85,11.6,7.0,x,,,70,12.9,x,x
E06000032,821,Luton,35,x,x,x,,25,x,x,x,,,30,x,x,x,,35,17.6,x,x,,,35,x,x,x
E10000020,926,Norfolk,105,19.8,x,x,,90,14.6,x,x,,,85,10.7,8.3,x,,100,22.4,7.1,x,,,80,15.4,20.5,x
E06000031,874,Peterborough,25,x,x,x,,25,x,x,x,,,25,x,x,x,,15,x,x,x,,,30,x,x,x
E06000033,882,Southend-on-Sea,15,x,x,x,,20,x,x,x,,,25,x,x,x,,20,x,x,x,,,20,x,x,x
E10000029,935,Suffolk,50,11.5,x,x,,55,16.4,x,x,,,55,x,x,x,,55,x,x,x,,,60,20.0,x,x
E06000034,883,Thurrock,20,x,x,x,,20,x,x,x,,,20,x,x,x,,25,x,x,x,,,20,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LONDON,770,17.6,3.6,2.1,,800,21.6,9.4,4.0,,,770,16.7,8.7,3.9,,800,19.0,12.8,5.7,,,800,20.8,12.2,5.0
,,INNER LONDON,350,17.0,3.2,x,,360,26.4,8.4,2.8,,,340,16.3,9.6,4.1,,330,22.8,14.7,8.4,,,330,24.0,14.5,6.8
E09000007,202,Camden,25,x,x,x,,15,x,x,x,,,20,x,x,x,,30,x,x,x,,,15,56.3,x,x
E09000001,201,City of London,0,.,.,.,,0,.,.,.,,,0,.,.,.,,0,.,.,.,,,x,x,x,x
E09000012,204,Hackney,20,x,x,x,,25,x,x,x,,,25,29.2,x,x,,25,38.5,x,x,,,25,34.8,x,x
E09000013,205,Hammersmith and Fulham,20,x,x,x,,20,x,x,x,,,15,x,x,x,,10,x,x,x,,,20,x,x,x
E09000014,309,Haringey,40,21.1,x,x,,40,35.7,14.3,x,,,40,23.1,x,x,,35,28.6,17.1,x,,,30,45.2,25.8,x
E09000019,206,Islington,30,x,x,x,,30,20.0,x,x,,,25,x,x,x,,35,23.5,x,x,,,30,18.8,x,x
