Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table LA5:  Absence1 from school of children who have been looked after continuously for at least twelve months2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2013 - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: State-funded primary, state-funded secondary and specials schools, England3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA code,,,,2013,,,,,,,,2014,,,,,,,,2015,,,,,,,,2016,,,,,,
,,,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6
,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,Overall absence,Authorised absence,Unauthorised absence,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000014,343,Sefton,,200,,4.7,3.4,1.3,,14.9,,185,,4.2,3.0,1.1,,10.8,,195,,4.6,3.2,1.4,,13.0,,205,,5.8,3.3,2.4,,14.1
E08000013,342,St Helens,,165,,3.5,2.6,0.9,,9.2,,190,,3.3,2.2,1.1,,7.3,,195,,3.9,2.7,1.3,,11.2,,185,,3.3,2.4,0.9,,7.6
E08000007,356,Stockport,,110,,4.3,3.2,1.1,,9.2,,110,,4.9,2.9,2.0,,12.8,,115,,4.8,3.2,1.6,,12.2,,120,,3.1,2.7,0.4,,8.5
E08000008,357,Tameside,,170,,4.9,3.0,1.8,,8.9,,190,,4.4,3.2,1.2,,9.6,,200,,4.4,2.8,1.6,,11.0,,215,,5.1,3.7,1.4,,12.7
E08000009,358,Trafford,,115,,3.8,3.3,0.5,,7.7,,140,,4.0,3.5,0.5,,11.5,,155,,4.4,3.2,1.1,,10.2,,170,,3.1,2.6,0.4,,6.5
E06000007,877,Warrington,,100,,6.2,3.9,2.3,,19.0,,105,,4.2,3.4,0.8,,6.7,,105,,4.3,3.2,1.1,,10.4,,135,,4.3,3.1,1.2,,9.0
E08000010,359,Wigan,,225,,4.6,3.0,1.6,,10.7,,225,,3.6,2.4,1.2,,7.6,,255,,5.0,2.6,2.5,,7.4,,245,,3.3,2.6,0.8,,6.5
E08000015,344,Wirral,,325,,4.2,3.3,0.9,,9.5,,325,,3.4,2.7,0.7,,7.1,,345,,4.5,2.8,1.7,,9.3,,330,,4.3,3.0,1.3,,9.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,YORKSHIRE AND THE HUMBER,,"3,140",,4.0,3.0,1.0,,9.3,,"3,240",,3.6,2.6,1.0,,8.1,,"3,340",,3.7,2.8,1.0,,8.3,,"3,290",,3.5,2.5,1.0,,8.4
