country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,Elig_KS2_2008,Elig_eng_2008,Lev4_eng_2008,Elig_maths_2008,Lev4_maths_2008,Elig_engmaths_2008,Lev4_engmaths_2008,Elig_KS2_2009,Elig_eng_2009,Lev4_eng_2009,Elig_maths_2009,Lev4_maths_2009,Elig_engmaths_2009,Lev4_engmaths_2009,Elig_KS2_2010,Elig_eng_2010,Lev4_eng_2010,Elig_maths_2010,Lev4_maths_2010,Elig_engmaths_2010,Lev4_engmaths_2010,Elig_KS2_2011,Elig_eng_2011,Lev4_eng_2011,Elig_maths_2011,Lev4_maths_2011,Elig_engmaths_2011,Lev4_engmaths_2011,Elig_KS2_2012,Elig_eng_2012,Lev4_eng_2012,Elig_maths_2012,Lev4_maths_2012,Elig_engmaths_2012,Lev4_engmaths_2012
921,England,K,South West ,865,E06000054,Wiltshire,15,15,6,15,7,15,x,10,10,x,10,x,10,x,14,14,x,14,x,14,x,13,13,7,13,9,13,7,8,8,6,8,x,8,x
921,England,K,South West ,866,E06000030,Swindon,7,7,x,7,x,7,x,11,11,x,11,x,11,x,11,11,x,11,x,11,x,8,8,x,8,x,8,x,11,11,x,11,6,11,x
921,England,J,South East,867,E06000036,Bracknell Forest,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0,0,0,0,0,0,x,x,x,x,0,x,0,x,x,0,x,0,x,0
921,England,J,South East,868,E06000040,Royal Borough of Windsor & Maidenhead,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,x,x,x,x
921,England,J,South East,869,E06000037,West Berkshire,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,x,0,x,x,x,x,x,x,x,0,0,0,0,0,0,0
921,England,J,South East,870,E06000038,Reading,12,12,6,12,x,12,x,12,12,6,12,x,12,x,10,10,x,10,x,10,x,6,6,x,6,x,6,x,x,x,x,x,x,x,x
921,England,J,South East,871,E06000039,Slough,0,0,0,0,0,0,0,x,x,0,x,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
921,England,J,South East,872,E06000041,Wokingham,x,x,0,x,0,x,0,x,x,0,x,0,x,0,x,x,0,x,x,x,0,6,6,x,6,x,6,x,x,x,x,x,x,x,x
921,England,G,East of England ,873,E10000003,Cambridgeshire,13,13,6,13,x,13,x,14,14,7,14,8,14,6,13,13,8,13,8,13,7,15,15,7,15,x,15,x,16,16,7,16,8,16,7
921,England,G,East of England ,874,E06000031,City of Peterborough,14,14,6,14,7,14,x,14,14,x,14,x,14,x,9,9,x,9,x,9,x,12,12,6,12,x,12,x,10,10,6,10,x,10,x
