LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_started2017,CLA_taken2017,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_PlaceO,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
142,E06000045,LA,852,Southampton,168,108,95,73,39,45,38,29,17,140,x,0,x,6,x,0,13,86,x,0,56,16,x,0,x,0,0
59,E10000018,LA,855,Leicestershire,253,98,144,109,49,46,56,69,33,155,x,11,15,34,x,0,29,88,x,x,150,7,x,0,0,0,0
58,E06000016,LA,856,Leicester,274,137,136,138,63,50,54,69,38,183,x,x,20,26,11,0,23,110,8,x,129,15,x,0,6,0,0
64,E06000017,LA,857,Rutland,19,9,11,8,x,x,x,x,x,x,0,0,6,x,0,0,x,x,0,0,10,0,x,0,0,0,0
73,E10000028,LA,860,Staffordshire,333,134,193,140,54,51,49,116,63,87,7,x,77,115,x,0,43,106,x,0,198,21,x,0,x,0,0
74,E06000021,LA,861,Stoke-on-Trent,216,114,119,97,53,47,42,61,13,92,18,55,x,24,10,x,7,57,x,0,102,53,x,0,0,0,0
164,E06000054,LA,865,Wiltshire,173,78,99,74,39,19,34,62,19,120,x,x,x,16,x,0,22,56,x,x,91,16,x,0,x,0,0
162,E06000030,LA,866,Swindon,179,66,102,77,29,40,38,54,18,115,x,x,19,20,x,0,12,44,x,0,111,16,x,0,x,0,0
129,E06000036,LA,867,Bracknell Forest,67,29,37,30,6,6,20,21,14,32,x,x,11,15,x,0,x,19,0,0,38,x,x,0,0,0,0
146,E06000040,LA,868,Windsor and Maidenhead,53,21,28,25,x,x,10,18,14,19,x,x,17,x,0,0,10,x,0,0,32,x,0,0,0,0,0
144,E06000037,LA,869,West Berkshire,74,38,36,38,14,14,15,16,15,33,x,x,x,18,x,0,11,29,x,0,36,x,0,0,0,0,0
140,E06000038,LA,870,Reading,142,62,67,75,23,23,27,46,23,82,x,12,24,7,x,0,11,41,x,0,80,11,x,0,0,0,0
141,E06000039,LA,871,Slough,118,45,61,57,25,10,21,31,31,76,x,x,7,10,10,0,8,18,x,0,69,16,6,0,x,0,0
147,E06000041,LA,872,Wokingham,25,13,13,12,x,x,x,12,x,10,x,0,x,x,0,0,7,x,0,0,12,x,x,0,0,0,0
83,E10000003,LA,873,Cambridgeshire,363,176,196,167,52,80,67,93,71,260,10,x,14,19,x,0,49,92,x,0,180,59,21,0,x,x,0
88,E06000031,LA,874,Peterborough,179,76,100,79,34,30,27,37,51,146,x,x,x,6,x,0,16,58,x,0,96,13,x,0,6,x,0
23,E06000006,LA,876,Halton,98,53,55,43,22,27,21,21,7,53,0,x,x,30,x,0,x,47,x,0,43,x,0,0,x,0,0
36,E06000007,LA,877,Warrington,158,65,88,70,28,43,28,43,16,121,x,x,8,13,x,0,9,46,0,0,91,x,0,0,x,0,0
153,E10000008,LA,878,Devon,308,110,178,130,47,56,52,111,42,177,x,18,34,51,x,0,15,46,11,0,196,48,x,0,x,x,0
158,E06000026,LA,879,Plymouth,161,81,84,77,38,37,24,41,21,103,9,21,x,7,x,7,10,65,x,0,79,6,x,0,x,0,0
163,E06000027,LA,880,Torbay,114,43,56,58,31,25,20,25,13,72,x,7,9,x,x,x,16,28,x,x,68,7,x,0,x,0,0
84,E10000012,LA,881,Essex,482,210,292,190,78,75,71,152,106,321,10,x,29,24,x,0,88,137,x,x,259,58,12,0,11,0,0
89,E06000033,LA,882,Southend-on-Sea,152,97,88,64,21,38,31,43,19,134,x,0,x,0,x,0,11,63,x,0,54,13,14,0,x,0,0
91,E06000034,LA,883,Thurrock,199,65,136,63,22,23,26,67,61,94,x,0,x,23,10,0,67,51,x,0,132,8,x,0,x,0,0
69,E06000019,LA,884,Herefordshire,99,42,56,43,17,16,14,34,18,46,x,8,6,21,x,0,7,34,x,0,55,x,x,0,x,0,0
79,E10000034,LA,885,Worcestershire,329,160,162,167,66,80,63,79,41,231,x,12,22,20,x,0,30,103,x,0,164,43,7,0,x,0,0
135,E10000016,LA,886,Kent,882,270,598,284,103,121,85,250,323,174,x,x,86,259,26,0,314,158,9,x,597,76,26,x,10,x,0
136,E06000035,LA,887,Medway,145,67,62,83,39,33,30,26,17,86,x,15,12,25,x,0,x,42,x,x,75,18,x,0,x,0,0
25,E10000017,LA,888,Lancashire,720,473,373,347,166,175,147,181,51,480,10,x,34,178,x,0,8,407,x,0,235,59,x,0,12,0,0
16,E06000008,LA,889,Blackburn with Darwen,158,87,76,82,31,46,35,33,13,117,0,0,11,24,x,0,x,76,0,0,68,10,x,0,x,x,0
17,E06000009,LA,890,Blackpool,267,151,141,126,58,48,56,91,14,206,x,20,23,16,x,0,0,106,x,0,114,44,0,0,x,0,0
63,E10000024,LA,891,Nottinghamshire,295,96,171,124,63,58,39,94,41,132,15,26,27,60,8,0,27,50,x,0,196,39,x,x,x,0,0
62,E06000018,LA,892,Nottingham,228,104,127,101,56,31,33,59,49,136,x,x,29,28,x,x,21,88,x,0,113,13,x,0,11,0,0
71,E06000051,LA,893,Shropshire,118,34,83,35,18,17,12,43,28,82,x,0,x,13,x,0,12,25,x,0,81,6,0,0,x,0,0
75,E06000020,LA,894,Telford and Wrekin,176,86,91,85,44,44,40,41,7,150,x,x,x,8,x,0,x,51,x,x,87,30,x,0,x,0,0
20,E06000049,LA,895,Cheshire East,172,99,85,87,27,32,49,45,19,96,x,x,37,17,0,0,12,74,x,0,73,x,0,0,0,0,0
21,E06000050,LA,896,Cheshire West and Chester,196,101,101,95,35,64,42,33,22,131,x,14,6,32,x,0,7,90,x,0,93,x,x,0,x,x,0
152,E06000052,LA,908,Cornwall,197,79,108,89,45,37,21,72,22,102,10,18,30,33,x,0,x,62,x,x,115,15,0,0,0,0,0
22,E10000006,LA,909,Cumbria,233,151,123,110,50,47,55,68,13,173,x,x,22,27,x,0,x,115,x,0,81,26,7,0,x,0,0
155,E10000013,LA,916,Gloucestershire,336,110,197,139,46,63,64,115,48,239,12,x,19,40,x,x,21,61,x,x,216,27,16,x,7,0,0
85,E10000015,LA,919,Hertfordshire,371,183,220,151,60,60,58,111,82,141,12,33,77,97,11,0,0,87,x,0,181,75,17,0,x,0,0
134,E06000046,LA,921,Isle of Wight,96,42,45,51,15,17,25,31,8,29,6,6,x,45,x,x,6,x,0,0,54,x,0,0,0,0,0
60,E10000019,LA,925,Lincolnshire,334,125,184,150,75,71,63,87,38,283,6,0,x,13,x,0,23,83,0,0,201,41,x,0,6,x,0
87,E10000020,LA,926,Norfolk,472,220,280,192,98,95,86,133,60,285,10,13,48,88,13,0,15,152,x,x,242,54,10,0,x,x,x
61,E10000021,LA,928,Northamptonshire,504,243,267,237,89,91,98,136,90,217,38,9,15,187,x,x,28,168,x,x,257,63,8,0,x,0,0
10,E06000048,LA,929,Northumberland,245,62,114,131,52,49,55,75,14,129,x,6,37,55,7,x,6,47,7,0,181,x,x,0,x,0,0
138,E10000025,LA,931,Oxfordshire,352,175,173,179,71,54,65,120,42,218,7,16,33,38,8,0,32,113,x,6,168,37,20,0,x,0,0
160,E10000027,LA,933,Somerset,230,86,129,101,47,40,40,71,32,185,x,7,13,15,x,0,x,37,x,x,142,36,9,0,0,0,0
90,E10000029,LA,935,Suffolk,331,132,186,145,73,60,35,86,77,173,x,x,41,40,13,0,54,97,x,0,193,26,x,0,x,0,x
143,E10000030,LA,936,Surrey,406,128,239,167,66,65,63,127,85,248,12,0,24,46,8,0,68,76,6,x,271,38,8,0,x,0,0
77,E10000031,LA,937,Warwickshire,251,92,146,105,60,39,39,63,50,105,0,x,32,57,x,x,51,70,x,0,157,x,14,0,x,0,0
145,E10000032,LA,938,West Sussex,377,140,226,151,67,70,54,104,82,195,17,29,17,16,6,0,97,72,0,0,234,49,x,0,x,0,0
