LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2017,CLA_2017,CLA_stp2017,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_InBound,CLA_Outbound,CLA_InLA_LTE20,CLA_OutLA_LTE20,CLA_InLA_GT20,CLA_OutLA_GT20,CLA_InLA_NoInfo,CLA_OutLA_NoInfo,CLA_LAPl,CLA_IntPl,CLA_ExtPl,CLA_NetGain,CLA_RPC_All_Place,CLA_RPC_CARPL,CLA_RPC_CLOSE,CLA_RPC_ALLEG,CLA_RPC_STAND,CLA_RPC_APPRR,CLA_RPC_CREQB,CLA_RPC_CREQO,CLA_RPC_CHILD,CLA_RPC_LAREQ,CLA_RPC_PLACE,CLA_RPC_OTHER
129,E09000021,LA,314,Kingston upon Thames,115,166,x,69,46,x,x,15,50,39,60,12,18,17,x,x,81,6,0,x,23,x,x,0,13,50,0,x,45,0,x,26,39,x,0,64,x,0,0,29,86,24,31,x,27,x,28,55,28,27,x,40,6,0,0,x,x,8,6,x,0,x,10
130,E09000024,LA,315,Merton,152,257,16,85,67,x,x,21,52,63,73,18,x,35,15,x,108,x,x,0,32,x,x,0,22,66,0,x,53,0,x,20,61,8,x,69,9,x,0,50,102,36,72,x,23,13,x,174,50,124,22,118,80,x,x,0,0,22,x,6,0,x,x
110,E09000025,LA,316,Newham,396,657,0,222,174,20,34,50,143,149,102,59,98,111,x,x,288,x,x,58,40,6,0,0,52,154,0,6,179,x,x,56,165,0,x,209,14,x,0,136,260,108,171,0,58,28,31,346,136,210,x,323,x,0,0,0,0,0,0,0,0,x,230
131,E09000026,LA,317,Redbridge,228,399,x,130,98,13,25,37,79,74,67,59,43,46,x,x,183,x,x,7,14,16,x,0,34,79,0,x,105,0,x,17,69,10,x,128,15,x,0,82,146,72,95,x,39,x,12,439,82,357,211,104,21,x,0,x,0,13,19,8,x,18,20
132,E09000027,LA,318,Richmond upon Thames,106,181,x,70,36,x,9,x,44,45,58,19,16,x,x,0,67,x,x,0,32,x,x,0,x,41,0,x,52,0,0,27,45,x,0,39,13,x,0,22,84,17,32,x,25,x,27,54,22,32,x,79,21,x,x,x,0,8,9,6,x,10,17
133,E09000029,LA,319,Sutton,230,351,0,118,112,10,24,46,87,63,160,31,14,19,6,0,157,12,0,19,x,31,x,0,30,111,0,x,66,0,x,20,89,0,0,131,x,0,0,74,156,72,74,0,64,x,x,167,74,93,x,193,88,0,x,12,0,30,9,16,x,16,12
134,E09000031,LA,320,Waltham Forest,281,447,34,173,108,15,18,22,120,106,102,60,38,65,x,x,201,9,x,0,64,x,x,x,17,118,0,x,135,0,x,52,97,x,x,157,20,x,x,95,186,70,111,0,48,25,27,327,95,232,46,235,67,x,x,x,0,71,23,14,29,x,20
71,E08000025,LA,330,Birmingham,1841,2526,0,1020,821,101,213,374,733,420,912,322,261,237,76,33,1334,69,94,21,294,15,x,x,236,1057,0,152,381,0,15,119,761,21,8,838,107,94,12,1132,709,1035,442,6,238,91,29,1680,1132,548,x,1348,660,22,26,x,x,178,76,81,105,159,23
72,E08000026,LA,331,Coventry,620,860,36,338,282,41,78,98,244,159,443,77,36,47,x,x,461,21,x,0,117,x,0,0,100,311,0,68,141,0,0,39,242,x,x,332,20,17,0,306,314,283,178,0,120,23,16,458,306,152,x,403,41,0,0,x,0,63,x,16,0,31,234
73,E08000027,LA,332,Dudley,675,884,15,360,315,33,88,176,250,128,552,96,13,9,x,x,537,23,48,14,39,14,0,0,62,506,0,x,58,0,x,x,368,x,x,220,30,48,0,351,324,344,237,x,85,x,x,559,351,208,x,420,221,x,18,x,0,64,20,19,9,41,21
75,E08000028,LA,333,Sandwell,610,775,x,346,264,37,103,138,223,109,363,111,78,42,x,x,463,20,60,22,31,14,0,0,118,343,0,58,91,0,0,15,283,x,x,213,46,60,0,290,320,280,247,0,66,10,7,590,290,300,x,395,260,x,x,x,x,31,9,8,x,67,9
77,E08000029,LA,334,Solihull,383,519,0,244,139,8,51,81,159,84,248,52,50,13,9,11,284,x,34,0,57,x,0,0,56,166,0,22,139,0,0,60,182,0,x,153,x,34,0,151,232,147,133,0,x,x,58,276,151,125,x,218,140,x,x,0,0,32,11,0,9,x,18
81,E08000030,LA,335,Walsall,648,804,12,349,299,45,125,152,235,91,467,107,38,29,x,x,481,41,53,x,51,12,0,x,x,458,0,70,61,0,x,8,382,x,x,189,15,53,x,328,320,323,219,x,97,x,x,604,328,276,x,277,92,0,x,x,0,36,15,11,9,49,55
83,E08000031,LA,336,Wolverhampton,639,817,0,378,261,29,95,162,267,86,394,92,26,86,31,10,510,24,38,19,32,x,6,7,57,462,0,62,58,0,0,12,302,0,x,232,59,38,x,279,360,268,283,x,72,10,x,478,279,199,x,581,96,x,8,12,x,60,33,6,45,13,302
26,E08000011,LA,340,Knowsley,290,395,x,157,133,14,44,71,110,51,275,10,x,x,x,0,194,x,45,14,23,7,x,0,55,188,0,15,x,0,x,x,138,x,x,88,13,45,0,156,134,155,104,0,24,x,x,342,156,186,52,174,53,x,x,7,x,24,17,11,x,12,44
