LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_17&18,CL_All_17,CL_All_18,CL_Act_HE17&18,CL_Act_HE17,CL_Act_HE18,CL_Act_OE17&18,CL_Act_OE17,CL_Act_OE18,CL_Act_TE17&18,CL_Act_TE17,CL_Act_TE18,CL_Act_NEET_ill17&18,CL_Act_NEET_ill17,CL_Act_NEET_ill18,CL_Act_NEET_oth17&18,CL_Act_NEET_oth17,CL_Act_NEET_oth18,CL_Act_NEET_preg17&18,CL_Act_NEET_preg17,CL_Act_NEET_preg18,CL_Act_NoInf17&18,CL_Act_NoInf17,CL_Act_NoInf18,CL_Acc_SUIT17&18,CL_Acc_SUIT17,CL_Acc_SUIT18,CL_Acc_NotSUIT17&18,CL_Acc_NotSUIT17,CL_Acc_NotSUIT18,CL_Acc_NoSUITInfo17&18,CL_Acc_NoSUITInfo17,CL_Acc_NoSUITInfo18,CL_Acc_P17&18,CL_Acc_P17,CL_Acc_P18,CL_Acc_CH17&18,CL_Acc_CH17,CL_Acc_CH18,CL_Acc_SITA17&18,CL_Acc_SITA17,CL_Acc_SITA18,CL_Acc_SL17&18,CL_Acc_SL17,CL_Acc_SL18,CL_Acc_GA17&18,CL_Acc_GA17,CL_Acc_GA18,CL_Acc_Dep17&18,CL_Acc_Dep17,CL_Acc_Dep18,CL_Acc_OL17&18,CL_Acc_OL17,CL_Acc_OL18,CL_Acc_NK17&18,CL_Acc_NK17,CL_Acc_NK18,CL_Acc_NFA17&18,CL_Acc_NFA17,CL_Acc_NFA18,CL_Acc_F17&18,CL_Acc_F17,CL_Acc_F18,CL_Acc_IL17&18,CL_Acc_IL17,CL_Acc_IL18,CL_Acc_EA17&18,CL_Acc_EA17,CL_Acc_EA18,CL_Acc_BB17&18,CL_Acc_BB17,CL_Acc_BB18,CL_Acc_Cust17&18,CL_Acc_Cust17,CL_Acc_Cust18,CL_Acc_FFC17&18,CL_Acc_FFC17,CL_Acc_FFC18,CL_Acc_OTH17&18,CL_Acc_OTH17,CL_Acc_OTH18,CL_Acc_NoInf17&18,CL_Acc_NoInf17,CL_Acc_NoInf18,CL_InTouch_IT17&18,CL_InTouch_IT17,CL_InTouch_IT18,CL_InTouch_Refu17&18,CL_InTouch_Refu17,CL_InTouch_Refu18,CL_InTouch_NoServ17&18,CL_InTouch_NoServ17,CL_InTouch_NoServ18,CL_InTouch_Not17&18,CL_InTouch_Not17,CL_InTouch_Not18,CL_Stayput_18,CL_Stayput_FFC_18
121,E09000008,LA,306,Croydon,262,12,250,x,0,x,86,x,x,23,0,23,x,0,x,65,0,65,x,0,x,76,x,x,160,x,x,13,0,13,76,x,x,9,0,9,x,0,x,6,0,6,7,0,7,0,0,0,0,0,0,x,x,x,13,0,13,x,0,x,x,0,x,120,0,120,0,0,0,x,0,x,x,0,x,8,0,8,x,0,x,76,x,x,186,x,x,0,0,0,0,0,0,76,x,x,126,8
122,E09000009,LA,307,Ealing,82,x,x,0,0,0,49,x,x,8,0,8,x,0,x,16,0,16,x,0,x,x,x,x,73,x,x,x,0,x,x,x,x,11,x,x,x,0,x,43,0,43,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,16,0,16,0,0,0,x,x,x,x,x,x,0,0,0,x,x,x,x,0,x,19,15
123,E09000010,LA,308,Enfield,86,x,x,0,0,0,36,x,x,9,0,9,x,0,x,29,x,x,6,0,6,x,0,x,75,x,x,x,x,x,x,0,x,7,x,x,x,0,x,43,0,43,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,0,0,0,0,0,0,x,x,x,17,0,17,x,0,x,x,0,x,79,x,x,x,0,x,0,0,0,x,0,x,25,17
105,E09000014,LA,309,Haringey,69,x,x,x,0,x,20,0,20,10,0,10,x,0,x,14,0,14,x,0,x,13,x,12,54,0,54,x,0,x,x,x,x,x,0,x,x,0,x,28,0,28,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,x,0,x,9,0,9,x,0,x,13,x,x,55,0,55,x,0,x,0,0,0,x,x,x,10,x
125,E09000015,LA,310,Harrow,44,0,44,x,0,x,24,0,24,x,0,x,0,0,0,9,0,9,x,0,x,x,0,x,x,0,x,x,0,x,0,0,0,x,0,x,x,0,x,31,0,31,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,6,x
126,E09000016,LA,311,Havering,39,x,x,0,0,0,27,0,27,x,0,x,x,0,x,6,x,x,x,0,x,0,0,0,x,x,x,x,0,x,0,0,0,x,x,x,0,0,0,25,0,25,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,39,x,x,0,0,0,0,0,0,0,0,0,9,x
127,E09000017,LA,312,Hillingdon,110,8,102,x,0,x,61,x,x,13,x,x,x,0,x,21,x,x,x,0,x,7,0,7,99,8,91,x,0,x,x,0,x,14,x,x,x,0,x,12,0,12,9,0,9,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,6,0,6,42,x,x,0,0,0,0,0,0,x,0,x,13,0,13,x,0,x,x,0,x,102,8,94,0,0,0,x,0,x,x,0,x,26,11
128,E09000018,LA,313,Hounslow,78,x,x,x,0,x,50,x,x,x,0,x,x,0,x,12,x,x,x,0,x,x,x,x,72,x,x,0,0,0,x,x,x,x,x,x,12,0,12,47,0,47,0,0,0,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,x,x,x,72,x,x,0,0,0,x,x,x,x,x,0,18,6
129,E09000021,LA,314,Kingston upon Thames,23,x,x,0,0,0,12,x,x,x,0,x,0,0,0,x,0,x,x,0,x,x,x,x,x,x,x,0,0,0,x,x,x,x,x,x,x,0,x,11,0,11,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,x,x,x,x,x,x,0,0,0,0,0,0,x,x,x,x,x
130,E09000024,LA,315,Merton,39,x,x,x,0,x,22,0,22,x,0,x,0,0,0,7,x,x,x,0,x,x,0,x,x,x,x,x,0,x,x,0,x,x,x,x,x,0,x,23,0,23,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,x,0,x,x,0,x,x,0,x,0,0,0,x,x,x,x,0,x,11,x
