time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2020,Reporting year,National,E92000001,England,Other,1.i 20 miles or less inside LA boundary,1280,65
2020,Reporting year,National,E92000001,England,Other,1.ii 20 miles or less outside LA boundary,350,18
2020,Reporting year,National,E92000001,England,Other,2.i Over 20 miles inside LA boundary,40,2
2020,Reporting year,National,E92000001,England,Other,2.ii Over 20 miles outside LA boundary,230,12
2020,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,60,3
2020,Reporting year,National,E92000001,England,Other,Total,1970,100
2020,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,740,21
2020,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,880,25
2020,Reporting year,National,E92000001,England,Placed for adoption,2.i Over 20 miles inside LA boundary,300,9
2020,Reporting year,National,E92000001,England,Placed for adoption,2.ii Over 20 miles outside LA boundary,1190,34
2020,Reporting year,National,E92000001,England,Placed for adoption,Distance not Known or not recorded,360,10
2020,Reporting year,National,E92000001,England,Placed for adoption,Total,3470,100
2020,Reporting year,National,E92000001,England,Placed with parents,1.i 20 miles or less inside LA boundary,5440,81
2020,Reporting year,National,E92000001,England,Placed with parents,1.ii 20 miles or less outside LA boundary,720,11
2020,Reporting year,National,E92000001,England,Placed with parents,2.i Over 20 miles inside LA boundary,90,1
2020,Reporting year,National,E92000001,England,Placed with parents,2.ii Over 20 miles outside LA boundary,460,7
2020,Reporting year,National,E92000001,England,Placed with parents,Distance not Known or not recorded,20,k
2020,Reporting year,National,E92000001,England,Placed with parents,Total,6730,100
2020,Reporting year,National,E92000001,England,Residential placements,1.i 20 miles or less inside LA boundary,1060,27
2020,Reporting year,National,E92000001,England,Residential placements,1.ii 20 miles or less outside LA boundary,1010,26
2020,Reporting year,National,E92000001,England,Residential placements,2.i Over 20 miles inside LA boundary,80,2
2020,Reporting year,National,E92000001,England,Residential placements,2.ii Over 20 miles outside LA boundary,1710,44
2020,Reporting year,National,E92000001,England,Residential placements,Distance not Known or not recorded,50,1
2020,Reporting year,National,E92000001,England,Residential placements,Total,3910,100
2020,Reporting year,National,E92000001,England,Residential schools,1.i 20 miles or less inside LA boundary,20,18
2020,Reporting year,National,E92000001,England,Residential schools,1.ii 20 miles or less outside LA boundary,10,13
2020,Reporting year,National,E92000001,England,Residential schools,2.i Over 20 miles inside LA boundary,10,15
2020,Reporting year,National,E92000001,England,Residential schools,2.ii Over 20 miles outside LA boundary,40,54
2020,Reporting year,National,E92000001,England,Residential schools,Distance not Known or not recorded,0,0
2020,Reporting year,National,E92000001,England,Residential schools,Total,80,100
2020,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1.i 20 miles or less inside LA boundary,4620,31
2020,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1.ii 20 miles or less outside LA boundary,2840,19
2020,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2.i Over 20 miles inside LA boundary,540,4
2020,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2.ii Over 20 miles outside LA boundary,4120,28
2020,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Distance not Known or not recorded,2780,19
2020,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Total,14900,100
2021,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,24980,54
2021,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,10910,24
2021,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2420,5
2021,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,5930,13
2021,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,1860,4
2021,Reporting year,National,E92000001,England,Foster placements,Total,46110,100
2021,Reporting year,National,E92000001,England,Living independently,1.i 20 miles or less inside LA boundary,1700,43
2021,Reporting year,National,E92000001,England,Living independently,1.ii 20 miles or less outside LA boundary,640,16
2021,Reporting year,National,E92000001,England,Living independently,2.i Over 20 miles inside LA boundary,240,6
2021,Reporting year,National,E92000001,England,Living independently,2.ii Over 20 miles outside LA boundary,360,9
2021,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,1060,27
2021,Reporting year,National,E92000001,England,Living independently,Total,3990,100
2021,Reporting year,National,E92000001,England,Other,1.i 20 miles or less inside LA boundary,1560,72
2021,Reporting year,National,E92000001,England,Other,1.ii 20 miles or less outside LA boundary,310,14
2021,Reporting year,National,E92000001,England,Other,2.i Over 20 miles inside LA boundary,40,2
2021,Reporting year,National,E92000001,England,Other,2.ii Over 20 miles outside LA boundary,220,10
2021,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,30,2
2021,Reporting year,National,E92000001,England,Other,Total,2160,100
2021,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,590,18
2021,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,870,27
2021,Reporting year,National,E92000001,England,Placed for adoption,2.i Over 20 miles inside LA boundary,260,8
2021,Reporting year,National,E92000001,England,Placed for adoption,2.ii Over 20 miles outside LA boundary,1270,39
2021,Reporting year,National,E92000001,England,Placed for adoption,Distance not Known or not recorded,280,9
2021,Reporting year,National,E92000001,England,Placed for adoption,Total,3280,100
2021,Reporting year,National,E92000001,England,Placed with parents,1.i 20 miles or less inside LA boundary,5740,80
2021,Reporting year,National,E92000001,England,Placed with parents,1.ii 20 miles or less outside LA boundary,860,12
2021,Reporting year,National,E92000001,England,Placed with parents,2.i Over 20 miles inside LA boundary,100,1
2021,Reporting year,National,E92000001,England,Placed with parents,2.ii Over 20 miles outside LA boundary,460,6
2021,Reporting year,National,E92000001,England,Placed with parents,Distance not Known or not recorded,10,k
2021,Reporting year,National,E92000001,England,Placed with parents,Total,7160,100
2021,Reporting year,National,E92000001,England,Residential placements,1.i 20 miles or less inside LA boundary,990,28
2021,Reporting year,National,E92000001,England,Residential placements,1.ii 20 miles or less outside LA boundary,930,26
2021,Reporting year,National,E92000001,England,Residential placements,2.i Over 20 miles inside LA boundary,80,2
2021,Reporting year,National,E92000001,England,Residential placements,2.ii Over 20 miles outside LA boundary,1540,43
2021,Reporting year,National,E92000001,England,Residential placements,Distance not Known or not recorded,50,1
2021,Reporting year,National,E92000001,England,Residential placements,Total,3590,100
2021,Reporting year,National,E92000001,England,Residential schools,1.i 20 miles or less inside LA boundary,10,19
2021,Reporting year,National,E92000001,England,Residential schools,1.ii 20 miles or less outside LA boundary,20,21
2021,Reporting year,National,E92000001,England,Residential schools,2.i Over 20 miles inside LA boundary,10,8
2021,Reporting year,National,E92000001,England,Residential schools,2.ii Over 20 miles outside LA boundary,40,51
2021,Reporting year,National,E92000001,England,Residential schools,Distance not Known or not recorded,c,c
2021,Reporting year,National,E92000001,England,Residential schools,Total,70,100
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1.i 20 miles or less inside LA boundary,4800,32
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1.ii 20 miles or less outside LA boundary,2880,19
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2.i Over 20 miles inside LA boundary,520,3
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2.ii Over 20 miles outside LA boundary,4000,26
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Distance not Known or not recorded,3000,20
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Total,15190,100
2022,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,25860,53
2022,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,11520,24
2022,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2670,5
2022,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,6050,12
2022,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,2730,6
2022,Reporting year,National,E92000001,England,Foster placements,Total,48830,100
2022,Reporting year,National,E92000001,England,Living independently,1.i 20 miles or less inside LA boundary,1570,39
2022,Reporting year,National,E92000001,England,Living independently,1.ii 20 miles or less outside LA boundary,510,13
2022,Reporting year,National,E92000001,England,Living independently,2.i Over 20 miles inside LA boundary,210,5
2022,Reporting year,National,E92000001,England,Living independently,2.ii Over 20 miles outside LA boundary,310,8
2022,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,1450,36
2022,Reporting year,National,E92000001,England,Living independently,Total,4060,100
2022,Reporting year,National,E92000001,England,Other,1.i 20 miles or less inside LA boundary,1610,67
2022,Reporting year,National,E92000001,England,Other,1.ii 20 miles or less outside LA boundary,380,16
2022,Reporting year,National,E92000001,England,Other,2.i Over 20 miles inside LA boundary,70,3
2022,Reporting year,National,E92000001,England,Other,2.ii Over 20 miles outside LA boundary,300,13
2022,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,30,1
2022,Reporting year,National,E92000001,England,Other,Total,2390,100
2022,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,450,16
2022,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,790,29
2022,Reporting year,National,E92000001,England,Placed for adoption,2.i Over 20 miles inside LA boundary,190,7
2022,Reporting year,National,E92000001,England,Placed for adoption,2.ii Over 20 miles outside LA boundary,1090,40
2022,Reporting year,National,E92000001,England,Placed for adoption,Distance not Known or not recorded,230,8
2022,Reporting year,National,E92000001,England,Placed for adoption,Total,2750,100
2022,Reporting year,National,E92000001,England,Placed with parents,1.i 20 miles or less inside LA boundary,5670,81
2022,Reporting year,National,E92000001,England,Placed with parents,1.ii 20 miles or less outside LA boundary,770,11
2022,Reporting year,National,E92000001,England,Placed with parents,2.i Over 20 miles inside LA boundary,70,1
2022,Reporting year,National,E92000001,England,Placed with parents,2.ii Over 20 miles outside LA boundary,460,7
2022,Reporting year,National,E92000001,England,Placed with parents,Distance not Known or not recorded,20,k
2022,Reporting year,National,E92000001,England,Placed with parents,Total,6990,100
2022,Reporting year,National,E92000001,England,Residential placements,1.i 20 miles or less inside LA boundary,900,28
