New_geog_code,geog_l,geog_c,geog_n,All_aged1920&21,Act_HE,Act_OE,Act_TE,Act_NEET_ill,Act_NEET_oth,Act_NEET_preg,LA_Noinf,ChildDied,Acc_SUIT,Acc_P,Acc_CH,Acc_SITA,Acc_SL,Acc_GA,Acc_Dep,Acc_OL,Acc_ResNk,Acc_NFA,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_Cust,Acc_FFC,Acc_OTH,LA_Noinf,ChildDied
E06000056,LA,823,Central Bedfordshire,100,x,28,15,x,19,x,30,0,67,6,x,x,x,0,x,x,x,0,8,37,0,0,0,x,x,30,0
E10000002,LA,825,Buckinghamshire,141,16,x,27,19,41,13,21,0,106,10,6,0,9,0,0,x,6,x,x,69,0,x,x,x,7,20,0
E06000042,LA,826,Milton Keynes,122,x,21,20,x,29,8,33,x,80,9,x,10,x,0,x,x,x,0,0,44,0,0,x,0,x,33,x
E10000007,LA,830,Derbyshire,265,11,14,101,20,85,24,10,0,242,15,11,9,15,x,x,x,x,0,x,172,x,0,14,x,10,8,0
E06000015,LA,831,Derby,149,x,37,48,x,39,6,12,0,132,20,x,x,13,0,0,x,0,x,0,82,x,0,x,6,x,11,0
E10000009,LA,835,Dorset,136,x,23,16,6,27,16,43,x,86,13,x,x,9,0,0,x,0,x,x,46,0,x,x,x,x,43,x
E06000029,LA,836,Poole,44,7,9,14,x,6,x,x,0,40,x,x,x,6,0,0,x,x,0,x,19,0,x,0,x,x,x,0
E06000028,LA,837,Bournemouth,87,x,20,17,8,26,0,14,0,67,12,7,x,8,0,0,x,0,0,x,34,x,x,0,x,x,14,0
E06000047,LA,840,Durham,156,7,35,34,9,24,10,36,x,115,12,0,11,15,0,0,x,x,0,x,65,0,0,x,0,x,36,x
E06000005,LA,841,Darlington,48,7,x,13,x,12,0,11,x,34,6,x,x,x,0,0,x,0,0,0,7,0,0,0,x,16,10,x
E10000011,LA,845,East Sussex,167,8,54,29,6,35,14,20,x,144,25,15,6,13,0,0,x,0,0,13,43,0,x,6,19,x,20,x
E06000043,LA,846,Brighton and Hove,191,11,60,53,11,42,7,7,0,173,24,x,36,26,0,x,0,0,x,11,69,x,x,6,x,x,x,0
E10000014,LA,850,Hampshire,462,25,70,98,30,126,23,90,0,329,63,9,17,44,0,0,8,x,7,0,161,6,x,13,24,15,90,0
E06000044,LA,851,Portsmouth,117,8,14,19,6,14,x,55,0,58,x,x,12,x,x,x,10,x,x,x,12,x,0,x,0,x,55,0
E06000045,LA,852,Southampton,115,x,10,23,11,30,12,26,x,80,12,8,17,x,0,x,0,0,x,x,30,0,x,x,7,x,26,x
E10000018,LA,855,Leicestershire,193,x,36,33,14,57,x,44,0,118,18,x,x,8,0,0,x,x,0,x,84,x,0,x,0,14,44,0
E06000016,LA,856,Leicester,167,10,31,28,17,37,x,39,0,121,9,x,11,18,0,x,x,0,x,0,66,0,x,x,x,10,37,0
E06000017,LA,857,Rutland,9,x,x,x,x,x,0,0,0,9,0,x,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
E10000028,LA,860,Staffordshire,338,30,69,84,26,84,12,33,0,273,45,13,12,20,0,0,0,16,0,0,129,x,0,x,6,57,34,0
E06000021,LA,861,Stoke-on-Trent,142,6,23,21,8,52,13,19,0,117,20,6,6,x,0,0,x,0,0,0,55,0,x,x,x,20,19,0
E06000054,LA,865,Wiltshire,152,11,18,23,12,33,23,29,x,121,17,9,13,13,x,x,11,0,x,0,41,x,0,x,0,9,25,x
E06000030,LA,866,Swindon,130,7,28,16,x,58,0,18,0,105,12,0,21,11,0,0,0,0,x,6,42,x,x,x,x,9,18,0
E06000036,LA,867,Bracknell Forest,57,x,14,17,x,18,0,x,0,50,6,0,x,x,0,0,x,0,x,x,30,0,0,0,x,x,x,0
E06000040,LA,868,Windsor and Maidenhead,47,x,17,8,x,x,6,7,0,38,x,8,x,x,0,0,0,x,0,0,21,x,0,0,x,0,7,0
E06000037,LA,869,West Berkshire,64,x,9,11,8,23,x,9,0,48,11,0,13,0,0,0,6,x,6,0,14,0,0,x,x,0,9,0
E06000038,LA,870,Reading,70,6,x,30,7,19,0,6,0,62,8,x,x,x,0,0,x,0,0,x,36,0,0,x,x,6,6,0
E06000039,LA,871,Slough,76,7,25,12,x,13,x,9,x,65,11,x,7,x,x,x,x,x,0,8,19,0,0,x,6,x,x,x
E06000041,LA,872,Wokingham,35,x,6,x,0,7,0,16,0,14,8,0,x,x,0,0,x,0,0,0,x,0,x,0,x,x,15,0
E10000003,LA,873,Cambridgeshire,241,27,25,56,22,102,7,x,x,210,24,12,30,x,0,0,62,x,0,6,50,x,x,9,20,21,x,x
E06000031,LA,874,Peterborough,105,x,17,20,6,37,8,14,0,91,13,x,x,x,0,0,0,0,0,x,54,0,x,x,7,x,14,0
E06000006,LA,876,Halton,62,x,17,17,7,9,10,0,0,57,10,x,0,x,0,0,x,0,0,0,35,0,0,x,x,x,0,0
E06000007,LA,877,Warrington,78,6,12,17,10,24,7,x,0,70,13,x,x,x,0,0,x,0,x,x,41,0,0,x,x,x,x,0
E10000008,LA,878,Devon,435,17,46,75,34,106,29,127,x,292,33,22,25,23,0,0,x,0,x,16,153,0,6,6,18,0,127,x
E06000026,LA,879,Plymouth,190,11,34,73,x,57,0,13,0,161,23,6,x,7,0,0,x,0,0,17,89,x,x,7,11,9,13,0
E06000027,LA,880,Torbay,90,8,9,20,x,24,0,24,0,64,12,x,0,x,0,0,0,0,0,x,37,x,0,0,x,x,24,0
E10000012,LA,881,Essex,636,45,90,123,56,158,55,104,x,489,83,36,40,20,0,0,38,x,16,16,219,x,x,14,13,22,104,x
E06000033,LA,882,Southend-on-Sea,93,8,17,29,6,19,11,x,0,83,19,x,x,x,0,0,0,0,x,x,43,0,0,x,11,x,x,0
E06000034,LA,883,Thurrock,110,9,13,16,7,29,9,27,0,83,7,x,x,x,0,x,x,x,0,0,56,0,0,x,x,x,26,0
E06000019,LA,884,Herefordshire,91,8,14,29,x,14,9,13,0,77,8,10,13,7,0,0,34,0,x,0,x,0,0,x,0,0,13,0
E10000034,LA,885,Worcestershire,272,x,46,33,33,62,12,83,x,173,26,18,9,x,0,0,x,x,x,x,81,0,x,x,15,23,83,x
E10000016,LA,886,Kent,1029,27,117,96,40,162,11,576,0,437,47,9,28,91,0,0,x,7,x,x,231,0,6,8,x,22,571,0
E06000035,LA,887,Medway,197,6,37,43,13,40,23,35,0,154,10,9,16,38,0,0,0,0,0,13,64,x,0,8,0,x,35,0
E10000017,LA,888,Lancashire,442,47,53,75,42,182,43,0,0,336,57,9,20,x,0,0,22,59,6,x,186,x,x,27,29,7,7,0
E06000008,LA,889,Blackburn with Darwen,112,10,11,24,12,41,x,9,0,96,23,x,7,8,x,0,x,0,0,x,47,0,0,x,x,x,9,0
E06000009,LA,890,Blackpool,95,x,12,25,11,29,9,x,x,70,6,x,x,x,0,0,0,x,x,x,52,0,0,12,x,x,x,x
E10000024,LA,891,Nottinghamshire,236,7,56,55,23,66,0,28,x,193,29,17,25,29,0,0,0,0,0,x,94,x,0,8,0,0,28,x
E06000018,LA,892,Nottingham,218,7,26,52,6,91,0,36,0,182,16,8,x,7,0,0,0,0,0,0,130,0,0,10,x,6,36,0
E06000051,LA,893,Shropshire,104,9,24,17,x,28,8,15,x,84,x,x,6,21,0,0,0,0,0,x,50,0,0,x,0,0,15,x
E06000020,LA,894,Telford and Wrekin,93,7,6,16,15,17,8,24,0,63,7,x,7,x,0,0,x,x,x,x,34,0,0,x,x,x,24,0
E06000049,LA,895,Cheshire East,133,16,30,32,9,40,x,0,x,124,16,12,9,7,0,0,x,0,x,0,58,x,0,x,16,x,x,x
E06000050,LA,896,Cheshire West and Chester,100,x,15,30,10,29,x,7,0,92,21,7,10,x,x,0,x,0,0,x,36,0,0,x,x,x,6,0
E06000052,LA,908,Cornwall,195,15,37,57,14,44,13,15,0,170,18,13,x,12,0,0,x,0,x,x,112,x,0,x,x,x,15,0
E10000006,LA,909,Cumbria,137,x,18,30,15,43,11,14,x,113,16,10,7,10,0,0,8,x,x,0,48,x,0,x,11,x,16,x
E10000013,LA,916,Gloucestershire,265,10,48,86,18,63,24,16,0,228,30,7,38,8,x,x,25,6,x,8,97,x,x,9,6,8,13,0
E10000015,LA,919,Hertfordshire,579,25,71,127,26,257,9,61,x,451,42,16,19,25,x,0,7,x,7,7,303,x,x,30,12,43,61,x
E06000046,LA,921,Isle of Wight,75,x,13,15,13,27,x,x,0,71,12,11,x,8,0,0,0,0,x,x,31,0,x,0,x,x,x,0
E10000019,LA,925,Lincolnshire,199,x,45,53,13,49,20,14,0,168,43,11,18,13,0,0,0,x,x,x,65,x,0,6,19,6,11,0
E10000020,LA,926,Norfolk,416,61,39,70,21,141,x,80,x,302,27,10,31,29,0,0,x,0,x,0,161,x,x,13,35,23,80,x
E10000021,LA,928,Northamptonshire,414,12,80,64,18,144,0,94,x,289,34,12,14,15,0,0,x,0,0,x,194,x,0,12,17,14,93,x
E06000048,LA,929,Northumberland,72,x,10,23,x,27,x,0,0,70,13,x,6,x,0,0,0,0,0,0,39,0,0,x,x,x,0,0
E10000025,LA,931,Oxfordshire,380,x,50,60,20,93,9,143,0,218,41,14,15,x,0,0,x,0,x,25,102,0,x,7,9,9,143,0
E10000027,LA,933,Somerset,276,8,63,59,18,113,x,9,x,248,31,9,29,0,0,0,x,x,x,x,168,x,x,11,x,x,9,x
E10000029,LA,935,Suffolk,278,16,62,62,18,72,7,41,0,222,21,18,27,9,x,0,x,0,x,x,125,x,x,6,x,10,41,0
E10000030,LA,936,Surrey,384,22,107,71,38,92,22,31,x,312,38,34,45,14,x,x,8,0,9,0,130,x,x,9,40,10,31,x
E10000031,LA,937,Warwickshire,293,9,54,56,10,71,x,90,x,195,19,6,9,7,0,0,0,0,x,9,127,x,0,x,7,12,90,x
E10000032,LA,938,West Sussex,339,13,52,74,39,75,38,46,x,264,24,14,30,30,x,x,6,x,6,13,120,x,x,11,11,19,42,x
