New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2014,CLA_2014,CLA_stp2014,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_Miss,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_Moth,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_1Pla,CLA_2PLa,CLA_3Pla,CLA_P2yrs,CLA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain ,,,
E09000029,LA,319,Sutton,199,264,x,111,88,9,28,32,78,52,142,28,7,18,x,0,153,x,0,10,10,19,x,0,0,38,59,0,27,75,0,0,8,0,85,x,x,109,x,0,0,137,38,24,30,89,110,109,x,,,
E09000031,LA,320,Waltham Forest,263,433,39,147,116,13,27,37,106,80,124,49,12,71,x,x,201,13,x,0,37,x,x,0,0,34,113,x,24,88,x,0,20,0,62,x,6,187,0,x,0,190,44,29,62,87,176,222,46,,,
E08000025,LA,330,Birmingham,1801,2531,7,942,859,107,307,347,668,372,969,354,190,215,42,31,1317,81,92,77,196,15,10,x,8,185,875,17,272,440,11,x,13,10,866,26,10,696,98,92,13,1214,412,175,506,1053,654,393,x,,,
E08000026,LA,331,Coventry,630,949,55,319,311,43,106,129,234,118,475,63,26,44,8,14,451,46,23,12,84,6,8,0,0,125,253,x,99,149,x,0,7,0,239,x,x,344,18,23,0,432,139,59,116,292,338,123,x,,,
E08000027,LA,332,Dudley,754,905,19,398,356,25,164,174,280,111,649,75,15,10,x,0,560,29,78,24,54,8,x,0,0,76,482,x,102,88,x,0,x,10,404,x,x,262,x,78,0,540,147,67,242,402,323,188,x,,,
E08000028,LA,333,Sandwell,576,815,x,328,248,26,108,132,218,92,382,99,45,43,7,0,446,32,33,16,29,10,x,x,0,64,345,0,69,97,x,0,7,0,301,22,x,193,21,33,x,402,111,63,146,260,311,273,x,,,
E08000029,LA,334,Solihull,327,445,x,184,143,16,56,68,114,73,238,39,29,16,x,x,240,11,34,x,31,x,x,0,x,51,146,0,29,101,0,0,31,0,177,x,0,109,x,34,x,236,66,25,82,126,189,151,x,,,
E08000030,LA,335,Walsall,627,797,34,335,292,46,146,165,202,68,459,90,50,24,x,0,495,21,52,14,35,7,x,0,x,85,393,x,55,89,x,0,0,0,397,20,x,150,x,52,x,448,120,59,153,367,258,253,x,,,
E08000031,LA,336,Wolverhampton,769,986,24,426,343,51,173,192,247,106,501,110,35,86,31,6,598,33,53,21,57,x,x,x,0,118,394,0,123,133,x,0,x,0,271,12,x,424,x,53,x,499,179,91,155,309,459,142,x,,,
E08000011,LA,340,Knowsley,257,341,44,146,111,13,33,70,97,44,250,6,0,0,x,0,188,8,21,x,18,11,x,0,x,60,135,0,36,26,0,0,0,0,188,x,x,40,x,21,x,165,54,38,67,128,127,143,16,,,
E08000012,LA,341,Liverpool,990,1324,50,509,481,48,211,226,357,148,792,72,13,58,9,46,727,38,124,x,95,x,0,0,0,274,388,0,97,224,7,0,10,0,457,9,0,360,40,124,0,761,131,98,263,594,396,187,x,,,
E08000013,LA,342,St. Helens,432,580,30,242,190,28,113,112,143,36,410,16,x,x,x,x,336,12,47,6,29,x,x,0,0,62,253,x,76,39,0,0,x,0,252,x,0,119,10,47,0,311,93,28,108,253,179,136,x,,,
E08000014,LA,343,Sefton,403,578,0,230,173,19,62,93,164,65,386,13,0,0,x,0,266,6,75,11,43,x,0,0,0,51,272,0,28,49,x,x,0,0,183,6,x,97,41,75,0,291,66,46,117,264,139,208,69,,,
E08000015,LA,344,Wirral,669,857,73,359,310,24,106,168,261,110,635,24,x,x,x,x,500,16,77,23,43,x,6,x,0,107,441,0,43,78,0,0,0,0,485,x,0,102,x,77,x,465,150,54,192,557,110,184,74,,,
E08000001,LA,350,Bolton,531,689,16,279,252,46,109,134,173,69,453,40,12,17,x,6,373,42,66,x,45,x,x,x,0,50,324,0,83,73,x,0,0,0,375,26,x,39,22,66,x,370,115,46,160,385,145,172,27,,,
E08000002,LA,351,Bury,310,434,21,169,141,17,59,73,107,54,265,23,13,7,0,x,225,10,39,x,18,x,11,x,x,36,196,0,45,33,0,0,x,0,175,13,0,80,0,39,x,211,64,35,64,200,107,155,48,,,
E08000003,LA,352,Manchester,1373,1908,17,767,606,76,213,302,510,272,869,233,78,164,16,13,1025,40,115,39,8,128,11,6,x,187,784,0,141,253,7,x,15,10,495,0,7,749,0,115,7,921,324,128,320,560,751,216,x,,,
E08000004,LA,353,Oldham,393,539,6,190,203,26,81,101,132,53,291,35,46,20,x,0,259,25,53,x,39,10,x,0,0,64,205,0,60,62,x,0,x,0,268,0,x,69,x,53,0,270,80,43,74,231,162,158,x,,,
E08000005,LA,354,Rochdale,533,682,59,295,238,30,111,131,178,83,440,30,29,9,24,x,394,37,42,13,40,x,x,0,x,84,308,0,90,47,x,x,0,0,309,25,x,140,13,42,x,346,139,48,121,337,195,228,33,,,
E08000006,LA,355,Salford,576,781,36,323,253,28,120,129,217,82,483,37,8,18,27,x,411,27,53,7,72,x,x,0,0,58,370,0,61,87,0,0,x,0,369,35,x,116,x,53,0,388,130,58,152,336,240,115,x,,,
E08000007,LA,356,Stockport,301,416,x,169,132,21,52,49,101,78,258,26,6,x,x,9,197,25,23,x,48,6,0,0,0,43,138,0,47,72,x,0,x,0,193,9,6,59,11,23,0,192,67,42,53,212,89,277,188,,,
E08000008,LA,357,Tameside,423,545,21,234,189,20,72,90,163,78,386,10,19,x,x,x,304,14,34,9,59,x,0,0,0,59,264,0,37,63,0,0,0,0,301,x,x,77,x,34,0,293,90,40,110,299,124,229,105,,,
E08000009,LA,358,Trafford,316,421,62,167,149,12,51,82,108,63,250,28,10,27,x,0,238,6,34,6,15,10,7,0,0,34,195,0,11,74,x,0,x,0,222,x,x,46,6,34,0,227,51,38,85,213,103,128,25,,,
E08000010,LA,359,Wigan,497,654,0,285,212,30,115,139,154,59,460,18,x,x,14,0,383,25,42,x,41,x,x,0,0,74,261,0,95,67,0,0,0,0,361,15,x,70,8,42,0,360,95,42,146,381,116,237,121,,,
E08000016,LA,370,Barnsley,228,318,0,125,103,19,57,43,64,45,215,8,x,x,0,0,175,24,x,x,16,x,x,0,0,28,89,0,68,43,0,0,x,10,121,11,x,73,20,x,0,167,45,16,55,153,75,124,49,,,
E08000017,LA,371,Doncaster,499,723,15,266,233,33,102,107,182,75,455,16,x,x,x,20,371,28,21,x,59,x,14,0,0,72,247,0,75,100,x,x,x,0,212,19,0,240,7,21,0,314,126,59,79,301,198,139,x,,,
E08000018,LA,372,Rotherham,394,517,32,224,170,23,59,80,160,72,339,32,11,x,10,0,267,37,16,9,48,14,x,x,0,57,230,0,64,41,x,0,0,0,225,x,x,138,9,16,x,269,78,47,107,218,175,114,x,,,
E08000019,LA,373,Sheffield,536,788,43,307,229,31,92,109,175,129,404,65,25,27,15,0,384,36,22,20,64,6,0,x,0,64,251,x,91,124,x,0,x,0,322,7,6,141,34,22,x,328,132,76,121,354,178,114,x,,,
E08000032,LA,380,Bradford,878,1189,17,458,420,42,179,202,319,136,598,139,96,19,6,20,598,54,77,25,112,x,9,0,0,91,526,x,117,138,x,x,8,0,681,23,x,76,18,77,0,606,195,77,259,673,154,176,22,,,
E08000033,LA,381,Calderdale,320,402,x,162,158,19,55,85,121,40,274,26,x,x,x,14,261,12,22,x,20,x,x,0,x,29,195,x,55,37,x,0,0,0,206,x,0,85,x,22,x,230,62,28,128,196,116,107,x,,,
E08000034,LA,382,Kirklees,608,867,33,330,278,29,113,144,226,96,456,92,45,13,x,0,406,31,75,x,78,6,8,0,x,54,366,0,87,101,0,0,x,10,323,19,0,166,24,75,x,410,149,49,169,360,238,117,x,,,
E08000035,LA,383,Leeds,1339,1770,93,753,586,82,284,327,457,189,1059,171,36,52,11,10,1019,55,121,32,87,18,x,x,0,124,828,x,229,144,x,x,13,10,855,x,x,330,25,121,x,952,283,104,394,1002,287,195,x,,,
E08000036,LA,384,Wakefield,492,656,122,264,228,34,123,110,155,70,397,13,7,x,x,68,335,53,39,10,48,x,x,0,0,113,212,0,87,77,x,0,8,0,323,x,x,114,13,39,0,297,141,54,110,316,176,124,x,,,
E08000020,LA,390,Gateshead,358,554,31,194,164,22,72,71,137,56,318,8,9,13,x,8,300,26,x,x,16,x,8,x,0,8,196,0,50,102,x,0,0,0,278,25,x,47,x,x,x,256,74,28,88,212,143,135,x,,,
E08000021,LA,391,Newcastle upon Tyne,557,771,11,299,258,30,84,99,211,133,468,21,25,15,28,0,420,45,19,8,42,10,13,0,0,29,258,0,71,198,x,0,7,0,397,x,0,140,0,19,0,377,138,42,104,217,295,121,x,,,
E08000022,LA,392,North Tyneside,305,426,80,181,124,16,43,81,112,53,291,6,0,x,x,x,248,15,7,0,26,7,x,x,0,18,146,0,39,102,0,0,0,0,258,0,x,19,19,7,x,210,66,29,56,202,102,140,38,,,
E08000023,LA,393,South Tyneside,308,453,7,158,150,27,54,67,112,48,260,7,14,9,x,14,243,23,7,x,15,15,x,0,0,18,152,0,42,96,0,0,0,0,192,9,0,92,8,7,0,206,65,37,68,176,132,61,x,,,
E08000024,LA,394,Sunderland,491,689,9,262,229,46,88,104,183,70,470,8,7,x,x,x,382,33,14,x,55,x,0,0,0,41,136,x,101,209,0,0,0,0,371,x,x,34,65,14,0,327,106,58,82,315,176,168,x,,,
E06000022,LA,800,Bath and North East Somerset,148,215,24,82,66,7,20,25,71,25,129,11,0,7,x,0,124,7,x,x,x,x,6,0,0,10,60,0,14,64,0,0,x,0,75,6,0,63,x,x,0,111,21,16,35,63,85,61,x,,,
E06000023,LA,801,"Bristol, City of",694,1003,x,355,339,38,82,111,275,188,516,101,13,46,17,x,579,20,8,7,63,x,12,0,0,57,357,0,67,208,x,0,10,0,442,19,x,191,31,8,0,500,122,72,160,437,255,63,x,,,
E06000024,LA,802,North Somerset,217,339,x,117,100,7,36,35,91,48,197,11,x,x,x,x,168,11,x,x,26,0,0,x,x,27,80,0,37,73,0,0,x,0,127,7,0,63,12,x,x,138,50,29,47,137,66,60,x,,,
E06000025,LA,803,South Gloucestershire,168,247,42,96,72,6,23,35,55,49,154,8,0,x,x,0,129,12,7,x,x,x,9,0,0,18,72,0,17,61,0,0,x,0,126,x,x,31,x,7,0,114,38,16,31,114,42,151,109,,,
E06000001,LA,805,Hartlepool,207,282,13,111,96,11,35,40,80,41,201,x,0,x,x,0,174,11,x,x,6,8,x,0,x,x,89,0,24,89,0,0,0,0,154,8,x,35,x,x,x,150,41,16,51,124,63,49,x,,,
E06000002,LA,806,Middlesbrough,353,552,26,177,176,18,54,67,146,68,308,17,12,10,x,x,259,9,15,x,57,x,8,0,0,15,186,0,34,118,0,0,x,0,150,x,0,152,32,15,0,262,58,33,85,144,209,64,x,,,
E06000003,LA,807,Redcar and Cleveland,174,248,x,94,80,13,31,32,73,25,170,x,0,x,x,0,137,12,0,x,20,0,x,0,0,8,98,0,28,40,0,0,x,0,81,6,0,83,x,0,0,115,34,25,37,74,100,38,x,,,
E06000004,LA,808,Stockton-on-Tees,381,549,32,206,175,25,80,108,115,53,344,18,6,9,x,0,276,22,22,8,41,7,x,0,0,23,187,0,57,111,x,0,x,0,189,12,x,154,x,22,0,236,115,30,59,221,137,145,8,,,
E06000010,LA,810,"Kingston Upon Hull, City of",641,849,33,351,290,34,131,163,221,92,603,18,x,x,13,0,469,23,71,17,58,x,x,0,0,40,368,0,96,135,x,x,x,0,481,18,x,64,6,71,0,443,134,64,178,424,217,68,x,,,
E06000011,LA,811,East Riding of Yorkshire,312,465,8,174,138,16,64,62,118,52,305,6,0,x,0,0,250,19,17,0,19,x,x,x,0,15,160,0,49,88,0,0,0,0,197,8,x,82,6,17,x,214,56,42,59,234,77,249,172,,,
E06000012,LA,812,North East Lincolnshire,263,367,x,157,106,32,66,67,64,34,259,x,x,0,0,0,209,12,0,x,35,x,x,0,0,49,86,0,50,75,x,x,0,0,219,x,x,36,0,0,0,176,61,26,31,188,75,49,x,,,
E06000013,LA,813,North Lincolnshire,170,251,x,96,74,8,25,47,64,26,157,x,x,0,x,0,135,14,x,x,12,0,x,0,0,18,75,0,30,47,0,0,x,0,133,6,0,28,0,x,0,114,44,12,37,117,53,79,26,,,
E10000023,LA,815,North Yorkshire,460,625,53,268,192,26,73,90,185,86,432,23,x,x,x,0,333,34,28,12,35,x,13,0,0,34,257,0,63,106,0,0,x,0,364,14,x,43,9,28,0,292,121,47,104,337,88,229,141,,,
E06000014,LA,816,York,222,298,14,121,101,6,30,45,92,49,208,10,x,x,x,0,165,11,21,x,21,x,x,0,0,16,124,0,27,55,0,0,0,0,159,8,x,28,x,21,0,153,47,22,66,128,83,27,x,,,
E06000032,LA,821,Luton,397,552,46,208,189,19,65,80,150,83,241,47,43,38,21,7,312,22,9,32,10,x,x,x,x,52,187,0,44,111,0,x,0,0,208,15,0,151,10,9,x,262,96,39,95,236,157,143,x,,,
E06000055,LA,822,Bedford,268,344,x,137,131,20,56,62,73,57,156,59,19,15,10,9,197,26,x,12,27,x,x,x,0,21,93,0,54,99,x,0,12,0,116,x,x,143,x,x,x,167,69,32,27,96,171,106,x,,,
E06000056,LA,823,Central Bedfordshire,268,366,x,146,122,11,56,68,91,42,228,32,0,x,x,0,206,14,x,15,27,x,x,0,0,35,114,0,40,79,0,0,x,0,113,x,0,140,10,x,0,155,80,33,28,113,155,179,24,,,
E10000002,LA,825,Buckinghamshire,443,565,67,235,208,20,65,90,161,107,321,53,22,26,19,x,323,16,7,7,67,10,13,0,0,47,197,0,58,138,x,x,13,0,144,25,0,257,10,7,0,325,95,23,93,206,237,135,x,,,
E06000042,LA,826,Milton Keynes,303,452,x,168,135,21,48,63,108,63,241,23,17,18,x,0,224,12,18,9,32,x,x,0,0,40,138,x,35,87,x,x,7,0,174,0,x,101,8,18,0,202,68,33,56,176,127,125,x,,,
E10000007,LA,830,Derbyshire,628,908,0,321,307,30,107,146,215,130,571,29,x,6,0,20,446,59,10,30,61,21,x,0,0,44,277,0,145,161,x,0,x,0,437,x,x,138,39,10,0,441,149,38,132,386,183,363,180,,,
