"","Web.link","URN","Linked.Education.URN","Provision.type","Registration.date","Registration.status","Name","Address.1","Address.2","Town","County","Postcode","Ofsted.region","Government.Office.Region","Local.authority","Parliamentary.constituency","Sector","Premises","Places","Short.break.only.children.s.home","Multi.building.children.s.home","Organisation.which.owns.the.provider","Latest.full.inspection.event.type","Latest.full.inspection.date","Latest.full.inspection.publication.date","Latest.full.inspection.event.number","Overall.experiences.and.progress.of.children.and.young.people","Outcomes.in.education.and.related.learning.activities","Health.services","How.well.children.and.young.people.are.helped.and.protected","The.effectiveness.of.leaders.and.managers","Previous.full.inspection.event.type","Previous.full.inspection.event.date","Previous.full.inspection.publication.date","Previous.full.inspection.event.number","Previous.overall.experiences.and.progress.of.children.and.young.people","Previous.outcomes.in.education.and.related.learning.activities","Previous.health.services","Previous.how.well.children.and.young.people.are.helped.and.protected","Previous.effectiveness.of.leaders.and.managers"
"889","Ofsted Social Care Provider Webpage","2724906",NA,"Children's home","16/05/2023","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Staffordshire","Newcastle-under-Lyme","For profit",NA,2,"","","New Focus Childcare Ltd","Full inspection","24/10/2023","28/11/2023",10293650,"Good","","","Good","Requires improvement to be good","","","",NA,"","","","",""
"890","Ofsted Social Care Provider Webpage","SC066055",NA,"Children's home","27/02/2006","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Somerset","Taunton Deane","Local Authority",NA,2," ","","Somerset County Council","Full inspection","15/11/2023","18/12/2023",10274131,"Good","","","Good","Good","Full inspection","31/08/2022","13/10/2022",10222950,"Good","","","Good","Good"
"891","Ofsted Social Care Provider Webpage","SC066115",NA,"Children's home","31/05/2006","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","Rossendale and Darwen","For profit",NA,4," ","","Keys ACE Limited","Full inspection","05/03/2024","19/04/2024",10274132,"Outstanding","","","Outstanding","Outstanding","Full inspection","18/01/2023","15/03/2023",10222952,"Outstanding","","","Outstanding","Outstanding"
"892","Ofsted Social Care Provider Webpage","2507631",NA,"Children's home","04/01/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Somerset","Bridgwater and West Somerset","For profit",NA,4," ","","Keys Educational Services Limited","Full inspection","05/09/2023","02/10/2023",10274133,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good","Full inspection","24/10/2022","28/11/2022",10224422,"Good","","","Good","Requires improvement to be good"
"893","Ofsted Social Care Provider Webpage","2508451",NA,"Children's home","17/12/2018","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South East","South East","Hampshire","Winchester","Local Authority",NA,4," ","","Hampshire County Council","Full inspection","23/05/2023","23/06/2023",10274134,"Requires improvement to be good","","","Requires improvement to be good","Good","Full inspection","29/06/2022","23/08/2022",10224427,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good"
"894","Ofsted Social Care Provider Webpage","2508456",NA,"Children's home","24/04/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Staffordshire","Stoke-on-Trent North","For profit",NA,3," ","","Unity Residential Care Services Limited","Full inspection","27/02/2024","22/04/2024",10274135,"Good","","","Good","Good","Full inspection","21/03/2023","05/05/2023",10224428,"Outstanding","","","Outstanding","Outstanding"
"895","Ofsted Social Care Provider Webpage","2509298",NA,"Children's home","05/03/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","Wakefield","Wakefield","For profit",NA,7," ","","Witherslack Group Limited","Full inspection","19/09/2023","13/11/2023",10274137,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good","Full inspection","16/03/2023","05/05/2023",10224435,"Good","","","Good","Good"
"896","Ofsted Social Care Provider Webpage","2509300",NA,"Children's home","25/03/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Warwickshire","Rugby","For profit",NA,7," ","","Witherslack Group Limited","Full inspection","01/08/2023","15/09/2023",10274138,"Good","","","Good","Good","Full inspection","12/04/2022","07/06/2022",10224436,"Good","","","Good","Good"
"897","Ofsted Social Care Provider Webpage","1212094",NA,"Children's home","09/02/2016","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Salford","Worsley and Eccles South","For profit",NA,4," ","","Hexagon Care Services Limited","Full inspection","11/10/2023","16/11/2023",10273518,"Outstanding","","","Outstanding","Outstanding","Full inspection","25/01/2023","27/02/2023",10223884,"Outstanding","","","Outstanding","Outstanding"
"898","Ofsted Social Care Provider Webpage","1221357",NA,"Children's home","09/06/2016","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Blackpool","Blackpool South","For profit",NA,4," ","","Hexagon Care Services Limited","Full inspection","26/07/2023","08/09/2023",10273519,"Good","","","Good","Good","Full inspection","12/10/2022","25/11/2022",10223896,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good"
"899","Ofsted Social Care Provider Webpage","SC488112",NA,"Children's home","02/03/2015","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","North East","Hartlepool","Hartlepool","For profit",NA,4," ","","North East Specialist Therapeutic Services CIC","Full inspection","11/07/2023","31/08/2023",10273520,"Good","","","Good","Good","Full inspection","15/08/2022","29/09/2022",10223822,"Good","","","Good","Good"
"900","Ofsted Social Care Provider Webpage","SC488439",NA,"Children's home","27/02/2015","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Shropshire","Ludlow","For profit",NA,3," ","","Keys Education Ltd","Full inspection","13/02/2024","18/03/2024",10273521,"Good","","","Good","Good","Full inspection","09/11/2022","16/12/2022",10223824,"Good","","","Good","Requires improvement to be good"
"901","Ofsted Social Care Provider Webpage","1183799",NA,"Children's home","25/11/2015","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South East","South East","Slough","Slough","For profit",NA,4," ","","Quality Care Homes (uk) Limited","Full inspection","29/02/2024","08/04/2024",10273526,"Good","","","Good","Good","Full inspection","10/05/2022","14/07/2022",10223875,"Good","","","Good","Good"
"902","Ofsted Social Care Provider Webpage","1226978",NA,"Children's home","26/05/2016","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Scarborough and Whitby","For profit",NA,2," ","","Cambian Childcare Limited","Full inspection","11/12/2023","29/01/2024",10273618,"Good","","","Good","Good","Full inspection","25/05/2022","18/07/2022",10223917,"Good","","","Good","Good"
"903","Ofsted Social Care Provider Webpage","1227335",NA,"Children's home","27/05/2016","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","West Lancashire","For profit",NA,3," ","","Exceptional Care Limited","Full inspection","14/11/2023","20/12/2023",10273619,"Good","","","Good","Good","Full inspection","29/11/2022","09/01/2023",10223919,"Good","","","Good","Good"
