Table LA10:  Absence from school of children who have been looked after continuously for at least 12 months1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2012-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: State-funded primary, state-funded secondary and specials schools, England2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012 (5 terms)3,,,,,,,,,,2013 (5 terms)3,,,,,,,,,,2014 (5 terms)3,,,,,,,,,,2013 (6 terms)3,,,,,,,,2014 (6 terms)3,,,,,,,,,,
,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees8,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees8,,,,
,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wirral,,90-99,,325,,3.3,1.2,4.5,,6.4,,90-99,,325,,3.3,0.7,4.0,,3.4,,90-99,,325,,2.7,0.6,3.3,,2.8,,325,,3.3,0.9,4.2,,4.0,,325,,2.7,0.7,3.4,,2.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YORKSHIRE AND THE HUMBER,,.,,"3,020",,3.2,1.3,4.5,,5.4,,.,,"3,140",,3.0,1.0,4.0,,4.1,,.,,"3,220",,2.6,1.0,3.7,,4.1,,"3,140",,3.0,1.0,4.0,,4.1,,"3,220",,2.6,1.0,3.6,,4.3,,,,
Barnsley,,100,,80,,2.3,0.7,2.9,,x,,100,,65,,2.8,0.8,3.6,,x,,100,,80,,2.2,0.9,3.0,,x,,65,,2.8,0.8,3.6,,x,,80,,2.2,0.7,3.0,,x,,,,
Bradford,,90-99,,385,,2.9,0.8,3.7,,4.7,,90-99,,395,,3.0,0.9,3.9,,3.3,,90-99,,385,,2.7,1.6,4.2,,5.2,,395,,2.9,0.9,3.8,,3.1,,385,,2.6,1.4,4.1,,5.5,,,,
Calderdale,,100,,150,,2.4,0.4,2.8,,x,,100,,175,,2.7,0.8,3.5,,3.5,,100,,185,,2.4,0.3,2.6,,x,,175,,2.7,0.7,3.4,,x,,185,,2.4,0.2,2.6,,x,,,,
Doncaster,,100,,155,,4.2,1.1,5.3,,3.9,,100,,175,,3.4,0.8,4.2,,4.6,,90-99,,205,,2.6,0.7,3.3,,4.4,,175,,3.1,0.7,3.8,,3.4,,205,,2.6,0.7,3.3,,3.9,,,,
East Riding of Yorkshire,,100,,100,,3.4,0.9,4.3,,6.0,,100,,130,,3.2,1.3,4.4,,4.7,,100,,125,,2.7,0.3,3.0,,x,,130,,3.1,1.2,4.3,,x,,125,,2.8,0.3,3.1,,x,,,,
Kingston Upon Hull,,100,,270,,2.9,2.4,5.3,,8.2,,100,,285,,2.4,1.1,3.6,,5.3,,100,,295,,2.0,0.6,2.6,,x,,285,,2.4,1.1,3.6,,6.0,,295,,2.1,0.7,2.7,,x,,,,
Kirklees,,100,,240,,3.0,0.8,3.8,,4.6,,100,,270,,2.9,0.4,3.3,,x,,100,,285,,3.3,0.9,4.1,,5.3,,270,,2.9,0.4,3.3,,2.6,,285,,3.2,0.8,4.0,,5.6,,,,
Leeds,,90-99,,640,,3.2,1.8,5.0,,7.6,,90-99,,625,,2.9,1.6,4.5,,5.4,,90-99,,595,,2.2,1.9,4.1,,5.2,,625,,2.9,1.6,4.5,,5.3,,595,,2.2,1.9,4.1,,5.4,,,,
North East Lincolnshire,,100,,45,,2.5,2.4,4.9,,x,,100,,45,,1.8,0.4,2.1,,x,,100,,65,,1.6,0.7,2.3,,x,,45,,1.9,0.3,2.2,,0.0,,65,,1.5,0.6,2.2,,x,,,,
North Lincolnshire,,100,,70,,2.1,0.5,2.6,,x,,100,,70,,2.1,0.2,2.3,,0.0,,100,,70,,2.6,0.6,3.2,,x,,70,,2.0,0.2,2.3,,0.0,,70,,2.4,0.6,3.0,,x,,,,
North Yorkshire,,100,,205,,3.4,0.6,4.0,,x,,100,,215,,3.7,0.5,4.2,,3.7,,90-99,,225,,3.4,0.3,3.8,,3.1,,215,,3.6,0.5,4.1,,3.7,,225,,3.4,0.4,3.8,,3.6,,,,
Rotherham,,100,,175,,3.4,2.5,5.8,,5.1,,100,,170,,2.8,1.3,4.1,,3.5,,100,,190,,2.6,1.1,3.8,,4.8,,170,,2.9,1.3,4.2,,4.7,,190,,2.6,1.1,3.7,,4.8,,,,
Sheffield,,90-99,,225,,3.7,0.7,4.4,,5.4,,90-99,,215,,4.0,1.4,5.3,,8.4,,90-99,,225,,2.9,1.4,4.3,,4.9,,215,,3.9,1.4,5.2,,8.4,,225,,3.1,1.3,4.4,,5.8,,,,
Wakefield,,90-99,,170,,3.6,1.9,5.5,,7.6,,90-99,,180,,2.8,1.4,4.2,,4.4,,90-99,,180,,2.4,0.7,3.1,,4.4,,180,,2.8,1.2,4.0,,3.9,,180,,2.5,0.7,3.2,,4.4,,,,
York,,100,,110,,4.0,0.7,4.7,,x,,100,,125,,3.5,0.6,4.1,,x,,90-99,,115,,3.7,0.8,4.5,,x,,125,,3.6,0.6,4.2,,x,,115,,3.9,0.8,4.6,,x,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST MIDLANDS,,.,,"1,750",,3.4,1.0,4.4,,5.6,,.,,"1,890",,3.5,1.2,4.7,,5.2,,.,,"1,980",,2.9,1.0,3.9,,5.1,,"1,890",,3.5,1.2,4.7,,5.2,,"1,980",,2.9,1.0,3.9,,5.2,,,,
Derby,,100,,200,,3.2,0.9,4.1,,5.9,,90-99,,220,,3.3,0.6,3.9,,x,,100,,220,,2.6,1.0,3.6,,5.9,,220,,3.3,0.6,3.9,,x,,220,,2.6,1.1,3.7,,4.5,,,,
Derbyshire,,100,,240,,3.5,1.2,4.7,,5.8,,100,,260,,3.7,2.3,6.0,,8.5,,100,,265,,2.9,0.9,3.8,,5.7,,260,,3.7,2.2,5.9,,8.9,,265,,2.9,0.9,3.8,,6.4,,,,
Leicester,,100,,205,,3.1,1.2,4.3,,5.4,,100,,210,,3.1,2.0,5.2,,8.1,,90-99,,230,,3.3,1.8,5.1,,8.7,,210,,3.1,1.9,5.0,,8.5,,230,,3.4,1.8,5.2,,9.1,,,,
Leicestershire,,100,,135,,3.2,1.5,4.6,,7.3,,100,,150,,4.1,0.9,5.0,,6.1,,100,,155,,2.8,0.6,3.4,,x,,150,,4.0,0.8,4.9,,6.1,,155,,2.7,0.5,3.2,,x,,,,
Lincolnshire,,90-99,,235,,3.5,0.3,3.9,,3.0,,90-99,,225,,3.9,0.6,4.5,,4.9,,90-99,,255,,3.2,0.6,3.8,,3.5,,225,,4.0,0.6,4.6,,4.5,,255,,3.2,0.6,3.8,,3.9,,,,
Northamptonshire,,100,,255,,3.6,0.6,4.2,,6.3,,100,,260,,3.9,0.6,4.5,,4.2,,100,,275,,3.0,1.1,4.1,,5.8,,260,,3.8,0.8,4.6,,4.6,,275,,3.0,1.1,4.1,,6.2,,,,
Nottingham,,100,,200,,3.7,1.3,5.0,,7.5,,100,,215,,2.7,1.3,4.0,,4.2,,90-99,,220,,2.8,1.1,3.9,,5.0,,215,,2.7,1.2,3.9,,3.7,,220,,2.7,1.1,3.8,,4.6,,,,
Nottinghamshire,,90-99,,265,,3.4,1.0,4.4,,4.9,,90-99,,335,,3.4,1.1,4.5,,3.9,,90-99,,345,,2.7,1.0,3.7,,3.8,,335,,3.3,1.1,4.4,,3.6,,345,,2.7,1.0,3.7,,4.1,,,,
Rutland,,<90,,10,,3.9,0.1,4.0,,0.0,,90-99,,15,,2.9,0.8,3.7,,x,,100,,15,,2.1,0.1,2.2,,0.0,,15,,2.8,1.2,4.0,,x,,15,,1.8,0.1,1.9,,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST MIDLANDS,,.,,"3,520",,3.4,1.3,4.7,,5.8,,.,,"3,620",,3.4,1.0,4.4,,4.9,,.,,"3,870",,2.9,0.9,3.7,,4.0,,"3,620",,3.4,1.1,4.4,,4.9,,"3,870",,2.9,0.9,3.7,,4.2,,,,
Birmingham,,90-99,,830,,3.6,1.8,5.4,,6.7,,90-99,,815,,3.4,1.2,4.6,,5.0,,90-99,,800,,3.0,0.8,3.8,,4.6,,815,,3.3,1.1,4.5,,5.1,,800,,3.0,0.8,3.8,,5.0,,,,
Coventry,,90-99,,245,,3.4,1.4,4.9,,6.1,,90-99,,215,,3.4,1.1,4.5,,5.6,,90-99,,240,,2.8,1.0,3.8,,3.3,,215,,3.4,1.2,4.6,,5.1,,240,,2.9,1.0,3.9,,4.6,,,,
Dudley,,100,,320,,2.8,0.7,3.5,,4.0,,100,,350,,3.1,0.8,3.9,,2.9,,90-99,,375,,2.9,1.0,3.8,,5.1,,350,,3.2,0.9,4.0,,3.7,,375,,2.8,1.0,3.8,,4.3,,,,
Herefordshire,,90-99,,65,,3.4,0.2,3.6,,x,,90-99,,65,,4.5,0.1,4.6,,x,,90-99,,85,,3.0,0.3,3.3,,x,,65,,4.4,0.2,4.6,,x,,85,,3.1,0.3,3.4,,x,,,,
Sandwell,,90-99,,245,,2.9,2.8,5.7,,6.5,,100,,255,,3.2,2.1,5.3,,5.1,,90-99,,275,,2.4,1.2,3.6,,2.9,,255,,3.2,2.1,5.4,,5.5,,275,,2.3,1.1,3.5,,3.3,,,,
Shropshire,,100,,75,,4.3,0.3,4.5,,x,,100,,90,,4.8,0.4,5.2,,8.0,,90-99,,100,,2.4,0.2,2.6,,x,,90,,4.6,0.4,5.0,,x,,100,,2.5,0.2,2.7,,x,,,,
Solihull,,100,,140,,3.5,1.5,4.9,,5.0,,100,,140,,3.9,1.2,5.2,,5.7,,90-99,,135,,3.3,1.2,4.5,,5.3,,140,,3.9,1.2,5.1,,5.7,,135,,3.3,1.2,4.5,,5.3,,,,
Staffordshire,,90-99,,350,,3.2,0.6,3.8,,3.7,,90-99,,380,,3.2,0.7,3.9,,3.7,,90-99,,425,,2.7,0.6,3.3,,2.6,,380,,3.2,0.6,3.8,,3.4,,425,,2.8,0.6,3.4,,3.1,,,,
Stoke on Trent,,100,,175,,3.6,1.9,5.5,,9.7,,90-99,,175,,2.8,1.3,4.1,,5.1,,90-99,,190,,2.3,0.5,2.8,,x,,175,,2.8,1.5,4.3,,4.5,,190,,2.2,0.6,2.8,,x,,,,
Telford and Wrekin,,100,,130,,3.2,0.3,3.5,,4.7,,100,,135,,2.9,0.3,3.2,,x,,100,,135,,3.5,0.7,4.2,,5.1,,135,,2.9,0.4,3.3,,x,,135,,3.4,0.8,4.2,,6.6,,,,
Walsall,,90-99,,230,,2.8,0.7,3.5,,3.1,,90-99,,240,,2.8,1.2,4.0,,4.2,,90-99,,275,,2.3,0.8,3.1,,3.7,,240,,2.8,1.2,4.0,,4.6,,275,,2.3,0.7,3.1,,3.7,,,,
Warwickshire,,90-99,,250,,4.6,0.9,5.5,,6.8,,90-99,,265,,3.8,0.9,4.7,,7.2,,90-99,,265,,3.7,0.7,4.4,,5.3,,265,,3.9,1.0,4.9,,8.4,,265,,3.7,0.7,4.4,,5.7,,,,
Wolverhampton,,100,,215,,3.0,1.5,4.5,,6.5,,100,,265,,3.2,1.5,4.7,,6.0,,90-99,,300,,2.7,1.2,3.9,,4.7,,265,,3.3,1.4,4.8,,5.6,,300,,2.8,1.2,4.0,,5.0,,,,
Worcestershire,,90-99,,245,,3.9,0.7,4.6,,7.0,,90-99,,235,,3.9,0.5,4.4,,5.1,,90-99,,275,,3.6,1.1,4.6,,5.1,,235,,4.0,0.6,4.6,,4.6,,275,,3.5,1.1,4.7,,4.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST OF ENGLAND,,.,,"2,520",,3.9,1.0,4.9,,6.4,,.,,"2,540",,3.7,0.9,4.6,,4.6,,.,,"2,480",,3.1,0.8,3.9,,4.0,,"2,540",,3.7,0.9,4.6,,4.8,,"2,480",,3.1,0.7,3.9,,4.2,,,,
