New_geog_code,geog_l,geog_c,geog_n,CLA_started2013,CLA_taken2013,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR,,,,,,,,,
E08000034,LA,382,Kirklees,210,79,116,94,47,51,34,52,26,166,6,x,7,15,7,0,7,67,x,0,124,8,0,0,6,0,x,,,,,,,,,
E08000035,LA,383,Leeds,378,191,210,168,136,94,62,73,13,310,x,7,18,23,8,0,11,86,0,0,175,73,32,0,11,x,0,,,,,,,,,
E08000036,LA,384,Wakefield,145,58,78,67,52,37,17,31,8,100,x,12,9,9,10,0,0,37,0,0,81,13,8,0,6,0,0,,,,,,,,,
E08000020,LA,390,Gateshead,167,41,79,88,31,53,34,40,9,99,6,x,13,34,x,0,8,18,0,0,124,21,x,0,x,0,x,,,,,,,,,
E08000021,LA,391,Newcastle upon Tyne,181,36,100,81,41,36,34,51,19,100,x,7,23,30,7,0,9,16,0,0,144,20,0,0,x,0,0,,,,,,,,,
E08000022,LA,392,North Tyneside,123,30,74,49,19,22,26,48,8,59,x,x,24,30,x,0,x,21,0,0,91,6,x,0,x,0,0,,,,,,,,,
E08000023,LA,393,South Tyneside,115,42,54,61,37,27,23,24,x,108,x,0,x,0,x,0,x,28,0,0,72,13,x,0,x,0,0,,,,,,,,,
E08000024,LA,394,Sunderland,220,36,120,100,38,56,43,69,14,82,x,x,10,117,0,0,x,26,0,0,183,9,x,0,x,0,0,,,,,,,,,
E06000022,LA,800,Bath and North East Somerset,62,22,32,30,8,17,10,20,7,18,x,x,12,27,x,0,0,11,x,0,40,7,0,0,0,0,0,,,,,,,,,
E06000023,LA,801,"Bristol, City of",299,137,148,151,57,56,47,88,51,156,9,16,27,67,10,0,14,95,x,0,157,23,18,0,x,0,0,,,,,,,,,
E06000024,LA,802,North Somerset,120,35,70,50,24,18,21,28,29,31,x,x,51,25,x,0,x,25,0,0,84,x,x,0,x,0,0,,,,,,,,,
E06000025,LA,803,South Gloucestershire,98,33,55,43,15,12,19,36,16,48,x,0,21,15,x,0,8,29,0,0,63,x,0,0,x,0,0,,,,,,,,,
E06000001,LA,805,Hartlepool,85,22,43,42,16,23,19,22,x,65,x,x,7,7,x,0,x,18,0,0,62,x,0,0,x,0,0,,,,,,,,,
