New_geog_code,geog_l,geog_c,geog_n,All_aged19,LA_nit,Act_HE,Act_OE,Act_TE,Act_Neet_ill,Act_NEET_oth,Acc_P,Acc_FFC,Acc_CH,Acc_SITA,Acc_SL,Acc_OL,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_C,Acc_OTH,Acc_SUIT
E06000009,LA,890,Blackpool,29,x,0,10,x,x,11,x,0,x,0,x,x,x,12,0,0,x,0,23
E10000024,LA,891,Nottinghamshire,54,x,x,23,10,x,12,10,0,6,8,9,0,x,15,0,0,x,0,47
E06000018,LA,892,Nottingham,56,x,x,14,12,x,24,8,x,x,0,x,0,0,32,0,0,x,x,52
E06000051,LA,893,Shropshire,29,0,0,13,11,0,x,x,0,x,x,7,0,0,15,x,0,0,0,28
E06000020,LA,894,Telford and Wrekin,20,x,x,x,x,x,8,x,x,0,x,x,0,0,9,x,x,0,x,16
E06000049,LA,895,Cheshire East,22,x,0,8,x,0,8,x,x,x,x,x,0,0,11,0,0,0,x,21
E06000050,LA,896,Cheshire West and Chester,32,0,0,7,7,x,15,x,x,x,x,x,x,0,15,0,0,0,x,29
E06000052,LA,908,Cornwall,49,x,x,14,16,x,10,8,0,x,x,x,0,x,20,0,0,x,0,42
E10000006,LA,909,Cumbria,38,x,x,12,11,x,10,9,8,x,x,x,0,0,9,0,0,x,8,33
E10000013,LA,916,Gloucestershire,64,x,x,29,18,x,11,9,x,x,14,9,0,0,24,0,0,0,x,60
E10000015,LA,919,Hertfordshire,174,7,7,62,38,x,58,19,14,10,8,6,26,6,61,x,x,x,14,158
E06000046,LA,921,Isle of Wight,22,x,x,7,x,x,6,x,x,x,x,x,0,x,x,0,0,0,x,16
E10000019,LA,925,Lincolnshire,58,x,x,21,19,x,14,13,12,x,7,6,0,0,13,0,0,x,12,57
E10000020,LA,926,Norfolk,104,x,7,18,24,x,49,11,14,x,x,10,0,0,45,x,x,6,14,97
E10000021,LA,928,Northamptonshire,97,38,x,25,10,x,18,7,x,x,x,x,0,x,36,0,0,0,x,57
E06000048,LA,929,Northumberland,25,0,x,x,10,0,8,6,0,x,x,8,0,0,9,0,0,0,0,25
E10000025,LA,931,Oxfordshire,59,x,0,18,24,x,12,7,x,x,8,x,0,6,21,0,x,x,x,53
E10000027,LA,933,Somerset,50,0,x,16,6,x,22,8,0,x,11,x,x,x,23,0,0,x,0,49
E10000029,LA,935,Suffolk,80,11,x,22,20,6,17,10,0,7,7,12,x,x,25,0,0,0,0,66
E10000030,LA,936,Surrey,100,16,x,37,15,9,20,6,11,7,24,10,0,0,20,0,x,0,11,78
E10000031,LA,937,Warwickshire,65,14,x,21,11,x,15,6,x,0,x,x,0,x,28,0,0,x,x,49
E10000032,LA,938,West Sussex,89,x,x,18,22,7,35,10,x,x,8,16,0,x,24,x,x,6,x,84
