LA_order,New_geog_code,geog_l,geog_c,geog_n,Elig_KS2_read,Exp_KS2_stand_read,Exp_KS2_stand_read_%,Elig_KS2_writ,Exp_KS2_stand_writ,Exp_KS2_stand_writ_%,Elig_KS2_maths,Exp_KS2_stand_maths,Exp_KS2_stand_maths_%,Elig_KS2_GPS,Exp_KS2_stand_GPS,Exp_KS2_stand_GPS_%,Elig_KS2_RWM,Exp_KS2_stand_RWM,Exp_KS2_stand_RWM_%,Elig_KS2_prog_read,Sum_KS2_prog_read,Ave_KS2_prog_read,Elig_KS2_prog_writ,Sum_KS2_prog_writ,Ave_KS2_prog_writ,Elig_KS2_prog_maths,Sum_KS2_prog_maths,Ave_KS2_prog_maths
41,E08000032,LA,380,Bradford,46,18,39.13043478,46,17,36.95652174,46,20,43.47826087,46,21,45.65217391,46,13,28.26086957,42,-54.98,-1.309047619,43,-54.67,-1.271395349,42,-96.06,-2.287142857
42,E08000033,LA,381,Calderdale,16,6,37.5,16,x,x,16,7,43.75,16,x,x,16,x,x,14,-34.62,-2.472857143,13,-64.97,-4.997692308,14,-42.18,-3.012857143
46,E08000034,LA,382,Kirklees,27,9,33.33333333,27,10,37.03703704,27,11,40.74074074,27,10,37.03703704,27,6,22.22222222,26,-75.37,-2.898846154,26,-123.95,-4.767307692,26,-117.74,-4.528461538
47,E08000035,LA,383,Leeds,65,34,52.30769231,65,28,43.07692308,65,28,43.07692308,65,35,53.84615385,65,17,26.15384615,62,-9.41,-0.151774194,64,-68.6,-1.071875,62,-75.6,-1.219354839
53,E08000036,LA,384,Wakefield,19,7,36.84210526,19,9,47.36842105,19,8,42.10526316,19,8,42.10526316,19,6,31.57894737,18,-12.85,-0.713888889,18,20.81,1.156111111,18,9.53,0.529444444
5,E08000037,LA,390,Gateshead,18,8,44.44444444,18,11,61.11111111,18,8,44.44444444,18,11,61.11111111,18,6,33.33333333,14,3.75,0.267857143,14,28.64,2.045714286,14,-23.21,-1.657857143
8,E08000021,LA,391,Newcastle upon Tyne,18,7,38.88888889,18,11,61.11111111,18,8,44.44444444,18,10,55.55555556,18,x,x,16,-5.69,-0.355625,17,26.68,1.569411765,17,-2.42,-0.142352941
9,E08000022,LA,392,North Tyneside,11,x,x,11,x,x,11,x,x,11,x,x,11,x,x,8,15.2,1.9,8,30.75,3.84375,8,10.59,1.32375
12,E08000023,LA,393,South Tyneside,11,x,x,11,x,x,11,x,x,11,x,x,11,x,x,11,-11.34,-1.030909091,11,-3.07,-0.279090909,11,-25.37,-2.306363636
14,E08000024,LA,394,Sunderland,22,12,54.54545455,22,12,54.54545455,22,12,54.54545455,22,13,59.09090909,22,8,36.36363636,22,15.84,0.72,22,-32.82,-1.491818182,22,-1.75,-0.079545455
156,E06000053,LA,420,Isles of Scilly,0,.,.,0,.,.,0,.,.,0,.,.,0,.,.,0,.,.,0,.,.,0,.,.
149,E06000022,LA,800,Bath and North East Somerset,6,x,x,6,x,x,6,x,x,6,x,x,6,x,x,x,x,x,x,x,x,x,x,x
151,E06000023,LA,801,"Bristol, City of",29,14,48.27586207,29,16,55.17241379,29,15,51.72413793,29,16,55.17241379,29,11,37.93103448,25,-42.35,-1.694,26,-46.35,-1.782692308,25,-60.68,-2.4272
157,E06000024,LA,802,North Somerset,9,x,x,9,x,x,9,x,x,9,x,x,9,x,x,8,-3.46,-0.4325,8,-35.94,-4.4925,8,-51.26,-6.4075
161,E06000025,LA,803,South Gloucestershire,9,x,x,9,x,x,9,x,x,9,x,x,9,x,x,9,6.38,0.708888889,9,-16.25,-1.805555556,9,-6.51,-0.723333333
6,E06000001,LA,805,Hartlepool,9,x,x,9,x,x,9,x,x,9,x,x,9,x,x,9,-7.21,-0.801111111,9,25.79,2.865555556,9,-20.8,-2.311111111
7,E06000002,LA,806,Middlesbrough,18,10,55.55555556,18,7,38.88888889,18,8,44.44444444,18,11,61.11111111,18,6,33.33333333,17,-30.92,-1.818823529,17,-41.27,-2.427647059,17,-47.14,-2.772941176
11,E06000003,LA,807,Redcar and Cleveland,6,x,x,6,x,x,6,x,x,6,x,x,6,x,x,x,x,x,6,-0.28,-0.046666667,x,x,x
13,E06000004,LA,808,Stockton-on-Tees,30,9,30,30,12,40,30,7,23.33333333,30,16,53.33333333,30,x,x,29,-30.68,-1.057931034,30,14.36,0.478666667,29,-10.99,-0.378965517
45,E06000010,LA,810,"Kingston Upon Hull, City of",35,20,57.14285714,35,25,71.42857143,35,21,60,35,21,60,35,18,51.42857143,34,52.1,1.532352941,35,87.17,2.490571429,34,27.91,0.820882353
44,E06000011,LA,811,East Riding of Yorkshire,13,7,53.84615385,13,x,x,13,x,x,13,6,46.15384615,13,x,x,11,1.79,0.162727273,12,-13.66,-1.138333333,12,-28.28,-2.356666667
48,E06000012,LA,812,North East Lincolnshire,12,x,x,12,x,x,12,6,50,12,x,x,12,x,x,12,49.48,4.123333333,12,56.82,4.735,12,14.48,1.206666667
49,E06000013,LA,813,North Lincolnshire,13,x,x,13,x,x,13,x,x,13,x,x,13,x,x,13,-33.41,-2.57,13,-10.95,-0.842307692,13,9.84,0.756923077
50,E10000023,LA,815,North Yorkshire,15,6,40,15,x,x,15,x,x,15,8,53.33333333,15,x,x,14,-23.96,-1.711428571,14,-15.05,-1.075,14,-23.43,-1.673571429
54,E06000014,LA,816,York,9,x,x,9,x,x,9,x,x,9,x,x,9,x,x,8,-26.22,-3.2775,9,-17.49,-1.943333333,8,-17.56,-2.195
86,E06000032,LA,821,Luton,16,6,37.5,16,x,x,16,x,x,16,6,37.5,16,x,x,15,-65.61,-4.374,15,-79.36,-5.290666667,15,-84.57,-5.638
81,E06000055,LA,822,Bedford,16,x,x,16,6,37.5,16,7,43.75,16,9,56.25,16,x,x,15,27.14,1.809333333,15,-42.21,-2.814,15,-33.31,-2.220666667
82,E06000056,LA,823,Central Bedfordshire,8,x,x,8,x,x,8,x,x,8,x,x,8,x,x,7,0.84,0.12,8,-19.95,-2.49375,7,-9.96,-1.422857143
131,E10000002,LA,825,Buckinghamshire,18,8,44.44444444,18,10,55.55555556,18,8,44.44444444,18,10,55.55555556,18,8,44.44444444,18,1.13,0.062777778,18,10.67,0.592777778,18,-34.25,-1.902777778
137,E06000042,LA,826,Milton Keynes,20,10,50,20,10,50,20,9,45,20,10,50,20,8,40,17,42.12,2.477647059,18,16.45,0.913888889,17,5.12,0.301176471
57,E10000007,LA,830,Derbyshire,28,12,42.85714286,28,13,46.42857143,28,11,39.28571429,28,11,39.28571429,28,6,21.42857143,27,-0.48,-0.017777778,27,-30.15,-1.116666667,27,-64.64,-2.394074074
56,E06000015,LA,831,Derby,27,9,33.33333333,27,11,40.74074074,27,9,33.33333333,27,9,33.33333333,27,7,25.92592593,21,-6.22,-0.296190476,22,5.24,0.238181818,21,-31.62,-1.505714286
154,E10000009,LA,835,Dorset,18,8,44.44444444,17,9,52.94117647,18,6,33.33333333,18,8,44.44444444,17,6,35.29411765,16,39.16,2.4475,17,50.95,2.997058824,16,8.3,0.51875
159,E06000029,LA,836,Poole,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
150,E06000028,LA,837,Bournemouth,7,x,x,7,x,x,7,x,x,7,x,x,7,x,x,7,0.84,0.12,7,17.92,2.56,7,-8.95,-1.278571429
4,E06000047,LA,840,County Durham,37,21,56.75675676,37,18,48.64864865,37,13,35.13513514,37,17,45.94594595,37,13,35.13513514,36,21.41,0.594722222,36,14.26,0.396111111,36,30.07,0.835277778
3,E06000005,LA,841,Darlington,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
132,E10000011,LA,845,East Sussex,30,15,50,30,13,43.33333333,30,14,46.66666667,30,15,50,30,7,23.33333333,29,-45.31,-1.562413793,28,-73.63,-2.629642857,28,-91.14,-3.255
130,E06000043,LA,846,Brighton and Hove,15,8,53.33333333,15,8,53.33333333,15,6,40,15,9,60,15,6,40,14,-9.05,-0.646428571,15,-20.24,-1.349333333,14,-62.79,-4.485
133,E10000014,LA,850,Hampshire,46,19,41.30434783,46,22,47.82608696,46,19,41.30434783,46,26,56.52173913,46,13,28.26086957,42,-93.15,-2.217857143,42,-61.99,-1.475952381,41,-126.74,-3.091219512
139,E06000044,LA,851,Portsmouth,20,8,40,20,x,x,20,x,x,20,x,x,20,x,x,19,-13.91,-0.732105263,19,-68.02,-3.58,19,-27.16,-1.429473684
142,E06000045,LA,852,Southampton,18,7,38.88888889,18,11,61.11111111,18,11,61.11111111,18,10,55.55555556,18,6,33.33333333,18,-33.91,-1.883888889,18,-5.81,-0.322777778,18,-21.71,-1.206111111
59,E10000018,LA,855,Leicestershire,18,8,44.44444444,18,6,33.33333333,18,9,50,18,8,44.44444444,18,x,x,17,-11.68,-0.687058824,17,-35.49,-2.087647059,17,31.61,1.859411765
58,E06000016,LA,856,Leicester,24,8,33.33333333,24,10,41.66666667,24,9,37.5,24,14,58.33333333,24,6,25,23,-55.74,-2.423478261,23,-48.57,-2.11173913,23,-79.55,-3.458695652
64,E06000017,LA,857,Rutland,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
73,E10000028,LA,860,Staffordshire,53,19,35.8490566,53,24,45.28301887,53,22,41.50943396,53,24,45.28301887,53,14,26.41509434,48,-69.84,-1.455,48,-102.68,-2.139166667,47,-60.77,-1.292978723
74,E06000021,LA,861,Stoke-on-Trent,32,16,50,32,12,37.5,32,18,56.25,32,16,50,32,10,31.25,31,40.68,1.312258065,31,-7.06,-0.227741935,30,38.29,1.276333333
164,E06000054,LA,865,Wiltshire,18,x,x,18,x,x,18,x,x,18,x,x,18,x,x,14,-45.11,-3.222142857,14,-1.7,-0.121428571,14,-14.79,-1.056428571
162,E06000030,LA,866,Swindon,9,x,x,9,x,x,9,x,x,9,x,x,9,x,x,9,-65.93,-7.325555556,9,-49.75,-5.527777778,9,-32.26,-3.584444444
129,E06000036,LA,867,Bracknell Forest,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
146,E06000040,LA,868,Windsor and Maidenhead,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
144,E06000037,LA,869,West Berkshire,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
140,E06000038,LA,870,Reading,10,x,x,10,x,x,10,x,x,10,x,x,10,x,x,9,-1.72,-0.191111111,10,4,0.4,9,-39.11,-4.345555556
141,E06000039,LA,871,Slough,8,x,x,8,x,x,8,x,x,8,x,x,8,x,x,8,31.51,3.93875,8,13.64,1.705,8,5,0.625
147,E06000041,LA,872,Wokingham,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
83,E10000003,LA,873,Cambridgeshire,22,7,31.81818182,22,8,36.36363636,22,6,27.27272727,22,9,40.90909091,22,x,x,19,-6.99,-0.367894737,20,-19.05,-0.9525,20,-44.12,-2.206
88,E06000031,LA,874,Peterborough,14,6,42.85714286,14,6,42.85714286,14,6,42.85714286,14,6,42.85714286,14,6,42.85714286,11,-38.09,-3.462727273,12,-19.41,-1.6175,10,-6.68,-0.668
23,E06000006,LA,876,Halton,15,8,53.33333333,15,9,60,15,8,53.33333333,15,x,x,15,7,46.66666667,14,25.29,1.806428571,14,34.86,2.49,14,-3.98,-0.284285714
36,E06000007,LA,877,Warrington,20,x,x,20,12,60,20,x,x,20,x,x,20,10,50,19,125.03,6.580526316,19,41.65,2.192105263,19,83.5,4.394736842
153,E10000008,LA,878,Devon,24,14,58.33333333,24,10,41.66666667,24,14,58.33333333,24,14,58.33333333,24,8,33.33333333,22,40.61,1.845909091,22,-36.7,-1.668181818,22,-4.77,-0.216818182
158,E06000026,LA,879,Plymouth,19,7,36.84210526,19,6,31.57894737,19,8,42.10526316,19,8,42.10526316,19,x,x,18,-45.75,-2.541666667,18,-44.32,-2.462222222,18,-42.01,-2.333888889
163,E06000027,LA,880,Torbay,18,10,55.55555556,18,9,50,18,10,55.55555556,18,10,55.55555556,18,7,38.88888889,17,25.7,1.511764706,17,-17.95,-1.055882353,17,2.63,0.154705882
84,E10000012,LA,881,Essex,43,17,39.53488372,42,17,40.47619048,43,20,46.51162791,43,18,41.86046512,42,13,30.95238095,36,-53.04,-1.473333333,39,-44.75,-1.147435897,36,-87.82,-2.439444444
89,E06000033,LA,882,Southend-on-Sea,9,x,x,9,x,x,9,x,x,9,x,x,9,x,x,8,-13.12,-1.64,8,-39.13,-4.89125,8,2.27,0.28375
91,E06000034,LA,883,Thurrock,11,x,x,11,x,x,11,x,x,11,x,x,11,x,x,10,8.26,0.826,10,-3.57,-0.357,10,12.1,1.21
