Upper Tier Local Authority District code (2019),Upper Tier Local Authority District name (2019),IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD 2019 - Extent ,IMD 2019 - Rank of extent ,IMD 2019 - Local concentration ,IMD 2019 - Rank of local concentration 
E09000009,Ealing,18991.69,62,22.710,74,0.0204,107,0.1630,84,28827.66,100
E09000010,Enfield,20418.65,46,25.781,57,0.0546,80,0.2942,48,29748.46,79
E09000011,Greenwich,20383.77,47,24.464,66,0.0066,123,0.2017,72,28579.85,104
E09000012,Hackney,25312.57,7,32.526,18,0.1111,56,0.4319,22,30187.74,73
E09000013,Hammersmith and Fulham,18643.47,68,22.270,78,0.0088,116,0.1644,82,28576.65,105
E09000014,Haringey,21887.62,29,27.956,38,0.0966,60,0.3210,41,30429.89,67
E09000015,Harrow,13071.33,118,15.031,123,0.0000,130,0.0268,138,24571.68,137
E09000016,Havering,14036.00,111,16.789,112,0.0067,122,0.0814,113,27349.32,116
E09000017,Hillingdon,15515.03,94,18.223,103,0.0000,130,0.0692,117,26225.86,124
E09000018,Hounslow,18652.53,67,21.487,82,0.0070,121,0.0890,110,27292.93,117
E09000019,Islington,22490.24,24,27.535,41,0.0488,87,0.2705,58,29301.65,87
E09000020,Kensington and Chelsea,17177.54,80,21.526,81,0.0874,65,0.1985,73,30007.35,76
E09000021,Kingston upon Thames,9412.29,140,11.381,143,0.0000,130,0.0122,142,20278.67,145
E09000022,Lambeth,21351.38,34,25.422,62,0.0000,130,0.1949,74,28390.91,106
E09000023,Lewisham,21959.25,28,26.661,49,0.0296,98,0.2464,62,28994.08,95
E09000024,Merton,12224.63,123,14.649,127,0.0000,130,0.0389,134,25452.04,132
E09000025,Newham,24138.70,11,29.577,34,0.0244,102,0.2884,53,28987.07,96
E09000026,Redbridge,15082.62,98,17.203,109,0.0000,130,0.0405,131,25538.12,131
E09000027,Richmond upon Thames,7159.19,148,9.425,148,0.0000,130,0.0076,145,20998.48,144
E09000028,Southwark,21247.36,35,25.811,55,0.0301,97,0.2305,67,28758.95,102
E09000029,Sutton,11415.25,130,13.987,131,0.0083,120,0.0582,120,26617.95,120
E09000030,Tower Hamlets,22507.05,23,27.913,39,0.0139,111,0.3057,44,29011.42,94
E09000031,Waltham Forest,21186.64,36,25.209,63,0.0208,105,0.1783,77,28906.69,99
E09000032,Wandsworth,14312.18,108,16.611,113,0.0000,130,0.0495,125,25999.84,128
E09000033,Westminster,16573.82,87,20.339,88,0.0234,103,0.1587,85,29203.12,92
E10000002,Buckinghamshire,8023.36,145,10.052,146,0.0000,130,0.0074,146,21852.21,143
