time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,characteristic,number
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,Solihull,E08000029,2. Children who are the responsibility of this LA placed outside the LA boundary,346
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,Solihull,E08000029,Net gain of children by responsible LA,-175
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,Walsall,E08000030,1. Children who are the responsibility of other LAs placed within this LA boundary,405
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,Walsall,E08000030,2. Children who are the responsibility of this LA placed outside the LA boundary,371
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,Walsall,E08000030,Net gain of children by responsible LA,34
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,Wolverhampton,E08000031,1. Children who are the responsibility of other LAs placed within this LA boundary,331
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,Wolverhampton,E08000031,2. Children who are the responsibility of this LA placed outside the LA boundary,262
2023,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,Wolverhampton,E08000031,Net gain of children by responsible LA,69
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,1. Children who are the responsibility of other LAs placed within this LA boundary,218
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,2. Children who are the responsibility of this LA placed outside the LA boundary,165
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,Net gain of children by responsible LA,53
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,1. Children who are the responsibility of other LAs placed within this LA boundary,375
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,2. Children who are the responsibility of this LA placed outside the LA boundary,670
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,Net gain of children by responsible LA,-295
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,1. Children who are the responsibility of other LAs placed within this LA boundary,188
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,2. Children who are the responsibility of this LA placed outside the LA boundary,215
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,Net gain of children by responsible LA,-27
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,1. Children who are the responsibility of other LAs placed within this LA boundary,294
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,2. Children who are the responsibility of this LA placed outside the LA boundary,256
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,Net gain of children by responsible LA,38
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,1. Children who are the responsibility of other LAs placed within this LA boundary,219
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,2. Children who are the responsibility of this LA placed outside the LA boundary,161
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,Net gain of children by responsible LA,58
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,1. Children who are the responsibility of other LAs placed within this LA boundary,235
