time_period,time_identifier,geographic_level,country_code,country_name,missing_status,breakdown,number
2023,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 11 and 15 days,470
2023,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 16 and 20 days,190
2023,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 21 and 30 days,190
2023,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 3 and 7 days,6620
2023,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 8 and 10 days,650
2023,Reporting year,National,E92000001,England,Durations of missing from placement periods,Less than 1 day,27250
2023,Reporting year,National,E92000001,England,Durations of missing from placement periods,More than 30 days,380
2023,Reporting year,National,E92000001,England,Durations of missing from placement periods,Total incidents,82110
2023,Reporting year,National,E92000001,England,Missing from placement incidents,Total number of missing incidents during the year,82110
2023,Reporting year,National,E92000001,England,Placement locations from which children were missing,Missing from placement inside council boundary,46490
2023,Reporting year,National,E92000001,England,Placement locations from which children were missing,Missing from placement outside council boundary,35630
2023,Reporting year,National,E92000001,England,Placement locations from which children were missing,Total incidents,82110
2023,Reporting year,National,E92000001,England,Placements from which children were missing,1: Foster placements,17670
2023,Reporting year,National,E92000001,England,Placements from which children were missing,2: Adoption,0
2023,Reporting year,National,E92000001,England,Placements from which children were missing,3: Placed with parents or other person with parental responsibility,1450
2023,Reporting year,National,E92000001,England,Placements from which children were missing,4: Secure homes and children's homes,27230
2023,Reporting year,National,E92000001,England,Placements from which children were missing,5: Independent and semi-independent living arrangements/ supported accommodation,31170
2023,Reporting year,National,E92000001,England,Placements from which children were missing,6:Other placements,4590
2023,Reporting year,National,E92000001,England,Placements from which children were missing,Total incidents,82110
2022,Reporting year,National,E92000001,England,Age of children missing from placement,1 to 4 years,50
2022,Reporting year,National,E92000001,England,Age of children missing from placement,10 to 15 years,30610
2022,Reporting year,National,E92000001,England,Age of children missing from placement,16 years and over,46270
2022,Reporting year,National,E92000001,England,Age of children missing from placement,5 to 9 years,170
2022,Reporting year,National,E92000001,England,Age of children missing from placement,Total incidents,77110
2022,Reporting year,National,E92000001,England,Age of children missing from placement,Under 1 year,10
2022,Reporting year,National,E92000001,England,Children missing from placement,All children looked after during the year,111440
2022,Reporting year,National,E92000001,England,Children missing from placement ,Average (mean) number of days per missing incident,2
2022,Reporting year,National,E92000001,England,Children missing from placement ,Average (median) number of days per missing incident,1
2022,Reporting year,National,E92000001,England,Children missing from placement,Average number of incidents per looked after child who was missing,6.3
