time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,characteristic,children_count
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,1. Children who are the responsibility of other LAs placed within this LA boundary,262
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,2. Children who are the responsibility of this LA placed outside the LA boundary,234
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,Net gain of children by responsible LA,28
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,1. Children who are the responsibility of other LAs placed within this LA boundary,210
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,2. Children who are the responsibility of this LA placed outside the LA boundary,137
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,Net gain of children by responsible LA,73
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,1. Children who are the responsibility of other LAs placed within this LA boundary,z
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,2. Children who are the responsibility of this LA placed outside the LA boundary,z
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Net gain of children by responsible LA,z
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,1. Children who are the responsibility of other LAs placed within this LA boundary,1343
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,2. Children who are the responsibility of this LA placed outside the LA boundary,301
2025,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Net gain of children by responsible LA,1042
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,1. Children who are the responsibility of other LAs placed within this LA boundary,94
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,2. Children who are the responsibility of this LA placed outside the LA boundary,275
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Net gain of children by responsible LA,-181
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,1. Children who are the responsibility of other LAs placed within this LA boundary,328
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,2. Children who are the responsibility of this LA placed outside the LA boundary,154
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Net gain of children by responsible LA,174
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,1. Children who are the responsibility of other LAs placed within this LA boundary,76
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,2. Children who are the responsibility of this LA placed outside the LA boundary,204
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Net gain of children by responsible LA,-128
2025,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,1. Children who are the responsibility of other LAs placed within this LA boundary,136
