time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,care_leaver_age,breakdown,care_leaver_count,care_leaver_percent
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,19 to 21 years,Local authority not in touch with care leaver,6,3
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,19 to 21 years,Total,193,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,19 to 21 years,Young person no longer requires services,15,8
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,19 to 21 years,Young person refuses contact,9,5
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,17 to 18 years,Local authority in touch with care leaver,52,95
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,17 to 18 years,Local authority not in touch with care leaver,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,17 to 18 years,Total,55,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,17 to 18 years,Young person no longer requires services,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,17 to 18 years,Young person refuses contact,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,19 to 21 years,Local authority in touch with care leaver,130,92
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,19 to 21 years,Local authority not in touch with care leaver,11,8
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,19 to 21 years,Total,141,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,19 to 21 years,Young person no longer requires services,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,19 to 21 years,Young person refuses contact,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,17 to 18 years,Local authority in touch with care leaver,78,90
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,17 to 18 years,Local authority not in touch with care leaver,6,7
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,17 to 18 years,Total,87,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,17 to 18 years,Young person no longer requires services,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,17 to 18 years,Young person refuses contact,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,19 to 21 years,Local authority in touch with care leaver,157,84
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,19 to 21 years,Local authority not in touch with care leaver,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,19 to 21 years,Total,187,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,19 to 21 years,Young person no longer requires services,21,11
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,19 to 21 years,Young person refuses contact,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,17 to 18 years,Local authority in touch with care leaver,30,88
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,17 to 18 years,Local authority not in touch with care leaver,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,17 to 18 years,Total,34,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,17 to 18 years,Young person no longer requires services,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,17 to 18 years,Young person refuses contact,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,19 to 21 years,Local authority in touch with care leaver,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,19 to 21 years,Local authority not in touch with care leaver,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,19 to 21 years,Total,72,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,19 to 21 years,Young person no longer requires services,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,19 to 21 years,Young person refuses contact,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,17 to 18 years,Local authority in touch with care leaver,165,95
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,17 to 18 years,Local authority not in touch with care leaver,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,17 to 18 years,Total,173,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,17 to 18 years,Young person no longer requires services,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,17 to 18 years,Young person refuses contact,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,19 to 21 years,Local authority in touch with care leaver,259,89
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,19 to 21 years,Local authority not in touch with care leaver,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,19 to 21 years,Total,290,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,19 to 21 years,Young person no longer requires services,27,9
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,19 to 21 years,Young person refuses contact,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,17 to 18 years,Local authority in touch with care leaver,58,98
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,17 to 18 years,Local authority not in touch with care leaver,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,17 to 18 years,Total,59,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,17 to 18 years,Young person no longer requires services,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,17 to 18 years,Young person refuses contact,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,19 to 21 years,Local authority in touch with care leaver,138,93
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,19 to 21 years,Local authority not in touch with care leaver,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,19 to 21 years,Total,148,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,19 to 21 years,Young person no longer requires services,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,19 to 21 years,Young person refuses contact,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,17 to 18 years,Local authority in touch with care leaver,66,96
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,17 to 18 years,Local authority not in touch with care leaver,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,17 to 18 years,Total,69,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,17 to 18 years,Young person no longer requires services,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,17 to 18 years,Young person refuses contact,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,19 to 21 years,Local authority in touch with care leaver,214,95
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,19 to 21 years,Local authority not in touch with care leaver,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,19 to 21 years,Total,226,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,19 to 21 years,Young person no longer requires services,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,19 to 21 years,Young person refuses contact,11,5
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,17 to 18 years,Local authority in touch with care leaver,54,92
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,17 to 18 years,Local authority not in touch with care leaver,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,17 to 18 years,Total,59,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,17 to 18 years,Young person no longer requires services,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,17 to 18 years,Young person refuses contact,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,19 to 21 years,Local authority in touch with care leaver,125,92
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,19 to 21 years,Local authority not in touch with care leaver,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,19 to 21 years,Total,136,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,19 to 21 years,Young person no longer requires services,7,5
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,19 to 21 years,Young person refuses contact,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,17 to 18 years,Local authority in touch with care leaver,41,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,17 to 18 years,Local authority not in touch with care leaver,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,17 to 18 years,Total,41,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,17 to 18 years,Young person no longer requires services,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,17 to 18 years,Young person refuses contact,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,19 to 21 years,Local authority in touch with care leaver,112,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,19 to 21 years,Local authority not in touch with care leaver,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,19 to 21 years,Total,112,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,19 to 21 years,Young person no longer requires services,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,19 to 21 years,Young person refuses contact,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,17 to 18 years,Local authority in touch with care leaver,84,93
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,17 to 18 years,Local authority not in touch with care leaver,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,17 to 18 years,Total,90,100
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,17 to 18 years,Young person no longer requires services,c,c
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,17 to 18 years,Young person refuses contact,0,0
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,19 to 21 years,Local authority in touch with care leaver,172,94
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,19 to 21 years,Local authority not in touch with care leaver,c,c
