time_period,time_identifier,geographic_level,country_code,country_name,missing_status,characteristic,number
2023,Reporting year,National,E92000001,England,Away from placement without authorisation incidents,Total number of away from placement without authorisation incidents during the year,10520
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation,All children looked after during the year,114760
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (mean) number of days per away from placement without authorisation incident,2.6
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (median) number of days per away from placement without authorisation incident,1
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average number of incidents per looked after child who was away from placement without authorisation,4
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation more than once during the year,1360
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation on 31 March,40
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away without authorisation from placement on 31 March who were unaccompanied asylum-seeking children,c
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation,Percentage of children looked after during the year who were away from placement without authorisation,2
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,African,190
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other Asian background,100
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other Black background,120
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other Mixed background,110
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other White background,120
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Bangladeshi,10
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Caribbean,130
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Chinese,c
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Gypsy Roma,10
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Indian,10
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Information not yet obtained,c
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Pakistani,20
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Refused,c
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total Asian or Asian British,150
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,"Total Black, African, Caribbean or Black British",430
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total children who were away from placement without authorisation during the year,2640
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total Mixed or Multiple ethnic groups,370
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total other ethnic group,180
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total refused or information not yet available,c
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total White,1500
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Traveller of Irish Heritage,c
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White and Asian,50
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White and Black African,50
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White and Black Caribbean,170
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White British,1360
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White Irish,10
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by sex,Females,1220
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by sex,Males,1420
2023,Reporting year,National,E92000001,England,Children away from placement without authorisation by sex,Total children who were away from placement without authorisation during the year,2640
2023,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 1 and 2 days,6200
2023,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 11 and 15 days,130
2023,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 16 and 20 days,60
2023,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 21 and 30 days,60
2023,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 3 and 7 days,1300
2023,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 8 and 10 days,170
2023,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Less than 1 day,2510
2023,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,More than 30 days,90
2023,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Total incidents,10520
2023,Reporting year,National,E92000001,England,Placement locations from which children were away from placement without authorisation,Away from placement without authorisation inside council boundary,4760
2023,Reporting year,National,E92000001,England,Placement locations from which children were away from placement without authorisation,Away from placement without authorisation outside council boundary,5760
2023,Reporting year,National,E92000001,England,Placement locations from which children were away from placement without authorisation,Total incidents,10520
2023,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,1: Foster placements,1850
2023,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,2: Adoption,0
2023,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,3: Placed with parents or other person with parental responsibility,80
2023,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,4: Secure homes and children's homes,1780
2023,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,5: Independent and semi-independent living arrangements/ supported accommodation,6450
2023,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,6: Other placements,360
2023,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Total incidents,10520
2022,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,1 to 4 years,10
2022,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,10 to 15 years,2050
2022,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,16 years and over,6840
2022,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,5 to 9 years,c
2022,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Total incidents,8900
2022,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Under 1 year,c
2022,Reporting year,National,E92000001,England,Away from placement without authorisation incidents,Total number of away from placement without authorisation incidents during the year,8900
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation,All children looked after during the year,111440
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (mean) number of days per away from placement without authorisation incident,2.6
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (median) number of days per away from placement without authorisation incident,1
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average number of incidents per looked after child who was away from placement without authorisation,3.5
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation more than once during the year,1260
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation on 31 March,30
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away without authorisation from placement on 31 March who were unaccompanied asylum-seeking children,c
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation,Percentage of children looked after during the year who were away from placement without authorisation,2
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,African,200
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other Asian background,80
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other Black background,90
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other Mixed background,120
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other White background,100
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Bangladeshi,10
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Caribbean,130
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Chinese,c
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Gypsy Roma,10
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Indian,10
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Information not yet obtained,c
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Pakistani,30
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Refused,c
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total Asian or Asian British,140
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,"Total Black, African, Caribbean or Black British",420
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total children who were away from placement without authorisation during the year,2520
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total Mixed or Multiple ethnic groups,320
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total other ethnic group,140
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total refused or information not yet available,10
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total White,1500
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Traveller of Irish Heritage,c
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White and Asian,40
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White and Black African,40
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White and Black Caribbean,130
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White British,1360
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,White Irish,10
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by sex,Females,1090
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by sex,Males,1430
2022,Reporting year,National,E92000001,England,Children away from placement without authorisation by sex,Total children who were away from placement without authorisation during the year,2520
2022,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 1 and 2 days,5030
2022,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 11 and 15 days,110
2022,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 16 and 20 days,50
2022,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 21 and 30 days,40
2022,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 3 and 7 days,1050
2022,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 8 and 10 days,130
2022,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Less than 1 day,2390
2022,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,More than 30 days,100
2022,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Total incidents,8900
2022,Reporting year,National,E92000001,England,Placement locations from which children were away from placement without authorisation,Away from placement without authorisation inside council boundary,4040
2022,Reporting year,National,E92000001,England,Placement locations from which children were away from placement without authorisation,Away from placement without authorisation outside council boundary,4860
2022,Reporting year,National,E92000001,England,Placement locations from which children were away from placement without authorisation,Total incidents,8900
2022,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,1: Foster placements,1320
2022,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,2: Adoption,0
2022,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,3: Placed with parents or other person with parental responsibility,60
