New_geog_code,geog_l,geog_c,geog_n,All_aged19,LA_nit,Act_HE,Act_OE,Act_TE,Act_Neet_ill,Act_NEET_oth,Acc_P,Acc_FFC,Acc_CH,Acc_SITA,Acc_SL,Acc_OL,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_C,Acc_OTH,Acc_SUIT
E10000015,LA,919,Hertfordshire,96,6,7,29,24,10,20,9,6,x,x,x,x,44,0,x,x,11,x,82
E06000046,LA,921,Isle of Wight,18,x,0,x,x,x,x,x,x,0,x,0,x,6,0,0,x,0,x,16
E10000019,LA,925,Lincolnshire,46,x,x,26,8,x,9,8,x,x,13,x,x,8,0,0,x,x,x,44
E10000020,LA,926,Norfolk,72,x,x,25,12,x,22,9,x,8,6,17,x,22,0,0,x,x,x,65
E10000021,LA,928,Northamptonshire,84,11,x,19,19,x,29,10,x,6,6,x,x,30,0,0,6,x,7,64
E06000048,LA,929,Northumberland,33,x,x,x,9,0,17,8,0,0,x,0,0,17,0,0,x,0,x,31
E10000025,LA,931,Oxfordshire,51,x,x,25,13,x,6,x,x,9,x,0,0,22,0,0,x,6,x,46
E10000027,LA,933,Somerset,30,0,x,10,8,0,11,x,x,x,x,x,x,15,0,0,0,0,x,29
E10000029,LA,935,Suffolk,49,x,x,15,17,x,10,7,x,6,x,x,x,16,0,0,0,0,7,45
E10000030,LA,936,Surrey,104,9,x,38,16,x,33,6,9,13,7,0,0,34,0,x,x,13,10,87
E10000031,LA,937,Warwickshire,44,x,x,11,14,x,14,7,x,x,x,0,x,18,0,0,0,7,x,41
E10000032,LA,938,West Sussex,94,x,6,22,16,11,35,x,9,12,19,x,x,32,0,0,x,x,8,87
