New_geog_code,geog_l,geog_c,geog_n,CLA_started2011,CLA_taken2011,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E08000032,LA,380,Bradford,293,98,153,140,87,77,39,64,26,242,x,x,14,14,x,0,12,36,0,0,187,48,14,0,8,0,0
E08000033,LA,381,Calderdale,124,66,56,68,18,30,37,30,9,97,x,x,x,12,x,0,x,41,0,0,54,22,x,0,x,0,0
E08000034,LA,382,Kirklees,212,102,116,96,61,53,28,50,20,170,8,6,9,10,x,0,x,72,x,0,103,22,x,0,6,x,0
E08000035,LA,383,Leeds,410,220,238,172,110,101,70,105,24,320,x,x,9,28,12,0,35,125,x,0,185,64,29,0,x,0,0
E08000036,LA,384,Wakefield,177,99,103,74,34,56,34,41,12,116,6,11,8,12,x,0,21,69,x,0,75,18,9,x,x,0,0
E08000020,LA,390,Gateshead,188,64,90,98,28,59,41,55,x,127,x,x,23,18,x,0,11,30,0,0,124,30,x,0,0,0,0
E08000021,LA,391,Newcastle upon Tyne,210,51,107,103,44,55,36,65,10,140,x,x,19,19,11,x,12,24,x,0,157,16,10,0,x,0,0
E08000022,LA,392,North Tyneside,137,36,64,73,22,34,26,50,x,55,x,x,27,49,0,0,x,21,0,0,101,15,0,0,0,0,0
E08000023,LA,393,South Tyneside,142,66,64,78,32,46,25,29,10,117,x,x,6,x,x,0,x,49,0,0,76,16,x,0,0,0,0
E08000024,LA,394,Sunderland,165,35,93,72,38,42,24,54,7,45,0,0,13,100,x,0,x,16,0,0,126,15,x,0,x,x,0
