time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,year_breakdown,social_care_group,school_type,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact
202122,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,Six half terms,CINO at 31 March,Pupil referral unit,180,53600,22440,41.9,10160,19,12280,22.9,160,85.9
202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Six half terms,CINO at 31 March,Total,858,305804,51323,16.8,27543,9,23780,7.8,429,50
202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Six half terms,CINO at 31 March,State-funded secondary,278,96639,25039,25.9,10533,10.9,14506,15,183,65.8
202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Six half terms,CINO at 31 March,State-funded primary,377,138143,14202,10.3,9633,7,4569,3.3,149,39.5
202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Six half terms,CINO at 31 March,Special,180,63374,9157,14.4,6109,9.6,3048,4.8,74,41.1
202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Six half terms,CINO at 31 March,Pupil referral unit,23,7648,2925,38.2,1268,16.6,1657,21.7,23,100
202122,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Six half terms,CINO at 31 March,Total,352,125869,18297,14.5,10693,8.5,7604,6,154,43.8
202122,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Six half terms,CINO at 31 March,State-funded secondary,127,43362,7372,17,3868,8.9,3504,8.1,67,52.8
202122,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Six half terms,CINO at 31 March,State-funded primary,161,59453,6706,11.3,4328,7.3,2378,4,58,36
202122,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Six half terms,CINO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Six half terms,CINO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Six half terms,CINO at 31 March,Total,684,245998,38429,15.6,21221,8.6,17208,7,303,44.3
202122,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Six half terms,CINO at 31 March,State-funded secondary,209,73487,19653,26.7,8740,11.9,10913,14.9,138,66
202122,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Six half terms,CINO at 31 March,State-funded primary,295,107277,10178,9.5,6385,6,3793,3.5,104,35.3
202122,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Six half terms,CINO at 31 March,Special,164,60426,6215,10.3,5092,8.4,1123,1.9,46,28
202122,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Six half terms,CINO at 31 March,Pupil referral unit,16,4808,2383,49.6,1004,20.9,1379,28.7,15,93.8
202122,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Six half terms,CINO at 31 March,Total,475,171395,29193,17,13700,8,15493,9,223,46.9
202122,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Six half terms,CINO at 31 March,State-funded secondary,220,77923,19827,25.4,7822,10,12005,15.4,131,59.5
202122,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Six half terms,CINO at 31 March,State-funded primary,205,75600,6670,8.8,4285,5.7,2385,3.2,70,34.1
202122,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Six half terms,CINO at 31 March,Special,42,15500,1743,11.2,1362,8.8,381,2.5,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Six half terms,CINO at 31 March,Pupil referral unit,8,2372,953,40.2,231,9.7,722,30.4,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Six half terms,CINO at 31 March,Total,712,249400,41471,16.6,19799,7.9,21672,8.7,340,47.8
202122,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Six half terms,CINO at 31 March,State-funded secondary,285,94803,24683,26,9537,10.1,15146,16,197,69.1
202122,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Six half terms,CINO at 31 March,State-funded primary,341,124389,10947,8.8,6414,5.2,4533,3.6,103,30.2
202122,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Six half terms,CINO at 31 March,Special,77,27543,4619,16.8,3314,12,1305,4.7,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Six half terms,CINO at 31 March,Pupil referral unit,9,2665,1222,45.9,534,20,688,25.8,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Six half terms,CINO at 31 March,Total,853,303521,57350,18.9,28039,9.2,29311,9.7,433,50.8
202122,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Six half terms,CINO at 31 March,State-funded secondary,336,117375,34264,29.2,12242,10.4,22022,18.8,231,68.8
202122,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Six half terms,CINO at 31 March,State-funded primary,344,125103,11676,9.3,7341,5.9,4335,3.5,116,33.7
202122,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Six half terms,CINO at 31 March,Special,162,57769,9340,16.2,7157,12.4,2183,3.8,75,46.3
202122,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Six half terms,CINO at 31 March,Pupil referral unit,11,3274,2070,63.2,1299,39.7,771,23.5,11,100
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Six half terms,CINO at 31 March,Total,516,183333,25504,13.9,16774,9.1,8730,4.8,217,42.1
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Six half terms,CINO at 31 March,State-funded secondary,167,56235,11222,20,6693,11.9,4529,8.1,94,56.3
