Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table LA5:  Exclusions from school of children who have been looked after continuously for at least twelve months1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010 - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Code,,,2010,,,,,,,2011,,,,,,,2012,,,,,,,2013,,,,,,,2014,,,,,
,,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion
,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000017,857,Rutland,<90,,5,,0.00,0.00,,100,,15,,0.00,0.00,,100,,15,,0.00,x,,100,,15,,0.00,x,,100,,15,,0.00,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WEST MIDLANDS,.,,"3,670",,0.33,13.10,,.,,"3,800",,0.21,11.84,,.,,"3,770",,0.24,11.24,,.,,"3,890",,x,9.14,,.,,"4,160",,0.17,9.55
E08000025,330,Birmingham,90-99,,985,,x,12.92,,90-99,,975,,x,13.82,,90-99,,895,,x,12.63,,90-99,,875,,x,10.60,,90-99,,870,,x,12.18
E08000026,331,Coventry,100,,255,,0.00,14.06,,90-99,,275,,x,13.04,,90-99,,260,,0.00,11.24,,90-99,,225,,0.00,9.38,,90-99,,250,,x,10.40
E08000027,332,Dudley,90-99,,315,,x,12.42,,90-99,,325,,x,8.62,,100,,350,,x,11.46,,100,,385,,x,8.27,,100,,410,,x,7.56
E06000019,884,Herefordshire,90-99,,75,,0.00,18.67,,90-99,,70,,0.00,10.14,,90-99,,70,,0.00,9.72,,90-99,,70,,0.00,8.45,,90-99,,90,,x,6.52
E08000028,333,Sandwell,90-99,,245,,x,17.89,,90-99,,265,,x,16.48,,90-99,,260,,x,13.03,,90-99,,270,,0.00,11.03,,90-99,,300,,0.00,9.73
E06000051,893,Shropshire,100,,70,,0.00,15.49,,90-99,,80,,0.00,12.50,,100,,75,,0.00,21.33,,90-99,,90,,0.00,13.33,,90-99,,110,,0.00,8.33
E08000029,334,Solihull,90-99,,155,,0.00,9.68,,100,,160,,0.00,5.59,,100,,150,,0.00,10.14,,100,,150,,0.00,7.33,,90-99,,140,,0.00,9.22
E10000028,860,Staffordshire,90-99,,320,,x,11.25,,90-99,,345,,x,9.54,,90-99,,365,,x,8.72,,90-99,,420,,x,8.11,,90-99,,450,,0.00,6.90
E06000021,861,Stoke on Trent,90-99,,180,,0.00,12.92,,100,,170,,0.00,9.88,,100,,190,,0.00,12.11,,90-99,,190,,0.00,6.77,,90-99,,200,,0.00,7.96
E06000020,894,Telford and Wrekin,90-99,,115,,0.00,11.30,,100,,120,,0.00,9.02,,100,,135,,0.00,6.77,,100,,145,,0.00,6.29,,100,,145,,0.00,10.42
E08000030,335,Walsall,100,,240,,0.00,15.13,,100,,250,,0.00,10.48,,100,,245,,0.00,9.72,,100,,255,,0.00,7.84,,100,,300,,0.00,6.04
E10000031,937,Warwickshire,90-99,,275,,x,15.02,,90-99,,280,,0.00,14.89,,90-99,,270,,0.00,13.06,,90-99,,275,,0.00,12.36,,90-99,,275,,x,13.04
E08000031,336,Wolverhampton,90-99,,185,,0.00,9.09,,100,,200,,0.00,9.09,,100,,240,,0.00,5.81,,90-99,,285,,0.00,4.20,,90-99,,330,,0.00,8.23
E10000034,885,Worcestershire,90-99,,255,,x,11.02,,90-99,,280,,0.00,12.19,,90-99,,270,,0.00,12.27,,90-99,,245,,0.00,11.43,,100,,295,,0.00,11.60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
