Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table LA6:  Absence1 from school of children who have been looked after continuously for at least twelve months2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2013 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: State-funded primary, state-funded secondary and specials schools, England3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA code,,,,2013,,,,,,,,,,2014,,,,,,,,,,2015,,,,,,,,,,
,,,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees7,,
,,,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000030,335,Walsall,,100,,240,,4.0,2.8,1.2,,4.6,,100,,275,,3.1,2.3,0.7,,3.6,,100,,305,,3.0,2.4,0.6,,2.3,,
E10000031,937,Warwickshire,,90-99,,265,,4.9,3.9,1.0,,8.4,,90-99,,265,,4.3,3.6,0.7,,5.3,,90-99,,275,,4.3,3.8,0.5,,4.0,,
E08000031,336,Wolverhampton,,100,,265,,4.8,3.3,1.4,,5.6,,90-99,,300,,4.0,2.8,1.2,,5.0,,100,,380,,3.8,2.7,1.1,,3.7,,
E10000034,885,Worcestershire,,90-99,,235,,4.6,4.0,0.6,,4.6,,100,,275,,4.6,3.5,1.1,,4.0,,100,,285,,4.6,3.7,1.0,,5.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EAST OF ENGLAND,,.,,"2,540",,4.6,3.7,0.9,,4.8,,.,,"2,500",,3.9,3.1,0.7,,4.2,,.,,"2,580",,3.6,3.0,0.6,,3.9,,
E06000055,822,Bedford Borough,,90-99,,75,,3.5,3.1,0.4,,x,,100,,90,,3.0,2.6,0.5,,x,,90-99,,105,,2.4,2.3,0.1,,x,,
E06000056,823,Central Bedfordshire,,100,,70,,5.0,3.4,1.6,,x,,100,,90,,4.2,2.7,1.5,,x,,100,,115,,4.5,3.5,0.9,,6.0,,
E10000003,873,Cambridgeshire,,90-99,,210,,4.9,4.1,0.8,,6.7,,90-99,,205,,3.2,2.9,0.2,,x,,90-99,,225,,3.4,2.8,0.6,,4.5,,
E10000012,881,Essex,,100,,590,,4.3,3.5,0.8,,3.7,,90-99,,520,,4.0,3.3,0.8,,5.8,,100,,465,,3.7,3.1,0.6,,3.9,,
E10000015,919,Hertfordshire,,100,,375,,4.8,3.9,0.9,,6.1,,90-99,,365,,4.2,3.5,0.7,,4.7,,100,,385,,3.7,3.3,0.4,,4.4,,
E06000032,821,Luton,,90-99,,170,,4.6,3.2,1.4,,4.1,,90-99,,175,,3.5,2.8,0.6,,4.0,,90-99,,175,,2.9,2.4,0.4,,x,,
E10000020,926,Norfolk,,100,,415,,4.7,3.8,0.9,,4.8,,90-99,,440,,3.8,3.0,0.8,,3.6,,100,,485,,3.8,3.3,0.5,,3.7,,
E06000031,874,Peterborough,,90-99,,125,,3.6,2.9,0.6,,x,,90-99,,125,,3.1,2.7,0.4,,x,,90-99,,120,,3.3,2.7,0.6,,x,,
E06000033,882,Southend,,100,,120,,5.2,3.8,1.4,,8.4,,100,,95,,4.9,3.0,1.9,,9.3,,100,,90,,4.2,3.2,1.0,,x,,
E10000029,935,Suffolk,,90-99,,300,,4.5,3.8,0.8,,4.3,,100,,280,,4.3,3.5,0.7,,3.2,,90-99,,295,,3.4,2.9,0.5,,3.1,,
E06000034,883,Thurrock,,90-99,,95,,5.3,4.3,1.0,,6.5,,100,,105,,3.9,3.2,0.7,,x,,90-99,,120,,3.7,2.5,1.1,,5.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LONDON,,.,,"3,570",,4.5,3.2,1.3,,5.7,,.,,"3,520",,4.3,3.0,1.2,,5.4,,.,,"3,520",,4.3,3.1,1.2,,5.2,,
,,INNER LONDON,,.,,"1,620",,4.8,3.3,1.5,,6.4,,.,,"1,580",,4.3,3.1,1.3,,5.4,,.,,"1,560",,4.5,3.2,1.3,,5.4,,
E09000007,202,Camden,,100,,85,,5.9,3.4,2.4,,9.4,,100,,90,,5.3,2.7,2.6,,8.7,,100,,85,,6.2,3.3,2.9,,11.6,,
E09000001,201,City of London,,100,,5,,6.1,5.6,0.5,,0.0,,100,,5,,4.5,3.8,0.6,,0.0,,100,,5,,4.5,4.2,0.3,,0.0,,
E09000012,204,Hackney,,100,,115,,5.2,3.3,1.9,,6.1,,100,,125,,4.9,3.6,1.3,,4.8,,90-99,,135,,3.7,2.9,0.8,,4.5,,
E09000013,205,Hammersmith & Fulham,,90-99,,75,,5.4,3.2,2.2,,x,,<90,,65,,5.9,3.4,2.5,,x,,<90,,60,,4.7,3.5,1.3,,x,,
E09000014,309,Haringey,,90-99,,230,,4.3,3.2,1.1,,4.8,,100,,225,,5.0,3.1,1.9,,7.6,,90-99,,220,,4.3,3.2,1.1,,5.4,,
E09000019,206,Islington,,100,,105,,5.4,3.5,1.9,,12.3,,100,,100,,3.8,3.1,0.8,,x,,100,,90,,3.7,2.7,1.0,,x,,
E09000020,207,Kensington and Chelsea,,90-99,,30,,9.7,4.9,4.8,,20.7,,100,,25,,7.3,4.2,3.1,,x,,100,,25,,4.8,4.4,0.4,,x,,
E09000022,208,Lambeth,,100,,165,,3.8,2.8,1.0,,4.2,,100,,165,,3.6,2.8,0.8,,x,,100,,180,,4.6,3.2,1.4,,4.5,,
E09000023,209,Lewisham,,90-99,,195,,4.7,2.9,1.9,,6.2,,100,,205,,3.5,3.0,0.5,,3.9,,90-99,,205,,4.4,2.8,1.6,,4.9,,
E09000025,316,Newham,,100,,165,,4.3,3.1,1.2,,4.9,,100,,140,,3.9,3.0,0.9,,5.0,,90-99,,135,,5.3,4.5,0.8,,8.1,,
E09000028,210,Southwark,,90-99,,205,,4.8,3.7,1.1,,5.9,,90-99,,205,,3.9,3.0,0.9,,5.4,,90-99,,200,,4.3,3.3,1.0,,5.1,,
E09000030,211,Tower Hamlets,,100,,105,,4.9,3.8,1.1,,5.7,,90-99,,105,,4.1,3.5,0.6,,x,,90-99,,100,,3.8,3.1,0.8,,x,,
E09000032,212,Wandsworth,,100,,85,,4.8,3.3,1.5,,8.4,,100,,65,,5.5,2.5,3.0,,x,,100,,70,,6.8,2.7,4.2,,x,,
E09000033,213,Westminster,,100,,65,,4.3,3.6,0.7,,x,,100,,65,,3.4,2.9,0.5,,x,,100,,55,,3.5,2.9,0.6,,x,,
,,OUTER LONDON,,.,,"1,950",,4.3,3.2,1.1,,5.0,,.,,"1,940",,4.2,3.0,1.2,,5.4,,.,,"1,970",,4.1,3.0,1.1,,5.0,,
E09000002,301,Barking and Dagenham,,100,,155,,4.0,2.7,1.3,,3.9,,100,,160,,4.3,2.6,1.7,,3.7,,100,,185,,3.9,2.3,1.5,,7.1,,
E09000003,302,Barnet,,100,,105,,6.3,3.4,2.9,,7.5,,100,,110,,6.8,3.7,3.1,,11.0,,100,,100,,6.4,4.1,2.3,,11.1,,
E09000004,303,Bexley,,90-99,,90,,3.8,3.4,0.5,,x,,90-99,,90,,4.1,3.0,1.1,,x,,100,,95,,2.5,2.1,0.4,,x,,
E09000005,304,Brent,,90-99,,120,,5.5,4.3,1.2,,7.5,,90-99,,115,,5.1,3.9,1.2,,6.9,,100,,105,,4.5,3.6,0.9,,5.7,,
E09000006,305,Bromley,,100,,85,,4.2,3.2,1.0,,8.1,,100,,105,,3.6,2.7,0.8,,x,,90-99,,95,,2.9,2.5,0.3,,x,,
E09000008,306,Croydon,,90-99,,215,,4.2,2.9,1.3,,5.1,,90-99,,200,,5.3,2.9,2.4,,9.0,,90-99,,215,,5.0,3.2,1.8,,7.8,,
E09000009,307,Ealing,,90-99,,140,,3.9,2.8,1.0,,5.8,,100,,140,,4.7,3.8,0.9,,6.3,,100,,150,,4.0,3.4,0.7,,4.7,,
E09000010,308,Enfield,,100,,105,,4.6,3.6,1.1,,x,,100,,100,,3.7,3.1,0.6,,x,,90-99,,105,,4.4,2.9,1.4,,x,,
E09000011,203,Greenwich,,100,,240,,3.8,3.3,0.6,,3.4,,100,,255,,3.6,2.9,0.6,,3.9,,100,,235,,3.8,3.0,0.8,,2.6,,
E09000015,310,Harrow,,90-99,,30,,4.4,3.8,0.6,,x,,90-99,,30,,4.3,3.5,0.8,,x,,100,,40,,5.6,3.7,1.9,,x,,
E09000016,311,Havering,,100,,65,,6.3,4.3,2.0,,x,,100,,60,,3.7,2.8,0.9,,x,,100,,80,,3.2,2.7,0.5,,x,,
E09000017,312,Hillingdon,,90-99,,115,,4.1,3.3,0.8,,5.2,,90-99,,110,,3.9,3.2,0.7,,x,,90-99,,100,,3.9,3.2,0.7,,x,,
E09000018,313,Hounslow,,90-99,,125,,3.1,2.5,0.6,,x,,100,,110,,3.2,2.1,1.0,,x,,100,,105,,3.5,2.6,0.9,,x,,
E09000021,314,Kingston upon Thames,,100,,40,,3.7,3.3,0.4,,x,,100,,40,,4.8,3.1,1.7,,x,,90-99,,45,,2.8,2.5,0.3,,0.0,,
E09000024,315,Merton,,100,,45,,4.1,3.3,0.8,,x,,100,,40,,2.9,2.7,0.2,,x,,100,,45,,3.9,2.4,1.5,,x,,
E09000026,317,Redbridge,,100,,80,,3.7,2.7,1.0,,x,,100,,80,,4.0,3.1,0.9,,x,,100,,80,,6.7,4.6,2.2,,7.4,,
E09000027,318,Richmond upon Thames,,100,,20,,2.1,1.9,0.2,,0.0,,100,,25,,1.6,1.1,0.4,,0.0,,100,,25,,2.4,2.0,0.4,,0.0,,
E09000029,319,Sutton,,100,,60,,3.4,3.1,0.3,,x,,100,,70,,3.7,2.4,1.3,,x,,90-99,,65,,4.2,3.3,0.9,,x,,
