New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2015,CLA_2015,CLA_stp2015,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E06000014,LA,816,York,193,281,7,100,93,8,22,36,90,37,181,x,x,x,x,0,146,x,14,0,23,x,x,0,26,102,0,11,54,0,0,0,136,x,x,36,0,14,0,110,83,29,-54
E06000032,LA,821,Luton,399,581,37,210,189,23,63,87,139,87,221,68,50,34,19,7,331,13,10,17,21,7,0,0,41,188,0,x,140,0,x,11,213,x,x,151,16,10,0,223,176,146,-30
E06000055,LA,822,Bedford,252,386,x,138,114,12,36,66,96,42,151,45,16,21,9,10,195,12,x,x,28,x,0,0,x,96,0,38,92,x,x,18,89,11,x,142,x,x,0,113,139,118,-21
E06000056,LA,823,Central Bedfordshire,274,388,x,157,117,18,46,67,95,48,217,28,6,17,6,0,197,20,x,26,23,x,0,0,33,126,0,39,76,0,0,18,129,x,0,131,x,6,0,110,164,174,10
E10000002,LA,825,Buckinghamshire,436,590,28,224,212,22,65,82,165,102,314,61,x,22,18,x,312,27,15,10,57,x,x,0,x,216,0,59,121,0,x,8,125,48,0,241,7,15,0,183,253,149,-104
E06000042,LA,826,Milton Keynes,340,469,x,205,135,15,42,82,116,85,234,25,19,49,13,0,262,12,14,11,30,x,x,0,35,157,x,x,111,x,x,11,187,x,x,124,x,14,0,210,130,153,23
E10000007,LA,830,Derbyshire,603,874,0,310,293,36,88,127,213,139,540,23,x,8,x,25,448,39,x,24,41,32,x,0,x,293,0,96,168,0,x,x,422,0,x,130,32,x,0,425,178,407,229
E06000015,LA,831,Derby,470,626,0,286,184,36,81,98,173,82,371,60,16,x,9,x,348,16,36,9,47,7,7,0,x,239,x,79,92,0,x,x,226,x,x,192,x,36,0,215,255,64,-191
E10000009,LA,835,Dorset,385,549,43,190,195,13,45,68,161,98,362,15,x,0,x,x,285,11,x,32,26,16,x,0,28,123,0,27,207,0,0,0,270,19,x,67,17,x,0,292,93,208,115
E06000029,LA,836,Poole,169,233,7,108,61,10,24,31,76,28,148,13,x,x,x,0,125,12,7,x,17,x,x,0,14,74,0,21,60,0,0,0,114,x,0,36,x,7,0,86,83,99,16
