New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_ceaAdop,CLA_ceaAdop2,CLA_ceaDied,CLA_ceataken,CLA_ceaParPlan,CLA_ceaParNPlan,CLA_ceaNoPar,CLA_ceaROG,CLA_ceaSpecG,CLA_ceaSpecG2,CLA_ceaIndLiv,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_ceaRemEnd,CLA_ceaAgeAssmt,CLA_ceaAbroad,CLA_cea_OthRea
E06000001,LA,805,Hartlepool,87,50,37,x,29,x,14,26,10,x,0,0,10,6,22,9,x,x,x,0,x,x,0,0,0,9
E06000002,LA,806,Middlesbrough,169,75,94,11,47,32,29,50,24,7,0,x,50,x,x,17,x,11,0,x,x,x,0,x,0,45
E06000003,LA,807,Redcar and Cleveland,74,42,32,10,31,7,10,16,15,x,0,0,21,x,6,x,x,x,x,x,x,x,0,0,0,8
E06000004,LA,808,Stockton-on-Tees,146,78,68,20,55,20,17,34,24,7,0,0,47,x,x,15,8,9,6,x,0,x,x,0,0,18
E06000010,LA,810,"Kingston Upon Hull, City of",218,113,105,9,80,41,29,59,0,49,0,0,63,11,x,12,21,x,x,x,0,x,0,0,0,50
E06000011,LA,811,East Riding of Yorkshire,145,84,61,14,52,26,17,36,x,39,0,x,59,x,0,x,6,x,21,x,x,0,0,0,0,8
E06000012,LA,812,North East Lincolnshire,162,94,68,21,59,28,24,30,x,33,x,0,19,10,x,34,10,10,x,0,x,x,0,0,0,34
E06000013,LA,813,North Lincolnshire,63,32,31,9,19,9,7,19,14,x,0,0,19,0,x,10,x,x,7,0,x,x,0,0,0,0
E10000023,LA,815,North Yorkshire,180,96,84,20,52,27,25,56,15,37,x,0,38,6,11,6,14,7,20,x,9,x,x,x,0,x
E06000014,LA,816,York,91,47,44,x,22,x,17,35,9,7,0,0,13,x,x,6,9,x,14,x,x,x,x,0,0,14
E06000032,LA,821,Luton,192,98,94,16,42,31,32,71,14,11,0,x,54,7,x,x,9,28,x,0,x,x,0,0,x,56
E06000055,LA,822,Bedford,138,64,74,9,43,18,21,47,31,x,x,0,38,x,0,x,12,x,x,x,x,x,0,0,x,34
E06000056,LA,823,Central Bedfordshire,120,55,65,6,35,20,26,33,x,15,0,0,18,13,x,x,18,7,x,x,x,x,0,x,0,28
E10000002,LA,825,Buckinghamshire,159,86,73,9,33,25,21,71,21,11,0,x,31,7,0,x,0,22,6,x,17,x,0,0,0,38
E06000042,LA,826,Milton Keynes,136,75,61,17,27,17,26,49,x,7,x,x,47,9,x,x,8,7,19,x,0,x,x,x,0,18
E10000007,LA,830,Derbyshire,280,145,135,27,69,59,30,95,67,12,0,0,52,11,16,11,x,17,15,18,x,x,0,x,0,46
E06000015,LA,831,Derby,174,93,81,12,46,37,30,49,46,9,0,x,33,9,7,7,x,6,13,x,7,14,x,x,7,7
E10000009,LA,835,Dorset,170,91,79,8,38,28,25,71,13,x,0,x,46,19,x,9,7,x,25,11,x,0,0,x,0,22
E06000029,LA,836,Poole,69,39,30,x,20,x,17,20,8,x,0,0,14,12,x,0,6,x,x,0,0,0,0,11,0,x
E06000028,LA,837,Bournemouth,169,98,71,15,70,24,22,38,34,0,x,x,72,0,0,0,x,18,11,x,0,0,0,0,0,18
E06000047,LA,840,Durham,260,134,126,39,96,33,30,62,24,21,x,x,69,0,0,9,24,30,14,9,x,x,0,0,0,53
E06000005,LA,841,Darlington,88,46,42,7,32,14,11,24,15,8,0,x,23,9,0,x,x,x,7,x,0,0,x,0,0,11
E10000011,LA,845,East Sussex,189,105,84,10,71,25,32,51,12,31,0,x,59,x,6,9,9,8,9,x,x,x,0,x,x,28
E06000043,LA,846,Brighton and Hove,192,103,89,28,47,25,27,65,38,13,x,x,46,x,x,x,18,6,x,0,x,x,x,0,0,48
E10000014,LA,850,Hampshire,538,287,251,43,137,86,72,200,15,71,x,x,105,100,38,11,23,16,53,39,31,9,x,0,0,15
E06000044,LA,851,Portsmouth,164,107,57,9,47,22,29,57,21,13,0,x,50,x,0,6,7,6,11,x,6,x,0,0,0,34
E06000045,LA,852,Southampton,192,105,87,14,73,30,26,49,17,34,0,x,46,11,0,8,x,11,x,x,x,8,0,0,0,46
E10000018,LA,855,Leicestershire,245,136,109,17,87,28,43,70,29,19,0,0,62,20,25,6,18,8,17,13,x,x,x,0,0,22
E06000016,LA,856,Leicester,190,91,99,15,42,40,24,69,24,x,0,x,52,0,0,7,12,15,40,x,x,x,x,0,0,28
E06000017,LA,857,Rutland,15,x,x,x,x,x,0,x,0,0,0,0,x,0,0,0,x,0,8,0,0,0,0,0,0,x
E10000028,LA,860,Staffordshire,363,176,187,23,103,72,57,108,38,24,0,x,66,18,x,12,53,27,x,21,7,x,x,x,0,82
E06000021,LA,861,Stoke-on-Trent,216,113,103,16,65,29,39,67,28,x,0,0,86,8,0,x,19,7,0,x,0,x,0,0,0,60
E06000054,LA,865,Wiltshire,189,96,93,17,57,21,37,57,x,22,0,x,64,10,x,x,20,x,9,x,0,x,0,0,0,46
E06000030,LA,866,Swindon,131,77,54,6,20,23,30,52,12,x,0,x,23,31,0,x,x,x,x,0,x,x,0,0,0,42
E06000036,LA,867,Bracknell Forest,58,24,34,x,13,13,x,17,x,x,0,0,19,6,x,x,x,x,7,x,x,0,0,0,0,0
E06000040,LA,868,Windsor and Maidenhead,47,27,20,x,11,7,x,20,0,7,0,0,11,x,0,0,7,x,7,0,x,0,x,0,0,x
E06000037,LA,869,West Berkshire,68,36,32,x,17,13,x,29,x,x,0,0,15,x,8,7,9,x,8,x,10,0,x,0,0,0
E06000038,LA,870,Reading,85,44,41,10,22,7,12,34,10,9,0,0,8,6,x,0,10,x,x,0,0,x,x,x,0,25
E06000039,LA,871,Slough,112,58,54,x,33,x,19,50,22,x,0,0,31,x,x,x,x,x,14,0,x,x,x,0,x,20
E06000041,LA,872,Wokingham,40,25,15,x,15,x,6,11,x,x,0,0,10,x,x,x,0,x,0,0,x,0,0,x,0,9
E10000003,LA,873,Cambridgeshire,261,136,125,26,73,36,42,84,45,7,0,x,61,20,x,17,6,17,24,6,x,x,0,x,x,40
E06000031,LA,874,Peterborough,167,90,77,11,52,31,19,54,7,25,0,0,17,x,18,7,11,16,33,x,x,x,0,0,x,17
E06000006,LA,876,Halton,101,57,44,8,39,26,15,13,8,10,0,x,23,17,x,x,8,15,x,x,0,x,0,x,0,7
E06000007,LA,877,Warrington,109,52,57,10,28,15,21,35,x,15,0,0,20,6,x,x,6,8,0,0,x,x,0,0,0,47
E10000008,LA,878,Devon,350,197,153,29,89,53,56,123,21,40,0,x,106,28,10,15,12,10,14,x,8,0,0,x,0,78
E06000026,LA,879,Plymouth,208,122,86,15,52,23,26,92,24,14,0,0,62,0,0,x,x,x,9,9,0,0,0,0,0,80
E06000027,LA,880,Torbay,126,64,62,10,41,22,18,35,11,8,0,0,65,x,0,6,x,8,15,x,x,0,0,0,0,6
E10000012,LA,881,Essex,516,283,233,27,118,56,80,235,62,33,0,x,56,21,63,8,27,30,156,14,15,6,x,x,x,15
E06000033,LA,882,Southend-on-Sea,107,49,58,6,40,9,12,40,0,17,0,0,29,x,x,9,x,x,18,7,6,0,x,0,0,6
E06000034,LA,883,Thurrock,131,81,50,9,32,13,18,59,x,10,0,x,26,9,0,x,x,8,15,x,12,7,0,0,x,31
E06000019,LA,884,Herefordshire,93,45,48,x,23,x,14,44,9,7,0,x,28,0,0,x,x,6,16,x,x,x,0,0,0,15
E10000034,LA,885,Worcestershire,272,144,128,16,62,41,31,122,37,17,0,x,32,36,11,11,19,11,18,8,6,x,x,x,x,57
E10000016,LA,886,Kent,869,553,316,60,220,89,112,388,130,51,0,x,162,33,46,25,11,44,86,41,28,14,x,x,0,188
E06000035,LA,887,Medway,195,81,114,24,69,30,29,43,22,26,0,0,78,12,11,0,7,x,15,x,x,x,0,0,0,13
E10000017,LA,888,Lancashire,583,326,257,60,201,65,87,170,81,38,x,x,109,19,13,15,31,94,45,16,12,16,x,x,0,86
E06000008,LA,889,Blackburn with Darwen,120,64,56,8,51,29,16,16,27,17,0,x,23,0,0,x,19,7,x,0,0,x,0,0,0,16
E06000009,LA,890,Blackpool,187,104,83,9,75,33,25,45,10,40,0,0,37,24,x,x,8,20,7,22,x,x,x,0,0,7
