geog_l,geog_c,geog_n,StartTotal_2010,StartPlace_Q1_2010,StartPlace_Q2_2010,StartPlace_A3_2010,StartPlace_A4_2010,StartPlace_A5_2010,StartPlace_A6_2010,StartPlace_P1_2010,StartPlace_P2_2010,StartPlace_P3_2010,StartPlace_K1_2010,StartPlace_K2_2010,StartPlace_H5_2010,StartPlace_R1_2010,StartPlace_R2_2010,StartPlace_R3_2010,StartPlace_R5_2010,StartPlace_S1_2010,StartPlace_M1_2010,StartPlace_M2_2010,StartPlace_M3_2010,StartPlace_Z1_2010
LA,887,Medway,164,18,108,0,x,0,x,10,10,0,x,8,x,0,x,x,0,x,0,0,0,0
LA,888,Lancashire,438,26,290,0,x,0,x,28,x,0,8,71,0,x,x,x,x,x,0,0,0,0
LA,889,Blackburn with Darwen,141,22,78,0,0,0,0,21,x,0,x,14,0,0,0,0,0,x,0,0,0,0
LA,890,Blackpool,169,13,129,0,0,0,0,9,0,0,0,15,0,x,0,0,x,0,0,0,0,0
LA,891,Nottinghamshire,299,13,221,0,x,0,0,12,13,0,x,17,x,10,0,x,0,x,0,0,0,0
LA,892,Nottingham,245,14,177,0,0,0,x,6,13,0,0,33,0,0,0,0,x,0,0,0,0,0
LA,893,Shropshire,132,11,81,0,0,x,x,8,x,x,0,23,0,0,0,0,0,x,0,0,0,0
LA,894,Telford and Wrekin,114,15,73,0,0,0,x,x,x,0,x,16,0,x,0,0,0,0,0,0,x,0
LA,908,Cornwall,218,10,157,0,0,0,x,7,x,0,0,27,0,0,x,x,x,x,0,0,0,6
LA,909,Cumbria,227,64,132,0,0,0,x,16,0,0,x,10,0,0,0,0,0,x,0,0,0,0
LA,916,Gloucestershire,190,21,150,0,0,0,0,8,x,0,x,0,0,x,0,x,0,0,0,0,0,x
LA,919,Hertfordshire,549,77,288,0,0,0,x,x,89,x,x,35,25,x,x,6,0,x,0,x,x,x
LA,921,Isle of Wight,53,9,34,0,0,0,0,x,x,0,0,x,0,0,0,0,0,x,0,0,0,0
LA,925,Lincolnshire,206,26,159,0,x,0,x,0,x,0,x,8,x,0,0,x,0,x,0,0,0,x
LA,926,Norfolk,370,x,296,0,0,x,0,x,9,0,x,44,x,0,0,0,x,6,0,0,0,0
LA,928,Northamptonshire,332,21,215,0,x,0,0,17,25,0,x,25,15,0,0,0,0,x,0,0,x,x
LA,929,Northumberland,102,15,73,0,0,0,x,x,0,0,0,7,0,0,x,0,0,0,0,0,0,0
LA,931,Oxfordshire,246,27,136,0,x,0,x,17,36,0,x,25,0,0,0,x,0,0,0,0,0,0
LA,933,Somerset,253,8,195,0,0,0,x,7,x,0,0,30,x,x,0,x,0,x,0,0,0,0
LA,935,Suffolk,312,16,231,0,0,0,0,17,25,0,x,18,x,0,0,0,0,0,0,0,0,x
LA,936,Surrey,287,39,158,0,0,0,x,21,24,0,0,30,x,0,x,x,0,0,0,x,6,0
LA,937,Warwickshire,258,16,205,0,0,0,x,21,x,0,x,x,0,x,x,x,0,x,0,0,x,x
LA,938,West Sussex,332,28,208,0,x,0,x,21,11,0,x,28,21,0,0,x,x,x,0,0,0,0
LA,822,Bedford Borough,82,7,56,0,0,x,0,x,11,0,0,6,0,0,0,0,0,0,0,0,0,0
LA,823,Central Bedfordshire,97,x,50,0,0,0,0,x,23,0,0,11,x,x,x,0,x,x,0,0,0,0
LA,895,Cheshire East ,209,28,128,0,0,0,0,21,x,0,x,8,8,x,0,x,0,7,0,0,0,0
LA,896,Cheshire West and Chester,130,17,98,0,0,0,0,6,x,0,x,x,x,0,0,0,0,0,0,0,0,0
