geog_l,geog_c,geog_n,MarTotal_2010,Mid2009Pop0-17,MarPlace_Q1_2010,MarPlace_Q2_2010,MarPlace_A3_2010,MarPlace_A4_2010,MarPlace_A5_2010,MarPlace_A6_2010,MarPlace_P1_2010,MarPlace_P2_2010,MarPlace_P3_2010,MarPlace_K1_2010,MarPlace_K2_2010,MarPlace_H5_2010,MarPlace_R1_2010,MarPlace_R2_2010,MarPlace_R3_2010,MarPlace_R5_2010,MarPlace_S1_2010,MarPlace_M1_2010,MarPlace_M2_2010,MarPlace_M3_2010,MarPlace_Z1_2010
LA,816,York,223,34900,x,x,x,10,0,0,x,0,0,0,17,x,0,22,154,0,0,x,x,9,0
LA,821,Luton,339,48500,0,x,0,7,x,0,13,0,0,x,31,16,0,33,228,x,0,x,0,x,x
LA,825,Buckinghamshire,346,114700,0,0,0,8,x,x,44,0,0,0,21,12,0,53,185,x,x,0,0,13,x
LA,826,Milton Keynes,260,57400,0,0,0,8,x,0,18,0,x,0,22,9,0,13,183,0,x,0,x,x,0
LA,830,Derbyshire,632,157200,0,0,x,25,8,x,57,0,0,0,18,26,0,44,429,14,0,0,x,7,0
LA,831,Derby,420,53200,0,0,6,25,0,x,49,0,0,0,23,x,0,42,265,x,0,0,x,x,0
LA,835,Dorset,273,80000,0,0,x,x,x,x,17,0,0,0,26,9,0,14,185,x,0,0,0,11,0
LA,836,Poole,119,28200,0,0,0,x,x,x,x,0,0,0,x,x,0,8,95,0,0,0,0,x,0
LA,837,Bournemouth,203,29200,0,0,x,x,x,x,13,0,0,0,x,15,0,24,125,x,x,x,x,9,0
LA,840,Durham,497,101200,0,x,x,23,0,0,37,0,0,0,32,x,0,31,356,x,0,0,0,9,x
LA,841,Darlington,143,21900,0,x,0,x,0,0,9,0,0,0,10,x,0,11,100,0,0,0,x,x,0
LA,845,East Sussex,522,103800,0,x,x,14,0,x,35,0,0,0,19,x,0,61,371,0,x,0,x,10,0
LA,846,Brighton and Hove,463,46700,0,x,x,10,x,x,40,0,0,0,15,15,0,56,313,0,x,0,x,x,x
LA,850,Hampshire,1104,275300,0,7,0,25,15,x,69,0,x,x,103,8,0,198,637,0,x,x,6,25,0
LA,851,Portsmouth,295,38400,0,0,x,x,15,0,22,0,0,x,15,x,0,38,189,x,x,0,x,0,0
LA,852,Southampton,374,43400,0,0,0,15,x,x,21,x,0,0,27,9,0,46,235,0,x,x,x,8,0
LA,855,Leicestershire,330,132300,0,x,x,x,0,x,39,0,0,0,23,14,0,34,206,0,x,0,x,x,0
LA,856,Leicester,488,70000,0,x,0,20,0,x,42,0,x,0,25,9,0,95,279,x,0,0,0,x,x
LA,857,Rutland,30,9200,0,0,0,0,0,0,0,0,0,0,x,x,0,0,24,0,0,0,0,x,0
LA,860,Staffordshire,740,169300,x,0,x,15,x,x,71,0,0,0,44,29,0,80,479,0,x,0,0,10,0
LA,861,Stoke-on-Trent,403,51600,0,0,x,14,0,0,44,0,0,0,28,10,0,69,223,0,x,0,0,8,x
LA,865,Wiltshire,349,101800,x,0,0,10,0,x,30,0,0,0,21,6,0,37,226,0,x,x,0,15,0
LA,866,Swindon,246,43800,0,x,0,x,0,x,x,0,0,0,17,11,0,30,165,7,0,x,0,7,0
LA,867,Bracknell Forest,88,26900,0,0,0,0,0,0,18,0,0,0,7,11,0,6,41,0,x,0,0,x,0
LA,868,Windsor and Maidenhead,107,33400,0,0,x,x,x,0,x,0,0,0,6,0,0,22,56,x,0,0,x,13,0
LA,869,West Berkshire,125,36600,0,0,0,x,x,x,x,0,0,0,x,17,0,12,76,x,0,0,0,x,0
LA,870,Reading,203,30300,0,x,x,6,0,x,x,0,0,0,13,9,0,21,137,x,x,x,0,x,x
LA,871,Slough,175,30800,0,0,0,x,21,0,8,0,0,x,x,x,0,14,118,x,x,0,0,x,0
LA,872,Wokingham,78,36000,0,0,0,x,0,0,8,0,0,0,x,x,0,16,37,0,0,0,0,6,0
LA,873,Cambridgeshire,481,125800,0,x,x,x,x,0,40,0,0,0,14,13,x,32,321,24,x,x,0,19,x
LA,874,Peterborough,298,39900,0,0,8,16,x,0,x,0,0,0,12,x,0,30,196,13,0,x,0,7,0
LA,876,Halton,147,27300,0,0,0,9,0,0,15,0,0,0,x,9,0,29,78,0,x,0,x,0,0
LA,877,Warrington,267,43100,0,0,x,8,x,0,18,0,0,0,26,x,0,65,138,0,x,0,0,x,x
LA,878,Devon,620,143900,0,x,x,9,91,x,35,0,0,0,25,36,0,41,340,14,x,x,0,18,0
LA,879,Plymouth,437,49700,0,x,0,28,21,0,10,0,0,x,9,36,0,23,280,x,x,6,x,7,x
LA,880,Torbay,180,25500,0,x,x,x,0,x,11,0,0,0,x,x,0,12,139,0,0,0,0,x,0
LA,881,Essex,1438,298000,0,x,x,30,0,x,175,0,0,x,67,59,0,214,856,x,x,x,0,22,x
LA,882,Southend-on-Sea,267,35300,0,x,x,8,0,x,13,0,0,0,x,x,0,22,193,x,x,0,x,x,0
LA,883,Thurrock,229,36900,0,0,0,x,x,x,x,0,0,0,9,29,0,41,132,x,x,x,0,6,0
LA,884,Herefordshire,162,35500,x,0,0,x,x,x,12,0,0,0,x,x,0,19,114,x,0,0,0,x,0
LA,885,Worcestershire,583,115800,0,0,0,13,11,0,54,0,0,7,39,23,0,77,351,0,x,0,x,x,0
LA,886,Kent,1454,311400,x,x,x,47,33,x,38,0,0,x,48,98,0,72,1072,12,x,7,x,x,10
LA,887,Medway,352,58700,0,0,x,9,x,0,13,0,0,x,25,26,0,30,237,0,x,x,x,x,0
LA,888,Lancashire,1284,246900,0,x,x,40,0,x,142,0,0,0,114,25,x,128,790,7,x,x,x,16,0
LA,889,Blackburn with Darwen,361,38400,0,0,x,22,0,x,23,0,0,0,58,8,0,64,177,0,0,0,x,x,0
LA,890,Blackpool,374,29300,0,0,0,10,0,0,42,0,0,0,x,x,0,34,258,x,0,0,x,x,0
LA,891,Nottinghamshire,580,159300,0,x,0,x,x,x,32,0,0,0,18,13,0,34,423,22,x,x,0,7,0
LA,892,Nottingham,518,55900,0,x,x,23,0,x,59,0,0,x,14,24,0,26,361,0,x,0,x,x,0
LA,893,Shropshire,221,60100,0,0,x,6,0,x,38,0,0,0,9,6,0,18,132,0,0,0,0,9,0
LA,894,Telford and Wrekin,270,37900,0,x,0,15,0,x,30,0,0,0,x,x,0,41,166,x,x,0,0,x,0
LA,908,Cornwall,449,103800,0,0,0,11,0,0,28,0,x,0,25,12,0,29,323,x,x,x,0,9,x
LA,909,Cumbria,511,97900,0,0,x,21,x,x,29,0,0,0,24,x,0,93,320,0,x,0,0,8,0
LA,916,Gloucestershire,492,123600,0,0,0,8,0,x,14,0,0,0,29,6,0,67,341,12,0,x,0,x,10
LA,919,Hertfordshire,1141,247400,x,0,0,25,34,x,86,0,x,x,27,106,x,137,663,x,x,6,x,35,x
LA,921,Isle of Wight,179,26400,0,0,x,x,0,0,13,0,0,0,21,x,0,33,97,x,0,0,0,x,0
LA,925,Lincolnshire,522,139200,0,x,7,20,x,x,33,0,0,0,x,9,0,44,379,0,0,x,x,x,x
LA,926,Norfolk,884,162900,0,x,33,x,x,x,106,0,0,0,18,16,0,47,630,0,0,0,x,26,x
LA,928,Northamptonshire,701,154000,0,x,x,25,29,x,54,0,x,x,34,52,0,39,431,0,x,0,x,16,x
LA,929,Northumberland,286,60800,0,0,0,x,0,x,25,0,0,0,14,x,0,56,175,x,x,0,0,x,0
LA,931,Oxfordshire,449,137500,x,x,x,11,x,x,41,0,0,0,30,30,0,69,257,0,0,x,0,x,0
LA,933,Somerset,432,110500,0,0,0,11,x,x,47,0,0,0,23,15,0,21,300,x,0,x,0,7,0
LA,935,Suffolk,776,150200,0,x,8,43,x,x,64,0,0,0,64,30,0,49,497,x,x,0,x,10,0
LA,936,Surrey,768,243000,0,x,x,28,0,0,66,0,x,x,44,61,0,75,438,9,x,x,x,32,0
LA,937,Warwickshire,574,111200,0,x,x,14,0,x,11,0,0,0,41,x,0,57,429,x,x,x,0,7,x
LA,938,West Sussex,784,164500,0,x,x,35,22,x,106,0,0,0,46,19,0,71,464,0,x,x,0,8,0
LA,822,Bedford Borough,163,35200,0,0,x,x,0,x,15,0,0,0,12,13,0,15,96,0,0,0,0,x,0
LA,823,Central Bedfordshire,163,56200,0,0,0,x,x,x,12,0,0,0,x,19,0,10,108,x,x,0,0,x,0
LA,895,Cheshire East ,430,75200,x,0,x,12,8,0,18,0,0,0,57,12,0,73,235,0,x,x,0,9,0
LA,896,Cheshire West and Chester,320,67900,0,x,0,12,x,x,26,0,0,0,33,x,0,53,181,0,x,0,0,8,0
