LA Number,,Number of looked after children attending primary schools,Number of possible sessions - primary schools,Number of sessions of authorised absence - primary schools,Number of sessions of unauthorised absence - primary schools,Number of sessions of overall absence - primary schools,Number of persistent absentees - primary schools,Number of looked after children attending secondary schools,Number of possible sessions - secondary schools,Number of sessions of authorised absence - secondary schools,Number of sessions of unauthorised absence - secondary schools,Number of sessions of overall absence - secondary schools,Number of persistent absentees - secondary schools,Number of looked after children attending special schools,Number of possible sessions - special schools,Number of sessions of authorised absence - special schools,Number of sessions of unauthorised absence - special schools,Number of sessions of overall absence - special schools,Number of persistent absentees - special schools
850,Hampshire,147,43543,1711,261,1972,x,234,68233,4240,1454,5694,22,91,24353,1933,1225,3158,16
851,Portsmouth,45,13698,550,35,585,x,62,17970,855,546,1401,7,21,6061,393,266,659,x
852,Southampton,34,9850,358,40,398,0,64,18997,1223,987,2210,8,13,3154,174,84,258,x
855,Leicestershire,30,9367,333,x,334,0,67,20429,1054,407,1461,x,18,5630,204,8,212,0
856,Leicester City,69,20761,759,66,825,0,78,23648,1190,752,1942,8,29,8637,405,17,422,x
857,Rutland,x,614,38,0,38,0,x,865,38,0,38,0,0,0,0,0,0,0
860,Staffordshire,99,28887,959,31,990,0,148,42724,2348,707,3055,11,49,12826,441,357,798,x
861,Stoke,60,18205,464,44,508,0,101,30048,1477,1425,2902,10,21,5349,472,88,560,x
865,Wiltshire,55,15577,602,45,647,x,71,20107,1479,620,2099,9,17,2637,126,0,126,0
866,Swindon,33,9043,390,6,396,0,56,16038,829,224,1053,x,25,6497,317,24,341,0
867,Bracknell Forest,x,1206,26,x,28,0,16,4725,297,70,367,x,11,2308,80,14,94,0
868,Royal Borough of Windsor & Maidenhead,x,1208,10,0,10,0,14,3996,258,116,374,x,x,0,0,0,0,0
869,West Berkshire,11,3131,75,23,98,0,16,4706,213,53,266,x,7,2083,105,x,109,0
870,Reading,27,7654,195,x,199,0,40,11680,414,117,531,x,10,2538,48,x,49,0
871,Slough,x,1426,34,11,45,0,22,6172,361,97,458,x,x,602,53,6,59,0
872,Wokingham,x,1291,36,x,37,0,11,3160,207,218,425,x,6,754,78,22,100,x
873,Cambridgeshire,57,16577,557,35,592,x,88,24527,1247,183,1430,0,22,5644,407,12,419,x
874,City of Peterborough,42,12004,286,7,293,0,71,20569,916,281,1197,x,29,6687,596,99,695,x
875,Cheshire,118,34649,1275,223,1498,x,131,39255,2252,543,2795,7,46,10512,704,277,981,x
876,Halton,27,8090,186,7,193,0,34,10059,235,299,534,x,13,3977,113,0,113,0
877,Warrington,51,15454,396,57,453,0,48,14713,674,654,1328,x,10,2918,97,23,120,0
878,Devon,69,20314,754,26,780,x,128,37252,1964,876,2840,8,49,10936,1461,112,1573,x
879,City of Plymouth,63,18169,602,28,630,0,89,25958,1307,287,1594,6,29,8148,412,29,441,x
880,Torbay,36,10712,339,37,376,0,32,9229,236,94,330,0,14,4308,191,11,202,0
881,Essex,230,67485,2372,244,2616,x,344,97800,4853,1204,6057,19,66,16437,999,141,1140,x
882,Southend,45,13287,383,56,439,0,74,21679,1105,552,1657,9,22,5495,124,x,127,0
883,Thurrock,24,7168,164,32,196,0,40,11281,507,107,614,x,13,3395,146,0,146,0
884,Herefordshire,18,5285,168,x,172,0,41,11787,564,127,691,x,12,3181,229,117,346,x
885,Worcestershire,76,22227,750,80,830,x,119,34636,1466,375,1841,x,29,8337,665,261,926,x
886,Kent,182,54506,2027,58,2085,x,263,74420,4268,2019,6287,23,97,25924,1839,357,2196,6
887,Medway,41,11461,455,43,498,0,68,19541,721,366,1087,x,19,5686,488,13,501,x
888,Lancashire,190,56253,2177,174,2351,x,257,75677,3818,733,4551,11,96,25823,1412,200,1612,6
889,Blackburn and Darwin,70,21090,749,78,827,x,69,20165,1087,357,1444,x,13,3934,194,45,239,0
890,Blackpool,46,14011,371,8,379,0,58,16956,511,297,808,x,9,2534,79,x,81,0
891,Nottinghamshire,66,19102,484,18,502,0,108,31958,1512,466,1978,x,19,5773,212,8,220,0
892,City of Nottingham,60,17664,454,33,487,0,93,26672,1360,654,2014,7,15,4261,288,366,654,x
893,Shropshire,16,4432,174,x,175,x,40,11628,450,155,605,x,11,2953,115,63,178,0
894,Telford and Wrekin,41,12173,374,13,387,0,36,10339,681,222,903,x,18,5265,214,17,231,0
908,Cornwall,52,14899,445,7,452,0,123,35863,1434,792,2226,6,16,3490,148,x,149,0
909,Cumbria,80,23614,745,x,747,x,121,36180,1539,864,2403,8,17,4952,185,x,187,0
916,Gloucestershire,42,12149,565,22,587,x,112,33186,1912,578,2490,12,26,6376,482,198,680,x
919,Hertfordshire,133,38747,1322,50,1372,x,212,60775,3344,688,4032,13,84,21363,2016,497,2513,10
921,Isle of Wight,18,5243,180,10,190,0,68,19382,1168,820,1988,9,9,2750,151,8,159,0
925,Lincolnshire,73,20865,760,41,801,x,120,34858,1469,216,1685,x,56,14465,1490,178,1668,7
926,Norfolk,114,34497,1461,41,1502,x,244,71364,3537,1306,4843,14,43,10462,541,29,570,x
928,Northamptonshire,71,20556,677,19,696,x,112,31980,1428,1003,2431,10,44,12120,789,136,925,6
929,Northumberland,40,11643,411,x,413,0,72,20325,1022,400,1422,7,21,5521,343,174,517,x
931,Oxfordshire,45,13034,453,26,479,0,99,27974,1705,949,2654,13,36,9268,473,227,700,x
933,Somerset,39,11075,646,55,701,x,90,25672,1575,679,2254,9,19,5725,435,24,459,x
935,Suffolk,97,28451,994,71,1065,x,190,54413,2475,1106,3581,9,35,9583,621,36,657,x
936,Surrey,89,25860,1014,77,1091,x,165,48437,2397,1645,4042,18,58,14519,1434,208,1642,6
937,Warwickshire,81,23467,861,25,886,x,122,34904,2113,316,2429,8,33,9566,526,46,572,x
938,West Sussex,105,30990,1149,17,1166,x,147,40651,2147,1400,3547,14,58,15481,700,51,751,x
