New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2012,CLA_2012,CLA_stp2012,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_Miss,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_Moth,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_1Pla,CLA_2PLa,CLA_3Pla,CLA_P2yrs,CLAA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E08000012,LA,341,Liverpool,899,1182,51,467,432,42,170,227,320,140,729,65,17,51,9,28,676,36,108,7,54,11,x,0,x,300,367,0,45,185,0,x,9,0,486,14,x,280,6,108,x,685,147,65,265,515,346,138,x
E08000013,LA,342,St. Helens,335,424,58,186,149,18,85,77,116,39,312,19,0,x,x,0,246,13,38,9,29,0,0,0,0,63,190,x,43,37,0,0,0,0,207,x,0,82,x,38,0,252,59,24,98,198,124,104,x
E08000014,LA,343,Sefton,398,506,89,222,176,23,72,92,154,57,386,11,0,x,0,0,278,11,39,7,52,x,7,0,0,94,211,0,38,55,0,0,0,0,203,0,x,126,28,39,0,281,68,49,142,238,149,171,22
E08000015,LA,344,Wirral,673,864,76,364,309,30,125,169,246,103,637,16,x,6,x,12,507,15,82,17,37,x,10,0,x,166,413,0,19,75,0,0,x,0,496,x,x,83,x,82,x,486,116,71,185,578,76,169,93
E08000001,LA,350,Bolton,517,684,50,274,243,39,137,115,173,53,467,19,x,18,x,6,390,31,57,x,27,x,8,0,0,124,255,0,72,66,0,0,0,0,387,26,0,44,x,57,0,348,141,28,130,394,92,162,70
E08000002,LA,351,Bury,326,440,41,173,153,24,76,71,115,40,282,14,18,11,x,0,222,21,53,x,12,10,x,0,0,109,152,0,30,35,0,0,x,0,160,42,x,67,x,53,0,212,74,40,61,192,113,136,23
E08000003,LA,352,Manchester,1312,1797,31,712,599,58,222,267,503,261,849,216,54,138,26,28,962,30,96,35,23,149,12,x,x,308,666,x,62,269,x,0,43,0,644,0,11,548,7,96,x,913,261,137,309,610,666,185,x
E08000004,LA,353,Oldham,323,461,11,161,162,24,66,69,114,50,247,44,25,7,0,0,219,18,38,x,44,0,x,0,0,82,137,x,46,56,x,0,x,0,226,0,0,59,0,38,0,206,90,27,64,197,108,147,39
E08000005,LA,354,Rochdale,451,588,70,246,205,17,119,115,140,60,369,22,27,x,26,x,320,27,50,19,28,x,x,0,0,127,220,x,65,35,x,x,x,0,228,21,x,126,22,50,0,279,124,48,115,284,140,203,63
E08000006,LA,355,Salford,555,750,48,307,248,37,123,106,196,93,480,35,x,17,17,x,383,23,47,9,80,x,7,0,x,140,279,x,55,80,0,0,x,0,352,32,x,117,x,47,x,339,144,72,88,300,230,104,x
E08000007,LA,356,Stockport,298,412,0,173,125,19,60,48,110,61,268,20,x,x,x,x,210,23,19,x,36,x,x,x,0,74,119,0,41,64,0,0,x,0,202,8,x,63,x,19,x,193,74,31,77,206,67,226,159
E08000008,LA,357,Tameside,390,522,50,225,165,21,88,70,161,50,351,16,16,x,x,x,279,19,37,11,37,x,0,x,0,106,181,0,43,60,0,0,0,0,280,10,x,56,x,37,x,241,102,47,92,266,103,158,55
E08000009,LA,358,Trafford,278,370,82,150,127,12,49,62,92,62,213,28,9,21,x,x,199,14,26,8,19,9,x,0,0,36,153,0,20,68,0,0,x,0,184,16,x,44,6,26,0,205,52,20,80,175,88,141,53
E08000010,LA,359,Wigan,479,615,27,267,212,29,115,105,167,63,456,9,x,7,6,0,333,25,55,0,64,x,0,0,0,121,206,x,66,81,0,0,0,0,313,26,0,76,9,55,0,346,98,35,142,356,98,186,88
E08000016,LA,370,Barnsley,227,344,54,127,100,19,54,32,70,53,209,9,x,x,x,x,169,11,10,8,24,0,x,0,x,52,89,0,42,43,0,x,x,0,144,x,0,59,8,10,x,151,59,17,47,154,61,117,57
E08000017,LA,371,Doncaster,510,696,50,293,217,35,95,104,170,106,466,17,x,x,11,9,354,16,25,x,88,x,19,0,0,139,179,0,62,130,0,0,x,0,246,6,x,213,17,25,0,310,116,84,76,314,180,160,x
E08000018,LA,372,Rotherham,381,528,60,208,173,24,78,75,156,48,332,32,x,x,7,x,278,22,31,8,29,8,x,0,x,71,180,8,83,38,0,x,x,0,196,x,x,149,x,31,x,248,91,42,94,210,148,95,x
E08000019,LA,373,Sheffield,610,885,118,348,262,46,121,101,219,123,474,70,26,23,10,7,412,34,48,21,67,11,14,x,0,150,226,12,84,129,0,9,8,0,318,14,10,212,x,48,x,390,165,55,123,370,203,100,x
E08000032,LA,380,Bradford,896,1192,95,492,404,67,197,201,296,135,614,146,109,26,x,0,654,35,82,23,89,x,9,0,0,212,435,10,95,143,0,x,9,0,690,20,x,89,14,82,0,628,198,70,258,698,163,178,15
E08000033,LA,381,Calderdale,357,455,50,184,173,23,81,93,114,46,310,30,6,x,x,6,271,17,24,x,18,15,x,x,x,91,142,6,44,69,0,x,x,0,209,25,x,91,x,24,x,254,78,25,89,193,144,92,x
E08000034,LA,382,Kirklees,642,831,53,355,287,71,135,149,201,86,439,99,55,12,x,35,433,19,78,14,74,19,x,0,0,115,298,x,107,120,0,0,x,0,306,7,x,228,22,78,0,438,148,56,170,355,268,107,x
E08000035,LA,383,Leeds,1475,1873,158,814,661,128,327,330,462,228,1164,181,55,58,17,0,1068,64,132,54,134,18,x,0,0,304,777,22,199,164,x,7,36,0,887,15,7,385,49,132,0,981,330,163,361,1086,325,174,x
E08000036,LA,384,Wakefield,433,565,121,243,190,29,110,98,138,58,391,13,14,6,x,6,349,20,18,x,41,x,0,0,0,131,154,0,54,93,x,0,11,0,288,x,x,122,0,18,0,273,122,35,76,290,123,107,x
E08000020,LA,390,Gateshead,384,523,67,210,174,24,78,75,138,69,362,x,7,7,x,x,328,11,11,x,15,x,12,0,x,101,152,x,17,113,0,0,0,0,293,21,0,53,x,11,x,250,81,53,65,240,130,105,x
E08000021,LA,391,Newcastle upon Tyne,548,726,7,296,252,24,99,84,230,111,471,19,26,17,15,0,411,37,15,11,50,14,10,0,0,62,254,x,63,168,0,0,8,0,360,0,x,170,x,15,0,359,127,62,115,210,301,77,x
E08000022,LA,392,North Tyneside,299,411,85,174,125,16,67,73,110,33,287,x,0,x,x,0,225,24,17,x,21,6,x,0,0,48,84,x,43,121,0,0,0,0,246,x,0,29,x,17,0,187,86,26,47,197,78,125,47
E08000023,LA,393,South Tyneside,314,428,20,161,153,31,65,70,104,44,291,9,x,6,0,7,232,20,21,x,20,10,7,0,x,111,128,0,43,32,0,0,0,0,178,11,0,96,7,21,x,204,81,29,61,174,119,41,x
E08000024,LA,394,Sunderland,388,555,60,214,174,29,82,69,140,68,372,9,x,x,x,0,294,29,12,6,46,0,0,x,0,59,118,10,92,109,0,0,0,0,308,x,6,15,42,12,x,268,74,46,76,253,105,134,29
E06000022,LA,800,Bath and North East Somerset,164,246,30,101,63,9,20,26,63,46,141,18,x,x,0,x,140,7,x,6,x,x,x,x,0,16,65,0,8,75,0,0,0,0,110,x,0,43,x,x,x,125,24,15,32,78,78,52,x
E06000023,LA,801,"Bristol, City of",685,948,133,351,334,38,109,103,279,156,529,77,14,60,x,0,540,26,19,12,60,8,19,x,0,138,301,0,64,180,0,x,8,0,435,12,x,184,32,19,x,458,140,87,162,409,249,87,x
E06000024,LA,802,North Somerset,231,338,47,123,108,8,33,46,108,36,210,10,x,x,x,x,189,12,8,x,13,x,0,x,x,26,75,0,31,99,0,0,x,0,146,11,0,54,10,8,x,165,39,27,52,149,68,43,x
E06000025,LA,803,South Gloucestershire,212,308,51,121,91,9,47,38,71,47,192,10,x,7,x,0,170,7,7,10,x,7,8,0,0,51,57,0,16,88,0,0,x,0,137,x,0,65,0,7,0,144,47,21,38,139,66,157,91
E06000001,LA,805,Hartlepool,176,247,19,81,94,14,31,31,69,30,169,x,x,x,x,0,151,6,x,x,x,6,x,0,x,11,70,0,23,71,0,0,0,0,137,x,0,33,0,x,x,131,35,9,36,110,58,49,x
E06000002,LA,806,Middlesbrough,351,519,55,181,170,20,60,85,127,59,311,17,13,7,x,0,271,10,10,x,35,13,9,0,0,53,142,0,37,119,0,0,0,0,159,8,0,171,x,10,0,240,74,37,67,127,214,33,x
E06000003,LA,807,Redcar and Cleveland,172,231,21,98,74,16,28,39,65,24,165,x,x,x,x,0,143,6,x,0,8,x,8,0,0,23,72,x,37,38,0,0,0,0,87,10,x,54,14,x,0,114,50,8,18,97,69,42,x
E06000004,LA,808,Stockton-on-Tees,337,484,45,185,152,29,83,85,104,36,311,10,x,10,x,0,250,15,19,8,35,x,6,0,0,55,120,0,54,107,x,0,x,0,190,9,x,116,x,19,0,214,94,29,54,222,100,154,54
E06000010,LA,810,"Kingston Upon Hull, City of",616,809,123,331,285,34,166,144,215,57,572,26,x,x,10,x,474,23,54,14,50,x,0,0,0,144,276,7,104,82,x,0,x,0,509,20,x,32,0,54,0,407,135,74,133,389,204,65,x
E06000011,LA,811,East Riding of Yorkshire,315,449,x,164,151,22,76,54,114,49,302,7,x,x,0,0,255,x,17,0,30,x,6,0,0,94,107,0,39,75,0,0,x,0,196,x,x,96,x,17,0,208,83,24,54,242,68,277,209
E06000012,LA,812,North East Lincolnshire,154,203,x,88,66,12,48,25,43,26,152,x,0,0,x,0,117,12,x,0,23,x,0,0,0,35,62,0,30,27,0,0,0,0,139,6,x,6,x,x,0,114,28,10,34,118,24,48,24
E06000013,LA,813,North Lincolnshire,172,240,34,100,72,13,43,32,66,18,165,x,x,0,0,0,144,8,x,x,9,x,6,0,0,37,51,0,36,48,0,0,0,0,128,8,x,32,x,x,0,105,50,17,29,115,49,55,6
E10000023,LA,815,North Yorkshire,481,638,99,285,196,33,80,94,186,88,464,14,x,x,x,0,361,19,39,x,38,x,14,0,x,88,218,x,34,134,0,x,x,0,357,19,x,47,17,39,x,351,95,35,107,366,95,218,123
E06000014,LA,816,York,256,334,53,147,109,9,51,54,101,41,241,10,x,0,x,0,198,10,27,x,14,x,x,x,0,65,107,x,23,60,0,0,0,0,189,8,0,27,x,27,x,159,57,40,50,157,88,10,x
E06000032,LA,821,Luton,383,534,36,188,195,17,57,74,153,82,217,49,63,45,8,x,301,12,25,19,11,x,8,x,x,73,194,0,18,97,0,x,8,0,200,15,x,135,x,25,x,266,71,46,104,212,155,100,x
