New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2012,CLA_2012,CLA_stp2012,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_Miss,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_Moth,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_1Pla,CLA_2PLa,CLA_3Pla,CLA_P2yrs,CLAA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E09000008,LA,306,Croydon,746,1148,30,525,221,16,78,82,250,320,202,82,244,207,11,0,547,16,7,99,60,8,8,x,0,71,121,0,31,517,0,6,333,0,311,11,x,388,26,7,x,489,175,82,121,480,249,488,239
E09000009,LA,307,Ealing,409,606,29,219,190,24,68,78,146,93,131,77,77,120,x,0,298,9,6,22,53,6,14,x,0,99,132,0,40,137,0,x,21,0,172,0,x,193,34,6,x,262,101,46,81,152,246,121,x
E09000010,LA,308,Enfield,309,462,0,171,138,16,49,49,120,75,145,30,9,93,30,x,247,8,9,21,16,6,x,x,0,68,105,0,21,111,x,x,18,0,133,x,x,119,43,9,x,207,66,36,60,158,142,202,60
E09000014,LA,309,Haringey,573,857,19,334,239,21,106,119,206,121,208,55,19,254,36,x,453,10,7,0,91,6,x,x,0,146,242,0,34,149,0,x,30,0,198,x,x,347,15,7,x,407,107,59,120,150,412,118,x
E09000015,LA,310,Harrow,157,255,x,107,50,13,13,17,46,68,54,28,24,36,15,0,97,x,0,27,17,x,11,x,0,14,40,0,9,92,0,x,27,0,85,x,0,55,15,0,x,90,41,26,10,92,63,108,45
E09000016,LA,311,Havering,185,292,19,112,73,8,29,30,76,42,148,16,x,18,0,0,143,x,x,x,28,x,6,0,0,19,73,0,15,78,0,0,x,0,101,x,x,79,0,x,0,108,40,37,26,101,81,195,114
E09000017,LA,312,Hillingdon,373,594,22,218,155,13,56,40,141,123,183,30,77,65,16,x,268,10,x,38,39,x,7,x,0,54,95,0,23,200,0,x,87,0,183,x,x,172,x,x,x,269,84,20,69,186,173,138,x
E09000018,LA,313,Hounslow,322,486,x,182,140,25,31,40,135,91,183,38,50,43,8,0,228,7,12,x,55,9,8,x,0,41,130,0,25,123,x,x,29,0,136,x,x,163,6,12,x,217,60,45,76,150,163,115,x
E09000021,LA,314,Kingston upon Thames,127,165,25,72,55,14,16,26,32,39,82,18,11,10,6,0,93,x,x,11,10,x,x,0,0,16,44,0,18,49,0,0,12,0,70,18,0,28,6,x,0,91,23,13,22,47,77,19,x
E09000024,LA,315,Merton,130,215,27,75,55,7,15,18,54,35,64,20,9,27,10,0,82,x,x,0,25,x,x,x,8,13,36,0,11,67,0,x,8,0,46,7,x,57,x,x,10,71,40,19,23,42,75,130,55
E09000025,LA,316,Newham,445,661,0,247,198,31,60,69,164,121,140,71,85,136,10,x,333,16,9,33,36,x,11,x,0,72,206,0,20,147,0,0,12,0,125,0,x,303,x,9,x,294,95,56,98,125,302,138,x
E09000026,LA,317,Redbridge,217,319,27,114,103,7,43,44,69,54,84,41,34,50,8,0,163,x,6,12,25,x,6,x,0,32,58,0,18,109,0,0,15,0,100,x,x,100,x,6,x,147,46,24,46,102,111,234,123
E09000027,LA,318,Richmond upon Thames,77,130,22,41,36,x,x,16,27,24,48,16,6,x,x,x,59,x,x,0,12,0,x,0,0,14,24,0,8,30,x,0,x,0,34,x,0,37,x,x,0,56,13,8,12,24,51,22,x
