New_geog_code,geog_l,geog_c,geog_n,All_aged19,LA_nit,Act_HE,Act_OE,Act_TE,Act_Neet_ill,Act_NEET_oth,Acc_P,Acc_FFC,Acc_CH,Acc_SITA,Acc_SL,Acc_OL,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_C,Acc_OTH,Acc_SUIT
E06000049,LA,895,Cheshire East,35,0,x,8,7,x,15,8,x,x,0,x,0,0,13,0,x,0,6,33
E06000050,LA,896,Cheshire West and Chester,21,0,0,x,13,x,x,6,x,x,x,0,0,0,x,0,x,0,x,18
E06000052,LA,908,Cornwall,44,0,x,21,11,0,9,8,0,6,x,x,0,x,17,x,x,0,6,41
E10000006,LA,909,Cumbria,37,x,x,13,6,x,12,6,7,x,x,x,x,0,14,0,0,x,x,31
E10000013,LA,916,Gloucestershire,67,x,x,27,14,x,18,x,x,x,11,x,x,x,28,0,0,x,x,63
E10000015,LA,919,Hertfordshire,106,x,x,44,23,7,29,10,8,8,6,7,8,6,35,0,x,6,10,95
E06000046,LA,921,Isle of Wight,18,0,0,7,6,x,x,x,x,x,0,8,0,0,x,0,0,x,x,18
E10000019,LA,925,Lincolnshire,54,x,x,12,13,x,21,17,x,x,8,x,x,x,8,0,0,x,x,46
E10000020,LA,926,Norfolk,88,x,x,35,13,x,33,6,0,0,x,12,6,0,35,0,x,x,18,85
E10000021,LA,928,Northamptonshire,96,12,x,30,25,0,24,14,8,x,x,7,x,x,38,x,0,x,x,76
E06000048,LA,929,Northumberland,17,0,x,x,x,0,10,x,0,0,x,0,0,0,6,x,0,x,x,16
E10000025,LA,931,Oxfordshire,61,x,x,18,26,0,11,10,x,x,x,x,x,x,22,x,0,x,x,53
E10000027,LA,933,Somerset,49,x,x,10,10,x,22,x,0,x,x,x,0,x,26,x,0,x,x,40
E10000029,LA,935,Suffolk,52,x,6,11,16,x,14,6,0,7,x,x,x,x,17,0,x,0,9,40
E10000030,LA,936,Surrey,132,11,x,57,16,9,34,15,17,12,24,x,x,0,41,0,x,x,x,113
E10000031,LA,937,Warwickshire,64,x,6,7,26,x,19,x,6,x,0,x,0,x,36,0,0,x,0,59
E10000032,LA,938,West Sussex,87,x,x,25,14,x,37,12,0,x,9,16,0,x,21,0,x,6,12,77
