New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_cease16,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_ceaAdop,CLA_ceaAdop2,CLA-ceaDied,CLA_ceataken,CLA_ceaPar,CLA_ceaROG,CLA_ceaSpecG,CLA_ceaSpecG2,CLA_ceaIndLiv,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_cea_OthRea
E06000034,LA,883,Thurrock,111,38,50,61,9,28,16,20,38,x,x,0,x,47,0,10,x,x,15,6,x,14
E06000019,LA,884,Herefordshire,109,37,61,48,10,25,12,25,37,x,x,0,x,44,x,8,x,21,6,x,x,7
E10000034,LA,885,Worcestershire,202,92,132,70,7,37,29,37,92,21,x,0,0,79,x,x,x,15,x,6,x,59
E10000016,LA,886,Kent,828,342,466,362,29,168,105,184,342,56,14,x,x,345,29,15,23,113,136,7,x,79
E06000035,LA,887,Medway,177,81,93,84,x,36,28,27,81,13,x,0,0,61,x,x,x,x,0,x,0,89
E10000017,LA,888,Lancashire,469,156,245,224,19,147,66,81,156,23,46,x,x,139,45,41,16,33,22,10,6,84
E06000008,LA,889,Blackburn with Darwen,147,49,72,75,x,47,20,26,49,8,13,x,0,44,7,16,x,9,0,0,x,43
E06000009,LA,890,Blackpool,117,36,63,54,x,42,10,25,36,x,12,x,0,46,8,9,x,10,10,x,x,10
E10000024,LA,891,Nottinghamshire,285,89,150,135,19,82,40,55,89,8,35,x,0,105,30,8,13,26,21,18,x,18
E06000018,LA,892,Nottingham,214,72,107,107,14,56,26,46,72,19,10,0,x,81,0,8,x,30,16,x,x,35
E06000051,LA,893,Shropshire,107,37,66,41,6,21,12,31,37,14,0,0,0,58,x,0,0,28,0,0,0,x
E06000020,LA,894,Telford and Wrekin,124,25,63,61,7,46,16,30,25,6,20,0,0,63,x,6,0,17,x,x,x,6
E06000049,LA,895,Cheshire East,135,37,79,56,8,49,19,22,37,12,11,x,0,32,6,x,x,x,x,x,x,54
E06000050,LA,896,Cheshire West and Chester,146,48,76,70,7,38,28,25,48,10,9,0,0,42,x,15,12,19,x,x,x,26
E06000052,LA,908,Cornwall,247,65,119,128,21,59,49,53,65,x,41,0,x,89,24,8,9,28,x,x,0,40
E10000006,LA,909,Cumbria,152,43,70,82,7,61,18,23,43,13,18,0,x,29,19,10,11,11,0,x,x,34
E10000013,LA,916,Gloucestershire,200,98,106,94,6,50,21,25,98,13,x,0,0,55,11,8,17,6,53,x,x,32
E10000015,LA,919,Hertfordshire,482,223,280,202,32,111,46,70,223,28,10,x,x,154,45,16,26,71,96,8,7,15
E06000046,LA,921,Isle of Wight,96,35,49,47,x,25,13,19,35,11,x,0,0,30,7,14,0,x,x,0,x,22
E10000019,LA,925,Lincolnshire,229,80,127,102,25,60,21,43,80,7,37,x,x,76,8,14,x,40,x,x,x,31
E10000020,LA,926,Norfolk,406,164,201,205,36,95,41,70,164,9,54,0,0,138,18,x,22,52,x,x,7,96
E10000021,LA,928,Northamptonshire,335,159,203,132,12,59,39,66,159,22,10,x,x,123,18,13,x,38,8,9,9,78
E06000048,LA,929,Northumberland,106,34,54,52,6,27,19,20,34,7,12,0,0,54,x,6,x,11,7,x,x,x
E10000025,LA,931,Oxfordshire,233,93,134,99,9,58,30,43,93,20,12,0,x,80,10,10,x,22,12,7,x,50
E10000027,LA,933,Somerset,301,98,157,144,16,75,45,67,98,18,20,0,0,126,27,x,x,28,x,14,x,55
E10000029,LA,935,Suffolk,284,97,155,129,14,97,32,44,97,41,21,0,x,65,9,14,8,50,17,x,x,52
E10000030,LA,936,Surrey,304,129,175,129,19,70,30,56,129,7,30,0,x,95,14,13,10,56,13,19,x,42
E10000031,LA,937,Warwickshire,294,110,179,115,22,68,36,58,110,17,14,0,7,125,11,15,x,40,37,x,x,18
E10000032,LA,938,West Sussex,368,126,224,144,20,91,67,64,126,15,36,x,x,153,x,37,x,45,9,x,6,55
