New_geog_code,geog_l,geog_c,geog_n,CLA_started2012,CLA_taken2012,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E06000042,LA,826,Milton Keynes,127,43,68,59,24,23,21,38,21,34,9,22,25,20,x,x,10,21,x,0,81,18,x,0,x,0,0
E10000007,LA,830,Derbyshire,279,105,136,143,70,58,45,72,34,152,x,24,24,55,x,0,15,75,7,0,171,10,13,0,x,0,0
E06000015,LA,831,Derby,192,76,115,77,56,38,36,39,23,122,18,17,6,7,10,x,9,45,x,x,106,18,12,0,9,0,0
E10000009,LA,835,Dorset,137,23,80,57,20,22,22,53,20,58,10,x,25,29,8,0,x,12,0,x,111,9,x,0,x,0,0
E06000029,LA,836,Poole,77,24,41,36,14,14,13,30,6,43,0,6,11,14,x,0,0,x,0,0,52,19,x,0,x,0,0
E06000028,LA,837,Bournemouth,141,66,67,74,38,33,23,36,11,48,x,9,26,48,x,0,x,35,x,0,73,20,6,0,x,0,0
E06000047,LA,840,Durham,363,86,198,165,84,98,56,106,19,280,x,x,28,29,x,0,14,38,10,x,273,36,x,0,x,0,0
E06000005,LA,841,Darlington,128,13,70,58,29,28,33,31,7,88,x,x,x,33,x,0,x,x,x,0,115,8,x,0,0,0,0
E10000011,LA,845,East Sussex,212,124,110,102,60,59,42,42,9,99,x,12,26,61,x,0,x,99,x,x,87,10,13,0,0,0,0
E06000043,LA,846,Brighton and Hove,216,96,116,100,39,51,43,60,23,147,8,x,23,20,x,0,11,63,0,0,119,32,x,0,x,0,0
E10000014,LA,850,Hampshire,471,135,229,242,64,103,81,169,54,145,24,35,72,154,18,9,14,84,0,0,315,44,7,0,18,0,x
E06000044,LA,851,Portsmouth,112,30,64,48,23,21,20,31,17,51,x,8,15,19,9,0,8,17,x,0,75,11,x,0,7,0,0
E06000045,LA,852,Southampton,191,65,102,89,44,58,41,40,8,131,x,7,18,18,x,0,14,37,0,0,121,23,x,0,x,0,0
E10000018,LA,855,Leicestershire,189,58,106,83,43,37,24,53,32,93,9,13,25,34,x,0,13,42,0,0,131,x,11,0,0,0,0
E06000016,LA,856,Leicester,213,70,105,108,51,34,26,68,34,97,x,x,37,61,x,0,8,55,0,x,136,10,x,0,x,0,0
E06000017,LA,857,Rutland,13,x,6,7,x,x,x,x,x,8,0,0,x,0,0,0,0,x,0,0,11,0,0,0,0,0,0
E10000028,LA,860,Staffordshire,338,108,164,174,58,64,66,110,40,140,x,x,57,114,x,x,16,88,7,0,229,11,x,0,x,0,0
