New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_cea17,CLA_cea18,CLA_ceaAdop1,CLA_ceaAdop2,CLA_ceaDied,CLA_ceataken,CLA_ceaParPlan,CLA_ceaParNPlan,CLA_ceaNoPar,CLA_ceaROG,CLA_ceaSpecG1,CLA_ceaSpecG2,CLA_ceaIndLiv1,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_ceaRemEnd,CLA_ceaAgeAssmt,CLA_ceaAbroad,CLA_cea_OthRea
E06000035,LA,887,Medway,210,106,104,20,63,33,46,x,x,36,x,19,0,0,66,19,11,20,9,15,30,x,x,x,0,0,x,x
E10000017,LA,888,Lancashire,593,313,280,66,198,81,80,26,37,105,41,77,0,x,87,17,35,10,15,134,32,11,19,x,10,x,x,92
E06000008,LA,889,Blackburn with Darwen,141,80,61,14,55,26,23,x,x,11,15,15,0,x,24,0,x,7,17,32,x,0,0,x,0,0,0,24
E06000009,LA,890,Blackpool,216,130,86,23,75,40,28,9,7,34,21,25,0,0,50,13,x,8,14,32,11,24,0,x,0,0,0,7
E10000024,LA,891,Nottinghamshire,376,199,177,28,93,67,47,13,18,110,43,25,0,0,40,21,74,x,22,35,28,11,x,10,x,0,0,55
E06000018,LA,892,Nottingham,257,131,126,13,66,43,37,7,16,75,39,7,x,0,52,11,6,20,13,8,70,x,x,x,x,x,x,16
E06000051,LA,893,Shropshire,113,60,53,7,30,14,18,x,x,32,26,0,0,0,28,x,x,x,6,8,8,x,0,0,0,0,0,28
E06000020,LA,894,Telford and Wrekin,109,55,54,7,29,15,23,x,x,25,x,12,0,0,30,6,8,x,17,0,7,x,x,0,0,x,0,16
E06000049,LA,895,Cheshire East,138,57,81,14,31,16,33,x,x,38,x,14,0,0,28,13,22,x,11,13,12,x,7,x,0,x,0,6
E06000050,LA,896,Cheshire West and Chester,180,101,79,8,51,30,35,x,x,44,18,14,0,x,45,0,0,x,7,20,25,x,7,x,0,0,0,36
