New_geog_code,geog_l,geog_c,geog_n,CLA_started2016,CLA_taken2016,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E06000045,LA,852,Southampton,212,x,110,102,46,54,42,52,18,166,x,x,12,16,x,0,8,47,x,0,119,26,x,0,x,0,0
E10000018,LA,855,Leicestershire,248,x,145,103,46,46,41,72,43,140,x,17,20,34,x,0,25,x,x,0,167,x,x,0,x,0,0
E06000016,LA,856,Leicester,255,98,128,127,56,49,58,62,30,165,x,x,30,41,7,0,x,82,x,0,150,x,x,0,7,0,0
E06000017,LA,857,Rutland,23,10,16,7,7,x,x,9,x,17,0,x,0,x,0,0,x,x,0,0,13,x,0,0,0,0,0
E10000028,LA,860,Staffordshire,376,x,235,141,74,70,53,104,75,86,x,x,78,136,x,0,67,88,x,0,266,9,x,0,x,0,0
E06000021,LA,861,Stoke-on-Trent,271,117,150,121,56,58,57,75,25,121,22,49,11,40,21,x,x,68,x,0,147,36,x,0,7,0,0
E06000054,LA,865,Wiltshire,171,69,89,82,38,34,27,56,16,103,x,x,14,46,x,0,x,47,x,x,95,x,x,0,x,0,0
E06000030,LA,866,Swindon,179,58,98,81,25,36,30,69,19,97,x,x,26,21,8,0,17,32,x,0,115,19,x,0,6,0,0
E06000036,LA,867,Bracknell Forest,60,20,37,23,8,12,12,17,11,29,x,x,10,15,0,0,0,10,0,0,40,10,0,0,0,0,0
E06000040,LA,868,Windsor and Maidenhead,32,x,13,19,8,x,x,8,10,13,x,x,x,7,x,0,x,x,0,0,23,x,x,0,x,0,0
E06000037,LA,869,West Berkshire,53,23,26,27,8,8,8,15,14,21,x,x,9,10,x,0,7,11,x,0,30,6,x,0,0,0,0
E06000038,LA,870,Reading,130,65,71,59,26,22,28,40,14,87,x,x,7,15,x,0,11,38,0,0,x,x,x,0,x,0,0
E06000039,LA,871,Slough,128,x,70,58,18,17,27,41,25,72,x,15,13,7,14,0,x,x,0,0,66,27,x,0,8,x,0
E06000041,LA,872,Wokingham,38,14,20,18,x,8,x,11,10,21,x,x,6,x,x,0,x,x,0,0,24,x,x,0,0,0,0
E10000003,LA,873,Cambridgeshire,347,x,223,124,49,51,54,94,99,219,7,x,24,16,x,0,73,65,x,x,212,46,x,0,x,0,0
E06000031,LA,874,Peterborough,200,x,115,85,33,34,34,64,35,143,x,x,x,23,7,0,15,74,x,0,104,12,x,0,x,0,0
E06000006,LA,876,Halton,78,42,39,39,21,18,13,25,x,46,x,x,x,21,0,0,x,31,x,0,36,x,0,0,0,0,0
E06000007,LA,877,Warrington,176,70,77,99,29,34,45,48,20,135,x,x,13,13,x,0,7,62,0,0,106,x,x,0,0,0,0
E10000008,LA,878,Devon,385,x,211,174,68,88,71,124,34,257,11,16,38,57,x,x,x,76,x,0,246,48,x,0,x,0,0
E06000026,LA,879,Plymouth,203,x,113,90,45,37,37,42,42,135,11,24,x,x,x,12,11,79,x,x,111,x,x,0,0,0,0
E06000027,LA,880,Torbay,96,48,51,45,22,23,28,17,6,71,x,x,9,7,x,0,x,18,x,0,x,x,16,0,x,0,0
E10000012,LA,881,Essex,423,x,242,181,76,67,48,109,123,306,9,x,28,16,x,x,55,94,0,x,253,54,9,0,11,0,0
E06000033,LA,882,Southend-on-Sea,133,60,80,53,33,31,25,31,13,123,x,0,x,0,x,x,x,41,x,0,67,9,x,0,6,0,0
E06000034,LA,883,Thurrock,192,x,138,54,18,27,28,54,65,75,x,0,9,34,x,0,65,28,0,0,147,x,x,0,x,0,0
E06000019,LA,884,Herefordshire,115,x,66,49,24,21,20,28,22,51,x,14,8,27,x,0,7,25,x,0,79,x,0,0,x,0,0
E10000034,LA,885,Worcestershire,240,80,141,99,56,44,39,54,47,144,x,11,x,26,16,0,33,43,x,0,146,28,x,0,x,0,x
E10000016,LA,886,Kent,1496,225,1152,344,88,107,115,469,717,159,19,12,118,266,12,0,910,132,x,7,1252,71,x,0,12,0,0
E06000035,LA,887,Medway,208,x,98,110,41,49,33,62,23,132,x,8,19,41,x,x,x,44,11,x,117,25,x,0,x,0,0
E10000017,LA,888,Lancashire,652,365,337,315,139,143,134,172,64,376,11,12,46,180,14,0,13,301,x,0,267,50,x,x,20,0,0
E06000008,LA,889,Blackburn with Darwen,171,99,91,80,35,43,38,45,10,119,x,x,21,21,x,0,x,77,0,0,65,x,x,0,x,x,0
E06000009,LA,890,Blackpool,230,97,124,106,59,47,51,53,20,170,0,x,37,11,x,x,0,74,x,x,124,x,x,0,x,x,0
E10000024,LA,891,Nottinghamshire,362,84,199,163,59,74,67,111,51,152,10,14,55,87,18,0,26,65,x,0,268,x,x,0,10,0,0
E06000018,LA,892,Nottingham,259,98,140,119,54,51,55,65,34,163,x,6,31,40,x,0,10,65,7,0,153,18,x,x,8,0,0
E06000051,LA,893,Shropshire,83,x,45,38,15,16,12,32,8,69,x,0,x,7,x,0,0,16,x,0,57,x,x,0,x,0,0
E06000020,LA,894,Telford and Wrekin,112,x,64,48,23,20,27,33,9,92,x,x,x,6,x,0,x,x,x,0,58,29,0,0,x,x,0
E06000049,LA,895,Cheshire East,166,71,82,84,32,36,22,54,22,103,x,x,31,16,x,0,8,41,x,0,95,x,x,0,0,0,0
E06000050,LA,896,Cheshire West and Chester,151,83,75,76,34,24,25,51,17,83,x,6,15,39,x,x,x,x,0,0,68,x,x,0,0,0,0
