LA,LA Name,LineNumber,CYPServiceDescription,OwnProvision,PrivateProvision,OtherPublic,Voluntary,TotalExpenditure,Income,NetCurrentExpenditure,GovGrantsInsideAEF,GovGrantsOutsideAEF,LEANetRevenueExpenditure
873,Cambridgeshire,1,Spend by individual Sure Start Children's Centres,7617274,0,0,0,7617274,371884,7245390,0,0,7245390
874,Peterborough,1,Spend by individual Sure Start Children's Centres,0,0,0,0,0,0,0,0,0,0
876,Halton,1,Spend by individual Sure Start Children's Centres,2217526,0,0,0,2217526,222688,1994838,1994838,0,0
877,Warrington,1,Spend by individual Sure Start Children's Centres,456809,0,0,0,456809,8184,448625,0,0,448625
878,Devon,1,Spend by individual Sure Start Children's Centres,10249876,0,0,0,10249876,60794,10189082,0,0,10189082
879,Plymouth,1,Spend by individual Sure Start Children's Centres,2343131,0,0,2609169,4952300,40594,4911706,4894749,0,16957
880,Torbay,1,Spend by individual Sure Start Children's Centres,1550337,0,0,762976,2313313,630180,1683133,0,0,1683133
881,Essex,1,Spend by individual Sure Start Children's Centres,17148674,0,0,0,17148674,154146,16994528,0,0,16994528
882,Southend-on-Sea,1,Spend by individual Sure Start Children's Centres,846600,0,191807,353565,1391972,0,1391972,0,0,1391972
883,Thurrock,1,Spend by individual Sure Start Children's Centres,648252,0,0,0,648252,13571,634681,0,0,634681
884,Herefordshire,1,Spend by individual Sure Start Children's Centres,2140653,0,0,0,2140653,39870,2100783,2100783,0,0
885,Worcestershire,1,Spend by individual Sure Start Children's Centres,2096865,0,1288128,2533585,5918578,48093,5870485,5819625,0,50860
886,Kent,1,Spend by individual Sure Start Children's Centres,18879020,0,1349333,728802,20957155,229589,20727566,0,0,20727566
887,Medway,1,Spend by individual Sure Start Children's Centres,5703855,0,0,0,5703855,173360,5530495,0,0,5530495
888,Lancashire,1,Spend by individual Sure Start Children's Centres,9409772,939807,9449933,1202298,21001810,413661,20588149,0,0,20588149
889,Blackburn with Darwen,1,Spend by individual Sure Start Children's Centres,3821599,0,0,0,3821599,1214513,2607086,0,0,2607086
890,Blackpool,1,Spend by individual Sure Start Children's Centres,1783652,0,0,0,1783652,350612,1433040,0,0,1433040
891,Nottinghamshire,1,Spend by individual Sure Start Children's Centres,6631273,3422451,5107775,58,15161557,186916,14974641,0,0,14974641
892,Nottingham,1,Spend by individual Sure Start Children's Centres,6527877,0,0,0,6527877,40920,6486957,0,0,6486957
893,Shropshire,1,Spend by individual Sure Start Children's Centres,3086891,0,0,0,3086891,306084,2780807,4119280,0,-1338473
894,Telford and Wrekin,1,Spend by individual Sure Start Children's Centres,4250048,0,0,0,4250048,159928,4090120,12238,0,4077882
908,Cornwall,1,Spend by individual Sure Start Children's Centres,7555028,51348,0,0,7606376,101614,7504762,23739,1047,7479976
909,Cumbria,1,Spend by individual Sure Start Children's Centres,11322704,0,0,0,11322704,9172,11313532,0,0,11313532
916,Gloucestershire,1,Spend by individual Sure Start Children's Centres,13281759,0,0,0,13281759,617550,12664209,2209060,0,10455149
919,Hertfordshire,1,Spend by individual Sure Start Children's Centres,9159258,4179553,1079161,2597639,17015611,23487,16992124,89513,0,16902611
921,Isle of Wight,1,Spend by individual Sure Start Children's Centres,21204,1580305,0,0,1601509,44981,1556528,0,0,1556528
925,Lincolnshire,1,Spend by individual Sure Start Children's Centres,2877907,26879,107682,4450,3016918,130543,2886375,0,0,2886375
926,Norfolk,1,Spend by individual Sure Start Children's Centres,7757857,0,1467120,4320822,13545799,1150300,12395499,0,0,12395499
928,Northamptonshire,1,Spend by individual Sure Start Children's Centres,8901483,0,0,0,8901483,8725772,175711,0,0,175711
929,Northumberland,1,Spend by individual Sure Start Children's Centres,4276066,78546,0,1848602,6203214,1024431,5178783,2090,0,5176693
931,Oxfordshire,1,Spend by individual Sure Start Children's Centres,3847113,0,3053306,2528864,9429283,365407,9063876,0,0,9063876
933,Somerset,1,Spend by individual Sure Start Children's Centres,5401499,0,0,1974419,7375918,496065,6879853,0,0,6879853
935,Suffolk,1,Spend by individual Sure Start Children's Centres,7846127.38,344.07,8851.75,8578.14,7863901.34,194579.54,7669321.8,0,0,7669321.8
936,Surrey,1,Spend by individual Sure Start Children's Centres,1441965,809880,0,875251,3127096,30045,3097051,0,0,3097051
937,Warwickshire,1,Spend by individual Sure Start Children's Centres,1412717,6742716,0,0,8155433,111323,8044110,0,0,8044110
938,West Sussex,1,Spend by individual Sure Start Children's Centres,8853835,4767,21098,2821,8882521,578737,8303784,0,0,8303784
822,Bedford Borough,1,Spend by individual Sure Start Children's Centres,244645,10548,274786,1363834,1893813,470,1893343,0,0,1893343
823,Central Bedfordshire,1,Spend by individual Sure Start Children's Centres,2499249,0,0,0,2499249,5451,2493798,617,0,2493181
895,Cheshire East,1,Spend by individual Sure Start Children's Centres,3639782,0,0,0,3639782,145901,3493881,0,0,3493881
896,Cheshire West and Chester,1,Spend by individual Sure Start Children's Centres,589900,3309,0,0,593209,57600,535609,0,0,535609
201,City of London,2,Spend on local authority provided or commissioned area-wide services,175125.75,0,0,0,175125.75,0,175125.75,0,0,175125.75
202,Camden,2,Spend on local authority provided or commissioned area-wide services,792512,3885,0,350950,1147347,3494,1143853,0,0,1143853
203,Greenwich,2,Spend on local authority provided or commissioned area-wide services,3460810,246504,384206,1294608,5386128,1347766,4038362,0,0,4038362
204,Hackney,2,Spend on local authority provided or commissioned area-wide services,4748160,70180,0,255420,5073760,0,5073760,0,0,5073760
205,Hammersmith and Fulham,2,Spend on local authority provided or commissioned area-wide services,146000,0,0,0,146000,0,146000,0,0,146000
206,Islington,2,Spend on local authority provided or commissioned area-wide services,2027406,89180,764664,361351,3242601,1586,3241015,0,0,3241015
207,Kensington and Chelsea,2,Spend on local authority provided or commissioned area-wide services,2534751.96,0,0,0,2534751.96,18245.06,2516506.9,0,0,2516506.9
208,Lambeth,2,Spend on local authority provided or commissioned area-wide services,2182309,0,0,0,2182309,0,2182309,0,2182309,0
209,Lewisham,2,Spend on local authority provided or commissioned area-wide services,547423,0,0,1394854,1942277,30100,1912177,0,0,1912177
210,Southwark,2,Spend on local authority provided or commissioned area-wide services,6224270,2687359,2005143,867619,11784391,1952791,9831600,0,63772,9767828
211,Tower Hamlets,2,Spend on local authority provided or commissioned area-wide services,5499608,0,0,0,5499608,298202,5201406,0,0,5201406
212,Wandsworth,2,Spend on local authority provided or commissioned area-wide services,2667252,0,0,0,2667252,0,2667252,0,0,2667252
213,Westminster,2,Spend on local authority provided or commissioned area-wide services,0,0,0,0,0,0,0,2082732,0,-2082732
301,Barking and Dagenham,2,Spend on local authority provided or commissioned area-wide services,1524216,944565,0,0,2468781,356279,2112502,0,0,2112502
302,Barnet,2,Spend on local authority provided or commissioned area-wide services,1656542,1733169,69638,25193,3484542,3239,3481303,0,0,3481303
303,Bexley,2,Spend on local authority provided or commissioned area-wide services,0,0,0,657000,657000,0,657000,0,0,657000
304,Brent,2,Spend on local authority provided or commissioned area-wide services,1651036.8,0,0,0,1651036.8,0,1651036.8,0,0,1651036.8
305,Bromley,2,Spend on local authority provided or commissioned area-wide services,2834791.78,0,0,656247.53,3491039.31,60832.54,3430206.77,0,1943.19,3428263.58
306,Croydon,2,Spend on local authority provided or commissioned area-wide services,295558,0,0,209173,504731,0,504731,0,0,504731
307,Ealing,2,Spend on local authority provided or commissioned area-wide services,2136092,1215502,214126,929098,4494818,30924,4463894,160122,0,4303772
308,Enfield,2,Spend on local authority provided or commissioned area-wide services,1657219,0,0,0,1657219,0,1657219,0,0,1657219
309,Haringey,2,Spend on local authority provided or commissioned area-wide services,1517428,0,0,0,1517428,14952,1502476,0,0,1502476
310,Harrow,2,Spend on local authority provided or commissioned area-wide services,353136,18653,42000,366,414155,0,414155,0,0,414155
311,Havering,2,Spend on local authority provided or commissioned area-wide services,0,0,228549,0,228549,0,228549,0,0,228549
312,Hillingdon,2,Spend on local authority provided or commissioned area-wide services,326938.91,60806.13,0,0,387745.04,27698.19,360046.85,310268.79,0,49778.06
313,Hounslow,2,Spend on local authority provided or commissioned area-wide services,1635293,0,0,0,1635293,47768,1587525,0,0,1587525
314,Kingston upon Thames,2,Spend on local authority provided or commissioned area-wide services,382426,0,0,22000,404426,0,404426,0,0,404426
315,Merton,2,Spend on local authority provided or commissioned area-wide services,278832,43943,0,112657,435432,15000,420432,420432,0,0
316,Newham,2,Spend on local authority provided or commissioned area-wide services,3183090,1100202,1403022,0,5686314,169104,5517210,0,0,5517210
317,Redbridge,2,Spend on local authority provided or commissioned area-wide services,2135538,0,0,0,2135538,45097,2090441,1253217,0,837224
318,Richmond upon Thames,2,Spend on local authority provided or commissioned area-wide services,762006,0,0,0,762006,58939,703067,0,0,703067
319,Sutton,2,Spend on local authority provided or commissioned area-wide services,778751,0,0,376575,1155326,23489,1131837,0,0,1131837
320,Waltham Forest,2,Spend on local authority provided or commissioned area-wide services,608022,0,0,0,608022,0,608022,0,0,608022
330,Birmingham,2,Spend on local authority provided or commissioned area-wide services,2179568,0,0,0,2179568,0,2179568,2179568,0,0
331,Coventry,2,Spend on local authority provided or commissioned area-wide services,0,0,0,0,0,0,0,0,0,0
332,Dudley,2,Spend on local authority provided or commissioned area-wide services,0,13620,0,134165,147785,1638,146147,0,0,146147
333,Sandwell,2,Spend on local authority provided or commissioned area-wide services,8515249,0,0,0,8515249,0,8515249,0,0,8515249
334,Solihull,2,Spend on local authority provided or commissioned area-wide services,19805,0,139752,50766,210323,0,210323,0,0,210323
335,Walsall,2,Spend on local authority provided or commissioned area-wide services,0,2938441,0,0,2938441,0,2938441,2166696,0,771745
336,Wolverhampton,2,Spend on local authority provided or commissioned area-wide services,69827,13000,0,0,82827,0,82827,0,0,82827
340,Knowsley,2,Spend on local authority provided or commissioned area-wide services,171962,0,0,135000,306962,0,306962,0,0,306962
341,Liverpool,2,Spend on local authority provided or commissioned area-wide services,2379750,0,0,254734,2634484,914368,1720116,1100,0,1719016
342,St Helens,2,Spend on local authority provided or commissioned area-wide services,0,0,0,0,0,0,0,0,0,0
343,Sefton,2,Spend on local authority provided or commissioned area-wide services,49719,0,0,0,49719,0,49719,0,0,49719
344,Wirral,2,Spend on local authority provided or commissioned area-wide services,411783,0,0,150000,561783,0,561783,561783,0,0
350,Bolton,2,Spend on local authority provided or commissioned area-wide services,336000,0,0,0,336000,243100,92900,0,0,92900
351,Bury,2,Spend on local authority provided or commissioned area-wide services,1457313,0,0,0,1457313,0,1457313,0,0,1457313
352,Manchester,2,Spend on local authority provided or commissioned area-wide services,11007708,924152,0,0,11931860,2549079,9382781,2574283,0,6808498
353,Oldham,2,Spend on local authority provided or commissioned area-wide services,0,0,3724697,0,3724697,0,3724697,0,0,3724697
354,Rochdale,2,Spend on local authority provided or commissioned area-wide services,1661043,0,237412,115841,2014296,13400,2000896,0,0,2000896
355,Salford,2,Spend on local authority provided or commissioned area-wide services,56731,0,101138,147712,305581,0,305581,0,0,305581
356,Stockport,2,Spend on local authority provided or commissioned area-wide services,2361609,500786,77468,10216,2950079,3906,2946173,2946173,0,0
357,Tameside,2,Spend on local authority provided or commissioned area-wide services,232174,2636002,0,0,2868176,9280,2858896,0,0,2858896
358,Trafford,2,Spend on local authority provided or commissioned area-wide services,0,0,0,0,0,0,0,0,0,0
359,Wigan,2,Spend on local authority provided or commissioned area-wide services,2962174.31,515154.64,38404.23,74451.64,3590184.82,234895.46,3355289.36,0,0,3355289.36
370,Barnsley,2,Spend on local authority provided or commissioned area-wide services,607784,0,0,0,607784,0,607784,605044,0,2740
371,Doncaster,2,Spend on local authority provided or commissioned area-wide services,1490975,48886,0,0,1539861,5398,1534463,1945250,0,-410787
372,Rotherham,2,Spend on local authority provided or commissioned area-wide services,0,0,0,0,0,0,0,0,0,0
373,Sheffield,2,Spend on local authority provided or commissioned area-wide services,5413261.05,0,0,0,5413261.05,351117.12,5062143.93,3864242.38,0,1197901.55
380,Bradford,2,Spend on local authority provided or commissioned area-wide services,4232306,1578336,0,0,5810642,24095,5786547,0,0,5786547
381,Calderdale,2,Spend on local authority provided or commissioned area-wide services,7640318,0,0,0,7640318,381805,7258513,0,0,7258513
382,Kirklees,2,Spend on local authority provided or commissioned area-wide services,0,0,0,2098402,2098402,0,2098402,0,0,2098402
383,Leeds,2,Spend on local authority provided or commissioned area-wide services,9325466,0,0,362612,9688078,131041,9557037,9873640,0,-316603
384,Wakefield,2,Spend on local authority provided or commissioned area-wide services,0,0,55080,0,55080,0,55080,0,0,55080
390,Gateshead,2,Spend on local authority provided or commissioned area-wide services,3343256,64590,0,30000,3437846,54152,3383694,3991596,0,-607902
391,Newcastle upon Tyne,2,Spend on local authority provided or commissioned area-wide services,999856,0,0,296307,1296163,0,1296163,1406170,0,-110007
392,North Tyneside,2,Spend on local authority provided or commissioned area-wide services,998356,0,0,5000,1003356,8189,995167,995167,0,0
393,South Tyneside,2,Spend on local authority provided or commissioned area-wide services,1270823,11,0,0,1270834,466688,804146,0,0,804146
394,Sunderland,2,Spend on local authority provided or commissioned area-wide services,215538,0,908479,538041,1662058,0,1662058,0,0,1662058
420,Isles Of Scilly,2,Spend on local authority provided or commissioned area-wide services,0,0,0,0,0,0,0,0,0,0
