time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,category_of_expenditure,description_of_expenditure,own_provision,private_provision,other_public_sector_provision,voluntary_provision,total_expenditure,income,net_current_expenditure,grants_inside_AEF,grants_outside_AEF,net_revenue_expenditure,per_capita_net_current_spend
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Capital expenditure,4.0.1 Capital Expenditure from Revenue (CERA) (Childrens and young people services),x,x,x,x,0,0,0,x,x,x,0
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Total,5.0.2 Total Children and Young Peoples Services Expenditure (excluding CERA),x,x,x,x,49849053,x,42841641,x,x,x,630
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Total,5.0.3 Total Children and Young Peoples Services Expenditure (including CERA),x,x,x,x,49849053,x,42841641,x,x,x,630
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,3205003,0,0,0,3205003,706574,2498429,0,0,2498429,49
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,0,0,0,0,0,0,0,0,0,0,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,683728,0,0,0,683728,0,683728,0,0,683728,14
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,930974,0,0,0,930974,53185,877789,0,0,877789,17
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,4819705,0,0,0,4819705,759759,4059946,0,0,4059946,80
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Children looked after,3.1.1 Residential care,870273,0,42096,4006522,4918891,319189,4599702,129256,0,4470446,91
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),1455244,0,0,2570860,4026104,3004,4023100,22620,0,4000480,80
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),3038691,0,0,0,3038691,0,3038691,0,0,3038691,60
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Children looked after,3.1.2 Total fostering services,4493935,0,0,2570860,7064795,3004,7061791,22620,0,7039171,140
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Children looked after,3.1.3 Adoption services,1896867,0,0,502714,2399581,150241,2249340,268830,0,1980510,45
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Children looked after,3.1.4 Special guardianship support,2222915,0,0,0,2222915,0,2222915,0,0,2222915,44
