time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,performance_type,cla_ks4_outcomes_children_total,cla_ks4_englishandmathsL4_number_achieving,cla_ks4_englishandmathsL4_percent_achieving,cla_ks4_englishandmathsL5_number_achieving,cla_ks4_englishandmathsL5_percent_achieving,cla_ks4_att8_points_total,cla_ks4_att8_average_points,cla_ks4_progress8_children_eligible,cla_ks4_progress8_points_total,cla_ks4_progress8_points_average
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,KS4,72,21,29.2,9,12.5,1611.25,22.4,57,-63.171,-1.11
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,KS4,35,c,c,c,c,429.75,12.3,23,-35.277,-1.53
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,KS4,44,8,18.2,c,c,782.75,17.8,33,-30.672,-0.93
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,KS4,21,c,c,c,c,314,15,17,-33.039,-1.94
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,KS4,18,c,c,c,c,297.75,16.5,15,-15.118,-1.01
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,KS4,c,c,c,c,c,c,c,c,c,c
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,KS4,20,c,c,c,c,395,19.8,17,-27.093,-1.59
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,KS4,21,c,c,c,c,336.5,16,17,-20.25,-1.19
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,KS4,10,c,c,c,c,252.25,25.2,c,c,c
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,KS4,8,c,c,c,c,206,25.8,7,-6.252,-0.89
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,KS4,61,8,13.1,c,c,1096.75,18,45,-46.297,-1.03
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,KS4,30,c,c,c,c,632.75,21.1,23,-25.415,-1.1
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,KS4,13,c,c,c,c,232.25,17.9,10,-11.89,-1.19
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,KS4,23,6,26.1,c,c,503.75,21.9,18,-15.042,-0.84
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,KS4,51,c,c,c,c,648.5,12.7,40,-88.107,-2.2
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,KS4,30,c,c,c,c,545.25,18.2,25,-40.547,-1.62
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,KS4,29,c,c,c,c,501.25,17.3,26,-38.607,-1.48
